t;r;value
1;1;1100090.5158598004
2;1;1354790.886356662
3;1;1317269.2022137532
4;1;1311200.1847460698
5;1;1305786.3525878727
6;1;1430228.379887658
7;1;1088341.6986396906
8;1;1312891.9062988278
9;1;1419309.9430174103
10;1;1321971.6044980066
11;1;1190284.2045903988
12;1;1304974.659265807
13;1;1494640.4332733783
14;1;1327762.8990822248
15;1;1309009.7085669655
16;1;1530417.3521526419
17;1;1347752.23149845
18;1;1380151.873409404
19;1;1264127.3788691072
20;1;1406771.5351406387
21;1;1379518.137053629
22;1;1322825.870593767
23;1;1404071.5042233232
24;1;1376101.5280788739
25;1;1229077.8546863617
26;1;1431469.090452015
27;1;1283528.6172929618
28;1;1501152.5046218315
29;1;1286420.9726511315
30;1;1429043.5517272647
31;1;1516829.7563777794
32;1;1173778.4134138199
33;1;1172740.233463824
34;1;1561181.889527827
35;1;1374066.2243824727
36;1;1491284.7298100037
37;1;1330990.9872196284
38;1;1431385.3698384897
39;1;1359186.0819935482
40;1;1447323.1052177902
41;1;1260375.3194327275
42;1;1502452.8004949098
43;1;1331065.2692418196
44;1;1255619.23843045
45;1;1550470.3970623848
46;1;1558000.9105090701
47;1;1365125.7548065945
48;1;1377362.4846257102
49;1;1243398.5806768218
50;1;1478354.8783738343
51;1;1185294.4989034736
52;1;1364279.2714344766
53;1;1522934.2730089126
54;1;1328808.7544822819
55;1;1393097.1867504986
56;1;1445963.1118723121
57;1;1263086.8276011802
58;1;1446777.629011102
59;1;1395508.3193195886
60;1;1430023.052420529
61;1;1406021.545482465
62;1;1155104.9442671197
63;1;1408691.0103064426
64;1;1400445.082606471
65;1;1473596.2277077024
66;1;1324258.2936161417
67;1;1353017.9466347003
68;1;1475548.14803166
69;1;1332722.3353574474
70;1;1506302.1713176735
71;1;1175438.1284288054
72;1;1300114.7081542057
73;1;1274434.1200751907
74;1;1438042.1972923388
75;1;1434472.5363903688
76;1;1290813.1996744259
77;1;1509258.3958679833
78;1;1360920.8653046596
79;1;1273449.828149307
80;1;1548958.9374427125
81;1;1375555.3325752462
82;1;1203063.9787091967
83;1;1444693.2757298322
84;1;1453491.5834625496
85;1;1253661.7505054974
86;1;1369100.0405495365
87;1;1409872.493826453
88;1;1305961.350248
89;1;1313964.9375746888
90;1;1349449.5003039108
91;1;1320910.6996593496
92;1;1565569.1386275687
93;1;1538420.4695890548
94;1;1249976.6039216174
95;1;1577006.544613475
96;1;1402845.4288836361
97;1;1402182.1096698975
98;1;1349363.2772352588
99;1;1340434.9570743917
100;1;1268157.3811520014
101;1;1467235.474784846
102;1;1559619.0418366366
103;1;1469817.9299824848
104;1;1506111.4413725222
105;1;1376096.0532281525
106;1;1317868.8208320872
107;1;1415170.524304435
108;1;1293714.1207016765
109;1;1366515.27151707
110;1;1361509.8553550697
111;1;1348533.9224238002
112;1;1076765.447271224
113;1;1531105.2615008024
114;1;1360924.9367443377
115;1;1336610.5271178933
116;1;1363869.5928437551
117;1;1184750.5351836362
118;1;1588714.0064923125
119;1;1254070.6872214854
120;1;1255446.915169069
121;1;1499503.6245215263
122;1;1662639.6346693153
123;1;1186334.4058763534
124;1;1376624.432499851
125;1;1582643.2121764312
126;1;1195018.5214778814
127;1;1437102.5792924576
128;1;1422463.0195929059
129;1;1082898.1294492
130;1;1504292.6974053
131;1;1457430.2302062635
132;1;1100348.4993666343
133;1;1380851.245339998
134;1;1541031.909609971
135;1;1325757.134250718
136;1;1192613.2917970838
137;1;1558440.705452094
138;1;1424794.8013176557
139;1;1498554.2151222192
140;1;1328514.1195975947
141;1;1346108.2525476168
142;1;1391853.04167599
143;1;1293151.227967375
144;1;1342185.9403378726
145;1;1325567.6140139953
146;1;1411199.539260095
147;1;1487589.050237257
148;1;1434411.772267449
149;1;1317152.8486626726
150;1;1346436.5594126685
151;1;1421654.7720690435
152;1;1623016.4520365978
153;1;1200904.9895672097
154;1;1373093.41747218
155;1;1297106.5635207526
156;1;1440273.2029690342
157;1;1608551.5688146804
158;1;1514743.0443659185
159;1;1371635.2156367064
160;1;1352203.7109656732
161;1;1501570.3207860598
162;1;1428981.1280219366
163;1;1304114.5233209273
164;1;1264432.5544287674
165;1;1419455.33355571
166;1;1373860.9543347382
167;1;1477860.7602335291
168;1;1344039.8711821525
1;2;1199313.01078233
2;2;1433430.9539494808
3;2;1301538.843760672
4;2;1200248.0228772266
5;2;1163848.5899089272
6;2;1368949.6805707554
7;2;1399286.91839264
8;2;1322906.9676029934
9;2;1349372.1875371647
10;2;1290255.3762584114
11;2;1546577.4875555278
12;2;1272528.1491176216
13;2;1262900.1033836845
14;2;1576242.4981218763
15;2;1305819.4397305315
16;2;1440256.0123135005
17;2;1546665.1258502386
18;2;1354331.1988470117
19;2;1318704.064213881
20;2;1490284.259059928
21;2;1419987.2791947788
22;2;1443207.3779345197
23;2;1326903.5458967276
24;2;1378495.985449389
25;2;1284915.998708803
26;2;1375279.5245524133
27;2;1638911.9526969779
28;2;1266713.0844167462
29;2;1241477.1406371756
30;2;1340760.769431076
31;2;1611909.753270513
32;2;1254054.4289160504
33;2;1469152.3903945058
34;2;1330739.7607157626
35;2;1509107.6223909082
36;2;1419699.6191566933
37;2;1264160.2298383177
38;2;1367242.3980964029
39;2;1384997.4233323163
40;2;1466094.4308302691
41;2;1353425.3210180239
42;2;1306072.213339705
43;2;1560166.2685460818
44;2;1270386.3071085657
45;2;1276850.3515277153
46;2;1429225.109879597
47;2;1220714.0876448757
48;2;1557325.8233611046
49;2;1416462.5478475478
50;2;1202717.4697311283
51;2;1288503.0799808877
52;2;1343775.2534811448
53;2;1493280.3930521123
54;2;1418172.720243239
55;2;1278827.212372801
56;2;1503945.3981089175
57;2;1372575.3727579624
58;2;1465157.8929444235
59;2;1364479.138134963
60;2;1274456.0539024253
61;2;1243659.115242637
62;2;1472495.2550834988
63;2;1325250.360003374
64;2;1323427.4555145793
65;2;1431524.6036369114
66;2;1395203.9885781982
67;2;1389368.244913432
68;2;1331800.9317377387
69;2;1298017.8945240076
70;2;1554270.077947533
71;2;1276413.848565992
72;2;1322893.50549677
73;2;1454783.982685003
74;2;1056447.1137650684
75;2;1450539.3436303183
76;2;1466310.7322719987
77;2;1285932.809405959
78;2;1393789.6487473557
79;2;1324910.6071915866
80;2;1295850.9639632334
81;2;1421542.0795926133
82;2;1481535.9105200719
83;2;1538832.5032212979
84;2;1311408.1182838841
85;2;1363104.2918556407
86;2;1405126.8752388447
87;2;1157922.6878355558
88;2;1341129.0038411182
89;2;1417389.2633702336
90;2;1340269.1642267115
91;2;1311135.4027815058
92;2;1273549.5184831251
93;2;1428670.3294531966
94;2;1396072.6358040809
95;2;1566498.0729307318
96;2;1388694.4190748583
97;2;1461556.2942403634
98;2;1387964.7228182862
99;2;1334652.3117140152
100;2;1316420.0577333318
101;2;1335405.267283915
102;2;1299396.0464563754
103;2;1473443.2231551902
104;2;1189752.6050042668
105;2;1265376.0428899638
106;2;1294370.067558426
107;2;1396088.9837604589
108;2;1312428.738368888
109;2;1385871.850234742
110;2;1526469.3391758008
111;2;1547079.5892466304
112;2;1341202.2440555454
113;2;1223586.7463149298
114;2;1296218.5492034606
115;2;1251460.789939662
116;2;1318898.3200142267
117;2;1448807.9190287646
118;2;1376680.6077855995
119;2;1179037.454398621
120;2;1479826.9634755775
121;2;1371333.3350731002
122;2;1329179.589166483
123;2;1412264.3219022043
124;2;1298970.9548143956
125;2;1572696.977305848
126;2;1248116.5212208536
127;2;1330036.1565248254
128;2;1437522.7212354683
129;2;1409835.4298757734
130;2;1450121.1460798285
131;2;1393452.138002573
132;2;1477205.0237013488
133;2;1222039.6809549131
134;2;1396680.393531772
135;2;1528210.3266578526
136;2;1360382.6730699346
137;2;1431368.9147681193
138;2;1188766.8293803812
139;2;1352919.6698516535
140;2;1399679.564703383
141;2;1358292.4476747424
142;2;1435032.4640296628
143;2;1483358.8572242386
144;2;1389372.5072552613
145;2;1283114.488306935
146;2;1286026.613705602
147;2;1297229.30371428
148;2;1443361.8725929335
149;2;1342002.0764617007
150;2;1309216.1437095632
151;2;1236562.8896231214
152;2;1428113.8679855801
153;2;1614943.8837915324
154;2;1352835.1270044355
155;2;1450989.6262625768
156;2;1426753.5500834875
157;2;1382170.6262042723
158;2;1316936.4603693306
159;2;1369784.313963848
160;2;1323801.817538967
161;2;1429377.860899894
162;2;1490318.8005816573
163;2;1289168.540639306
164;2;1443192.800623981
165;2;1336150.3284101076
166;2;1171838.9589058855
167;2;1341636.3869807716
168;2;1610471.5880052913
1;3;1222959.2793117007
2;3;1352863.9013237413
3;3;1534539.7233772099
4;3;1292053.7642125117
5;3;1406550.1146681856
6;3;1292053.3177645777
7;3;1245641.3428366852
8;3;1302797.2944056946
9;3;1407721.6979063638
10;3;1378250.0462568356
11;3;1194066.655401925
12;3;1132741.1897057707
13;3;1418286.1613307316
14;3;1376342.236565963
15;3;1398226.4891794594
16;3;1397027.678309189
17;3;1237738.0549105015
18;3;1364131.446656037
19;3;1296877.9523991337
20;3;1301786.6138124557
21;3;1491608.5623351308
22;3;1174135.6096963934
23;3;1356446.7547568912
24;3;1373936.3403608268
25;3;1353358.9633434764
26;3;1382472.8027728524
27;3;1537786.131337541
28;3;1276856.338228995
29;3;1399583.3066900822
30;3;1118886.4412554037
31;3;1423604.437331677
32;3;1205955.0932532414
33;3;1130924.8173601923
34;3;1200524.2856826207
35;3;1328269.7133895552
36;3;1307974.282440102
37;3;1545863.0410293944
38;3;1362926.0310846227
39;3;1498300.1665435482
40;3;1648191.9173312648
41;3;1318366.2658329783
42;3;1381848.8332687668
43;3;1241036.5690026754
44;3;1356516.162094537
45;3;1289088.9922569494
46;3;1468316.359262746
47;3;1334650.3139472986
48;3;1425897.1875029576
49;3;1491650.2549782235
50;3;1555124.206259953
51;3;1334324.1254791357
52;3;1517091.8451102232
53;3;1186403.3827548162
54;3;1303653.0000930817
55;3;1347790.639737482
56;3;1147502.8566128702
57;3;1478069.0289148153
58;3;1484944.3864145188
59;3;1489530.7085164292
60;3;1312547.335568933
61;3;1388305.9135865718
62;3;1423390.5704679186
63;3;1503960.2811151498
64;3;1431340.6335993153
65;3;1412948.0266517277
66;3;1171110.3804267913
67;3;1385130.3779348005
68;3;1238157.8595630734
69;3;1481572.9619713528
70;3;1363710.3439015886
71;3;1448199.7703757668
72;3;1269278.8825147678
73;3;1625817.2255388314
74;3;1372339.5837350646
75;3;1432430.6028611842
76;3;1427934.3468503007
77;3;1178588.0369352675
78;3;1314253.287179497
79;3;1466755.281814599
80;3;1397700.1767400843
81;3;1337984.7082512951
82;3;1186354.2717715115
83;3;1427961.2999581108
84;3;1301182.1018614438
85;3;1121640.1285392751
86;3;1271180.6621875872
87;3;1606194.868130538
88;3;1307589.8112412065
89;3;1459015.0481313127
90;3;1396314.9521111837
91;3;1263578.6349824239
92;3;1481537.659986125
93;3;1510237.5868580737
94;3;1386684.5632436492
95;3;1425904.0350699672
96;3;1253569.890126847
97;3;1245509.3908925771
98;3;1441211.132453309
99;3;1512489.2168196882
100;3;1254257.5766368238
101;3;1430901.644532706
102;3;1406496.9501776868
103;3;1298505.6614762337
104;3;1410185.948113033
105;3;1352925.5327909326
106;3;1395288.469669559
107;3;1264931.0095598
108;3;1316079.4161824342
109;3;1246994.5131232052
110;3;1372730.6350552465
111;3;1178027.8906035726
112;3;1321697.9899783311
113;3;1365789.901476381
114;3;1458007.4775517092
115;3;1204141.830335841
116;3;1459533.6704233724
117;3;1484347.0776323783
118;3;1453682.727004304
119;3;1382268.2462676587
120;3;1440950.4039206188
121;3;1356370.6223957061
122;3;1437772.137473788
123;3;1519911.2146907402
124;3;1278412.1063096314
125;3;1334077.0072760105
126;3;1475310.3329981933
127;3;1194769.8164727516
128;3;1318086.2345322259
129;3;1283424.7406760054
130;3;1324149.8601912342
131;3;1411661.6662605198
132;3;1455534.0827760887
133;3;1392776.292091612
134;3;1451612.6877609715
135;3;1379761.2555661926
136;3;1325744.403304555
137;3;1453993.3172931452
138;3;1427165.0102033005
139;3;1198155.1703413178
140;3;1433955.7313336923
141;3;1269766.9038812695
142;3;1363963.0232134701
143;3;1549664.8575437362
144;3;1451342.3548060474
145;3;1449714.622476263
146;3;1303032.5382650201
147;3;1313930.590495243
148;3;1570570.5249032234
149;3;1292888.0486860469
150;3;1340668.2744317143
151;3;1270733.6733525554
152;3;1147092.3671621024
153;3;1094306.4908935342
154;3;1390629.1936761152
155;3;1512350.9952400096
156;3;1602979.5576603697
157;3;1235847.1202604522
158;3;1221817.4325531847
159;3;1288676.0564774505
160;3;1529586.1971698895
161;3;1471176.2863189043
162;3;1277993.1289723392
163;3;1263693.1853980285
164;3;1274601.1738168134
165;3;1617336.2518149016
166;3;1525323.5879308286
167;3;1357576.9090966326
168;3;1264151.4998760629
1;4;1265205.1368290985
2;4;1128278.3794538712
3;4;1388756.1441680095
4;4;1282255.0407509955
5;4;1571258.2878343621
6;4;1490276.0691614244
7;4;1341957.9585201158
8;4;1493593.7008508132
9;4;1274501.3689430708
10;4;1239684.4791484135
11;4;1049742.580127205
12;4;1291666.5666325688
13;4;1307862.040084778
14;4;1551491.9137619855
