f;t;r;value
Entero;1;1;1925.0
Medio Pollo;1;1;2010.5
Medio Pollo Superior;1;1;2273.225806451613
Medio Pollo Inferior;1;1;2025.0645161290322
Cuarto de Pollo Superior;1;1;2446.2580645161293
Muslo Entero;1;1;2189.2419354838707
Pechuga Completa;1;1;3000.483870967742
Ala Completa;1;1;963.5322580645161
Media Pechuga;1;1;3259.112903225807
Blanqueta;1;1;176.23655913978496
Alón;1;1;86.51612903225806
Punta;1;1;25.634408602150536
Jamoncito;1;1;1658.1720430107528
Medio Muslo;1;1;2961.021505376344
Entero;2;1;1925.0
Medio Pollo;2;1;2010.0
Medio Pollo Superior;2;1;2273.225806451613
Medio Pollo Inferior;2;1;2025.0645161290322
Cuarto de Pollo Superior;2;1;2446.2580645161293
Muslo Entero;2;1;2189.0322580645166
Pechuga Completa;2;1;3000.967741935484
Ala Completa;2;1;963.483870967742
Media Pechuga;2;1;3258.8709677419356
Blanqueta;2;1;176.2956989247312
Alón;2;1;86.54516129032258
Punta;2;1;25.64301075268817
Jamoncito;2;1;1658.3225806451615
Medio Muslo;2;1;2961.2903225806454
Entero;3;1;1925.0
Medio Pollo;3;1;2010.5
Medio Pollo Superior;3;1;2273.225806451613
Medio Pollo Inferior;3;1;2025.0645161290322
Cuarto de Pollo Superior;3;1;2446.2580645161293
Muslo Entero;3;1;2189.241935483871
Pechuga Completa;3;1;3000.483870967742
Ala Completa;3;1;963.483870967742
Media Pechuga;3;1;3259.112903225807
Blanqueta;3;1;176.26612903225808
Alón;3;1;86.53064516129032
Punta;3;1;25.638709677419357
Jamoncito;3;1;1658.1720430107528
Medio Muslo;3;1;2961.021505376344
Entero;4;1;1925.0
Medio Pollo;4;1;2010.0
Medio Pollo Superior;4;1;2273.225806451613
Medio Pollo Inferior;4;1;2025.0645161290322
Cuarto de Pollo Superior;4;1;2446.8387096774195
Muslo Entero;4;1;2189.032258064516
Pechuga Completa;4;1;3000.483870967742
Ala Completa;4;1;963.483870967742
Media Pechuga;4;1;3258.8709677419356
Blanqueta;4;1;176.23655913978496
Alón;4;1;86.51612903225806
Punta;4;1;25.634408602150536
Jamoncito;4;1;1658.3225806451612
Medio Muslo;4;1;2961.290322580645
Entero;5;1;1925.0
Medio Pollo;5;1;2010.0
Medio Pollo Superior;5;1;2273.225806451613
Medio Pollo Inferior;5;1;2025.483870967742
Cuarto de Pollo Superior;5;1;2446.2580645161293
Muslo Entero;5;1;2189.0322580645166
Pechuga Completa;5;1;3000.483870967742
Ala Completa;5;1;963.5806451612904
Media Pechuga;5;1;3259.3548387096776
Blanqueta;5;1;176.23655913978496
Alón;5;1;86.51612903225806
Punta;5;1;25.634408602150536
Jamoncito;5;1;1658.1720430107528
Medio Muslo;5;1;2961.021505376344
Entero;6;1;1925.0
Medio Pollo;6;1;2010.0
Medio Pollo Superior;6;1;2273.8064516129034
Medio Pollo Inferior;6;1;2025.0645161290322
Cuarto de Pollo Superior;6;1;2446.2580645161293
Muslo Entero;6;1;2189.0322580645166
Pechuga Completa;6;1;3000.483870967742
Ala Completa;6;1;963.483870967742
Media Pechuga;6;1;3258.8709677419356
Blanqueta;6;1;176.23655913978496
Alón;6;1;86.51612903225806
Punta;6;1;25.634408602150536
Jamoncito;6;1;1658.3225806451615
Medio Muslo;6;1;2961.290322580645
Entero;7;1;1925.0
Medio Pollo;7;1;2010.0
Medio Pollo Superior;7;1;2273.225806451613
Medio Pollo Inferior;7;1;2025.0645161290322
Cuarto de Pollo Superior;7;1;2446.2580645161293
Muslo Entero;7;1;2189.0322580645166
Pechuga Completa;7;1;3000.483870967742
Ala Completa;7;1;963.483870967742
Media Pechuga;7;1;3259.3548387096776
Blanqueta;7;1;176.2956989247312
Alón;7;1;86.54516129032258
Punta;7;1;25.64301075268817
Jamoncito;7;1;1658.3225806451615
Medio Muslo;7;1;2961.290322580645
Entero;8;1;1925.0
Medio Pollo;8;1;2010.0
Medio Pollo Superior;8;1;2273.225806451613
Medio Pollo Inferior;8;1;2025.0645161290322
Cuarto de Pollo Superior;8;1;2446.2580645161293
Muslo Entero;8;1;2189.0322580645166
Pechuga Completa;8;1;3000.483870967742
Ala Completa;8;1;963.5322580645161
Media Pechuga;8;1;3259.3548387096776
Blanqueta;8;1;176.26612903225808
Alón;8;1;86.53064516129032
Punta;8;1;25.638709677419353
Jamoncito;8;1;1658.3225806451615
Medio Muslo;8;1;2961.290322580645
Entero;9;1;1925.0
Medio Pollo;9;1;2010.5
Medio Pollo Superior;9;1;2273.225806451613
Medio Pollo Inferior;9;1;2025.0645161290322
Cuarto de Pollo Superior;9;1;2446.5483870967746
Muslo Entero;9;1;2189.0322580645166
Pechuga Completa;9;1;3000.483870967742
Ala Completa;9;1;963.483870967742
Media Pechuga;9;1;3258.8709677419356
Blanqueta;9;1;176.23655913978496
Alón;9;1;86.51612903225806
Punta;9;1;25.634408602150536
Jamoncito;9;1;1658.247311827957
Medio Muslo;9;1;2961.155913978494
Entero;10;1;1925.0
Medio Pollo;10;1;2010.0
Medio Pollo Superior;10;1;2273.225806451613
Medio Pollo Inferior;10;1;2025.0645161290322
Cuarto de Pollo Superior;10;1;2446.2580645161293
Muslo Entero;10;1;2189.0322580645166
Pechuga Completa;10;1;3000.483870967742
Ala Completa;10;1;963.5806451612904
Media Pechuga;10;1;3259.3548387096776
Blanqueta;10;1;176.23655913978496
Alón;10;1;86.51612903225806
Punta;10;1;25.634408602150536
Jamoncito;10;1;1658.3225806451615
Medio Muslo;10;1;2961.290322580645
Entero;11;1;1925.0
Medio Pollo;11;1;2010.5
Medio Pollo Superior;11;1;2273.225806451613
Medio Pollo Inferior;11;1;2025.0645161290322
Cuarto de Pollo Superior;11;1;2446.2580645161293
Muslo Entero;11;1;2189.032258064516
Pechuga Completa;11;1;3000.483870967742
Ala Completa;11;1;963.5322580645161
Media Pechuga;11;1;3259.112903225807
Blanqueta;11;1;176.23655913978496
Alón;11;1;86.51612903225806
Punta;11;1;25.634408602150536
Jamoncito;11;1;1658.247311827957
Medio Muslo;11;1;2961.155913978494
Entero;12;1;1925.0
Medio Pollo;12;1;2010.5
Medio Pollo Superior;12;1;2273.225806451613
Medio Pollo Inferior;12;1;2025.0645161290322
Cuarto de Pollo Superior;12;1;2446.5483870967746
Muslo Entero;12;1;2189.0322580645166
Pechuga Completa;12;1;3000.483870967742
Ala Completa;12;1;963.483870967742
Media Pechuga;12;1;3258.8709677419356
Blanqueta;12;1;176.23655913978496
Alón;12;1;86.51612903225806
Punta;12;1;25.634408602150536
Jamoncito;12;1;1658.247311827957
Medio Muslo;12;1;2961.155913978494
Entero;13;1;1925.0
Medio Pollo;13;1;2010.5
Medio Pollo Superior;13;1;2273.225806451613
Medio Pollo Inferior;13;1;2025.0645161290322
Cuarto de Pollo Superior;13;1;2446.2580645161293
Muslo Entero;13;1;2189.241935483871
Pechuga Completa;13;1;3000.483870967742
Ala Completa;13;1;963.483870967742
Media Pechuga;13;1;3259.112903225807
Blanqueta;13;1;176.26612903225808
Alón;13;1;86.53064516129032
Punta;13;1;25.638709677419357
Jamoncito;13;1;1658.1720430107528
Medio Muslo;13;1;2961.021505376344
Entero;14;1;1925.0
Medio Pollo;14;1;2010.0
Medio Pollo Superior;14;1;2273.225806451613
Medio Pollo Inferior;14;1;2025.0645161290322
Cuarto de Pollo Superior;14;1;2446.2580645161293
Muslo Entero;14;1;2189.032258064516
Pechuga Completa;14;1;3000.483870967742
Ala Completa;14;1;963.5806451612904
Media Pechuga;14;1;3259.3548387096776
Blanqueta;14;1;176.23655913978496
Alón;14;1;86.51612903225806
Punta;14;1;25.634408602150536
Jamoncito;14;1;1658.3225806451615
Medio Muslo;14;1;2961.290322580645
Entero;15;1;1925.0
Medio Pollo;15;1;2010.5
Medio Pollo Superior;15;1;2273.225806451613
Medio Pollo Inferior;15;1;2025.0645161290322
Cuarto de Pollo Superior;15;1;2446.2580645161293
Muslo Entero;15;1;2189.032258064516
Pechuga Completa;15;1;3000.483870967742
Ala Completa;15;1;963.5322580645161
Media Pechuga;15;1;3259.112903225807
Blanqueta;15;1;176.23655913978496
Alón;15;1;86.51612903225806
Punta;15;1;25.634408602150536
Jamoncito;15;1;1658.247311827957
Medio Muslo;15;1;2961.155913978494
Entero;16;1;1925.0
Medio Pollo;16;1;2010.0
Medio Pollo Superior;16;1;2273.8064516129034
Medio Pollo Inferior;16;1;2025.0645161290322
Cuarto de Pollo Superior;16;1;2446.2580645161293
Muslo Entero;16;1;2189.032258064516
Pechuga Completa;16;1;3000.483870967742
Ala Completa;16;1;963.483870967742
Media Pechuga;16;1;3258.8709677419356
Blanqueta;16;1;176.23655913978496
Alón;16;1;86.51612903225806
Punta;16;1;25.634408602150536
Jamoncito;16;1;1658.3225806451615
Medio Muslo;16;1;2961.290322580645
Entero;17;1;1926.0
Medio Pollo;17;1;2010.0
Medio Pollo Superior;17;1;2273.8064516129034
Medio Pollo Inferior;17;1;2025.0645161290322
Cuarto de Pollo Superior;17;1;2445.677419354839
Muslo Entero;17;1;2188.612903225807
Pechuga Completa;17;1;3000.483870967742
Ala Completa;17;1;963.483870967742
Media Pechuga;17;1;3258.8709677419356
Blanqueta;17;1;176.23655913978496
Alón;17;1;86.51612903225806
Punta;17;1;25.634408602150536
Jamoncito;17;1;1658.3225806451615
Medio Muslo;17;1;2961.290322580645
Entero;18;1;1925.0
Medio Pollo;18;1;2010.0
Medio Pollo Superior;18;1;2273.8064516129034
Medio Pollo Inferior;18;1;2025.483870967742
Cuarto de Pollo Superior;18;1;2445.677419354839
Muslo Entero;18;1;2188.612903225807
Pechuga Completa;18;1;3000.967741935484
Ala Completa;18;1;963.483870967742
Media Pechuga;18;1;3258.8709677419356
Blanqueta;18;1;176.2956989247312
Alón;18;1;86.54516129032258
Punta;18;1;25.64301075268817
Jamoncito;18;1;1658.3225806451615
Medio Muslo;18;1;2961.2903225806454
Entero;19;1;1923.0
Medio Pollo;19;1;2010.0
Medio Pollo Superior;19;1;2273.8064516129034
Medio Pollo Inferior;19;1;2025.483870967742
Cuarto de Pollo Superior;19;1;2446.5483870967746
Muslo Entero;19;1;2189.032258064516
Pechuga Completa;19;1;3000.967741935484
Ala Completa;19;1;963.483870967742
Media Pechuga;19;1;3259.1129032258063
Blanqueta;19;1;176.32526881720432
Alón;19;1;86.55967741935484
Punta;19;1;25.647311827956987
Jamoncito;19;1;1658.4731182795701
Medio Muslo;19;1;2961.559139784946
Entero;20;1;1924.0
Medio Pollo;20;1;2010.0
Medio Pollo Superior;20;1;2273.8064516129034
Medio Pollo Inferior;20;1;2025.483870967742
Cuarto de Pollo Superior;20;1;2446.2580645161293
Muslo Entero;20;1;2189.032258064516
Pechuga Completa;20;1;3000.967741935484
Ala Completa;20;1;963.483870967742
Media Pechuga;20;1;3258.8709677419356
Blanqueta;20;1;176.2956989247312
Alón;20;1;86.54516129032258
Punta;20;1;25.64301075268817
Jamoncito;20;1;1658.3225806451615
Medio Muslo;20;1;2961.2903225806454
Entero;21;1;1926.0
Medio Pollo;21;1;2010.5
Medio Pollo Superior;21;1;2273.8064516129034
Medio Pollo Inferior;21;1;2025.483870967742
Cuarto de Pollo Superior;21;1;2446.2580645161293
Muslo Entero;21;1;2189.0322580645166
Pechuga Completa;21;1;3000.967741935484
Ala Completa;21;1;963.5806451612904
Media Pechuga;21;1;3257.6612903225805
Blanqueta;21;1;176.0887096774194
Alón;21;1;86.44354838709678
Punta;21;1;25.61290322580645
Jamoncito;21;1;1657.9462365591398
Medio Muslo;21;1;2960.6182795698924
Entero;22;1;2376.0
Medio Pollo;22;1;387.0
Medio Pollo Superior;22;1;363.48387096774195
Medio Pollo Inferior;22;1;262.51612903225805
Cuarto de Pollo Superior;22;1;376.8387096774194
Muslo Entero;22;1;272.16129032258067
Pechuga Completa;22;1;3450.0
Ala Completa;22;1;561.9677419354839
Media Pechuga;22;1;6692.903225806452
Blanqueta;22;1;896.2634408602152
Alón;22;1;439.98387096774195
Punta;22;1;130.36559139784947
Jamoncito;22;1;3155.5698924731187
Medio Muslo;22;1;5634.94623655914
Entero;23;1;0.0
Medio Pollo;23;1;3254.0
Medio Pollo Superior;23;1;1876.0645161290324
Medio Pollo Inferior;23;1;1354.9354838709678
Cuarto de Pollo Superior;23;1;3453.677419354839
Muslo Entero;23;1;2494.3225806451615
Pechuga Completa;23;1;0.0
Ala Completa;23;1;0.0
Media Pechuga;23;1;6080.806451612903
Blanqueta;23;1;743.2096774193549
Alón;23;1;364.8483870967742
Punta;23;1;108.10322580645162
Jamoncito;23;1;1891.8064516129034
Medio Muslo;23;1;3378.2258064516127
Entero;24;1;0.0
Medio Pollo;24;1;0.0
Medio Pollo Superior;24;1;2894.516129032258
Medio Pollo Inferior;24;1;2090.483870967742
Cuarto de Pollo Superior;24;1;2208.7741935483873
Muslo Entero;24;1;1595.225806451613
Pechuga Completa;24;1;5580.483870967742
Ala Completa;24;1;1116.0967741935483
Media Pechuga;24;1;2263.548387096774
Blanqueta;24;1;276.65591397849465
Alón;24;1;135.81290322580645
Punta;24;1;40.240860215053765
Jamoncito;24;1;2440.3655913978496
Medio Muslo;24;1;4357.7956989247305
Entero;25;1;2037.000000000029
Medio Pollo;25;1;2372.0
Medio Pollo Superior;25;1;2628.5806451612734
Medio Pollo Inferior;25;1;2853.290322580633
Cuarto de Pollo Superior;25;1;2791.741935483871
Muslo Entero;25;1;2016.2580645161293
Pechuga Completa;25;1;598.5483870967743
Ala Completa;25;1;340.06451612903226
Media Pechuga;25;1;4847.903225806452
Blanqueta;25;1;457.86021505376345
Alón;25;1;224.76774193548388
Punta;25;1;66.59784946236559
Jamoncito;25;1;1351.6774193548388
Medio Muslo;25;1;2413.7096774193546
Entero;26;1;2265.0
Medio Pollo;26;1;2344.5
Medio Pollo Superior;26;1;2601.2903225806454
Medio Pollo Inferior;26;1;1878.7096774193549
Cuarto de Pollo Superior;26;1;2765.3225806451615
Muslo Entero;26;1;1997.1774193548388
Pechuga Completa;26;1;3346.451612903226
Ala Completa;26;1;669.2903225806451
Media Pechuga;26;1;2047.741935483871
Blanqueta;26;1;250.27956989247312
Alón;26;1;122.86451612903227
Punta;26;1;36.40430107526882
Jamoncito;26;1;1678.193548387097
Medio Muslo;26;1;2996.774193548387
Entero;27;1;2237.0
Medio Pollo;27;1;2317.0
Medio Pollo Superior;27;1;2335.3548387096776
Medio Pollo Inferior;27;1;2326.1612903225805
Cuarto de Pollo Superior;27;1;2738.9032258064517
Muslo Entero;27;1;1978.0967741935483
Pechuga Completa;27;1;3321.2903225806454
Ala Completa;27;1;811.8387096774193
Media Pechuga;27;1;2343.3870967741937
Blanqueta;27;1;196.22580645161293
Alón;27;1;96.32903225806452
Punta;27;1;28.54193548387097
Jamoncito;27;1;1532.774193548387
Medio Muslo;27;1;2737.0967741935483
Entero;28;1;2209.0
Medio Pollo;28;1;2290.0
Medio Pollo Superior;28;1;2547.2903225806454
Medio Pollo Inferior;28;1;2314.4193548387098
Cuarto de Pollo Superior;28;1;2712.7741935483873
Muslo Entero;28;1;1959.2258064516132
Pechuga Completa;28;1;3295.645161290323
Ala Completa;28;1;929.4193548387098
Media Pechuga;28;1;2240.8064516129034
Blanqueta;28;1;108.6989247311828
Alón;28;1;53.36129032258065
Punta;28;1;15.810752688172043
Jamoncito;28;1;1552.0430107526881
Medio Muslo;28;1;2771.5053763440856
Entero;29;1;2181.0000000000327
Medio Pollo;29;1;2262.4999999999836
Medio Pollo Superior;29;1;2520.5806451612907
Medio Pollo Inferior;29;1;3419.0
Cuarto de Pollo Superior;29;1;2686.9354838709583
Muslo Entero;29;1;1940.5645161290254
Pechuga Completa;29;1;3270.0
Ala Completa;29;1;1022.9032258064516
Media Pechuga;29;1;2337.0967741935483
Blanqueta;29;1;60.20430107526882
Alón;29;1;29.55483870967742
Punta;29;1;8.756989247311829
Jamoncito;29;1;1170.5806451612902
Medio Muslo;29;1;2090.322580645161
Entero;30;1;2154.0
Medio Pollo;30;1;2235.0
Medio Pollo Superior;30;1;2493.8709677419356
Medio Pollo Inferior;30;1;1523.0967741935485
Cuarto de Pollo Superior;30;1;2660.5161290322585
Muslo Entero;30;1;1921.483870967742
Pechuga Completa;30;1;3244.3548387096776
Ala Completa;30;1;1000.3548387096774
Media Pechuga;30;1;2433.3870967741937
Blanqueta;30;1;82.61827956989248
Alón;30;1;40.558064516129036
Punta;30;1;12.01720430107527
Jamoncito;30;1;1866.2150537634411
Medio Muslo;30;1;3332.5268817204296
Entero;31;1;2126.0
Medio Pollo;31;1;2208.0
Medio Pollo Superior;31;1;2467.161290322581
Medio Pollo Inferior;31;1;1781.8387096774195
Cuarto de Pollo Superior;31;1;2634.967741935484
Muslo Entero;31;1;1903.032258064516
Pechuga Completa;31;1;4888.548387096775
Ala Completa;31;1;977.7096774193548
Media Pechuga;31;1;859.3548387096774
Blanqueta;31;1;105.03225806451613
Alón;31;1;51.561290322580646
Punta;31;1;15.27741935483871
Jamoncito;31;1;1788.2365591397852
Medio Muslo;31;1;3193.279569892473
Entero;32;1;2100.0
Medio Pollo;32;1;2181.5
Medio Pollo Superior;32;1;2442.193548387097
Medio Pollo Inferior;32;1;2361.3870967741937
Cuarto de Pollo Superior;32;1;2610.2903225806454
Muslo Entero;32;1;1885.2096774193549
Pechuga Completa;32;1;4131.774193548387
Ala Completa;32;1;964.258064516129
Media Pechuga;32;1;1682.9032258064517
Blanqueta;32;1;121.41397849462366
Alón;32;1;59.60322580645162
Punta;32;1;17.66021505376344
Jamoncito;32;1;1594.494623655914
Medio Muslo;32;1;2847.3118279569894
Entero;33;1;2072.000000000031
Medio Pollo;33;1;2155.5
Medio Pollo Superior;33;1;2417.225806451595
Medio Pollo Inferior;33;1;2293.8709677419356
Cuarto de Pollo Superior;33;1;2586.4838709677424
Muslo Entero;33;1;1868.016129032258
Pechuga Completa;33;1;2111.1290322580644
Ala Completa;33;1;951.5806451612902
Media Pechuga;33;1;3770.3225806451615
Blanqueta;33;1;137.3225806451613
Alón;33;1;67.41290322580646
Punta;33;1;19.974193548387095
Jamoncito;33;1;1633.0322580645116
Medio Muslo;33;1;2916.129032258056
Entero;34;1;2046.0000000000364
Medio Pollo;34;1;2129.999999999981
Medio Pollo Superior;34;1;2393.4193548387098
Medio Pollo Inferior;34;1;2135.3548387096776
Cuarto de Pollo Superior;34;1;2562.967741935473
Muslo Entero;34;1;1851.0322580645084
Pechuga Completa;34;1;2902.2580645161293
Ala Completa;34;1;943.258064516129
Media Pechuga;34;1;3043.548387096774
Blanqueta;34;1;150.2741935483871
Alón;34;1;73.7709677419355
Punta;34;1;21.858064516129033
Jamoncito;34;1;1703.7849462365593
Medio Muslo;34;1;3042.4731182795695
Entero;35;1;2021.0000000000437
Medio Pollo;35;1;2105.499999999979
Medio Pollo Superior;35;1;2371.3548387096776
Medio Pollo Inferior;35;1;1819.5806451612905
Cuarto de Pollo Superior;35;1;2541.774193548375
Muslo Entero;35;1;2232.0161290322494
Pechuga Completa;35;1;2636.1290322580644
Ala Completa;35;1;947.1290322580645
Media Pechuga;35;1;3369.6774193548385
Blanqueta;35;1;155.24193548387098
Alón;35;1;76.20967741935485
Punta;35;1;22.58064516129032
Jamoncito;35;1;1687.8279569892475
Medio Muslo;35;1;3013.978494623656
Entero;36;1;1997.0
Medio Pollo;36;1;2081.0
Medio Pollo Superior;36;1;2349.2903225806454
Medio Pollo Inferior;36;1;2085.451612903226
Cuarto de Pollo Superior;36;1;2520.0
Muslo Entero;36;1;2247.741935483871
Pechuga Completa;36;1;2348.709677419355
Ala Completa;36;1;951.0
Media Pechuga;36;1;3717.0967741935483
Blanqueta;36;1;160.20967741935485
Alón;36;1;78.6483870967742
Punta;36;1;23.303225806451614
Jamoncito;36;1;1594.0430107526881
Medio Muslo;36;1;2846.5053763440856
Entero;37;1;1972.0000000000364
Medio Pollo;37;1;2057.5
Medio Pollo Superior;37;1;2327.8064516129034
