f;t;r;value
Entero;1;1;20.0
Medio Pollo;1;1;30.0
Medio Pollo Superior;1;1;37.0
Medio Pollo Inferior;1;1;35.0
Cuarto de Pollo Superior;1;1;53.0
Muslo Entero;1;1;39.0
Pechuga Completa;1;1;95.0
Ala Completa;1;1;43.0
Media Pechuga;1;1;74.0
Blanqueta;1;1;1.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;33.0
Medio Muslo;1;1;36.0
Entero;2;1;40.0
Medio Pollo;2;1;60.0
Medio Pollo Superior;2;1;333.660624678006
Medio Pollo Inferior;2;1;70.0
Cuarto de Pollo Superior;2;1;413.00207029448666
Muslo Entero;2;1;425.88266180872154
Pechuga Completa;2;1;715.6002393648423
Ala Completa;2;1;374.0940079716205
Media Pechuga;2;1;384.2780632296917
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;66.0
Medio Muslo;2;1;820.9688033158025
Entero;3;1;40.0
Medio Pollo;3;1;60.0
Medio Pollo Superior;3;1;74.0
Medio Pollo Inferior;3;1;454.5004207237241
Cuarto de Pollo Superior;3;1;170.3037414064279
Muslo Entero;3;1;815.5564259100779
Pechuga Completa;3;1;787.0197526994466
Ala Completa;3;1;629.6554833240232
Media Pechuga;3;1;1160.2691455950703
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;66.0
Medio Muslo;3;1;80.39620967267251
Entero;4;1;267.39358868220074
Medio Pollo;4;1;60.0
Medio Pollo Superior;4;1;74.0
Medio Pollo Inferior;4;1;121.01691518843359
Cuarto de Pollo Superior;4;1;661.7626370002275
Muslo Entero;4;1;581.8282582810668
Pechuga Completa;4;1;1534.1146151594858
Ala Completa;4;1;618.291195198893
Media Pechuga;4;1;1364.370424528842
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;66.0
Medio Muslo;4;1;72.0
Entero;5;1;423.5386980225601
Medio Pollo;5;1;297.9897695323333
Medio Pollo Superior;5;1;74.0
Medio Pollo Inferior;5;1;70.0
Cuarto de Pollo Superior;5;1;242.90248903752172
Muslo Entero;5;1;533.9020039100858
Pechuga Completa;5;1;1612.2112876916078
Ala Completa;5;1;828.9711636165966
Media Pechuga;5;1;1557.6790790588723
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;66.0
Medio Muslo;5;1;775.3097650234038
Entero;6;1;442.20833259631195
Medio Pollo;6;1;679.2740138286376
Medio Pollo Superior;6;1;74.0
Medio Pollo Inferior;6;1;70.0
Cuarto de Pollo Superior;6;1;104.0
Muslo Entero;6;1;579.3864655971229
Pechuga Completa;6;1;1878.8232504221567
Ala Completa;6;1;1119.0577730331324
Media Pechuga;6;1;2159.73456243947
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;168.11070788654615
Medio Muslo;6;1;372.5581923806251
Entero;7;1;623.8815955046795
Medio Pollo;7;1;328.7532679876815
Medio Pollo Superior;7;1;423.6991299800834
Medio Pollo Inferior;7;1;120.72072343449554
Cuarto de Pollo Superior;7;1;104.0
Muslo Entero;7;1;1018.0473653766691
Pechuga Completa;7;1;1273.7424525928889
Ala Completa;7;1;1260.396237362018
Media Pechuga;7;1;2041.6567328521653
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;118.99818142101094
Medio Muslo;7;1;160.38729942808573
Entero;8;1;667.8286897382142
Medio Pollo;8;1;456.48159001820557
Medio Pollo Superior;8;1;74.0
Medio Pollo Inferior;8;1;180.26877580216092
Cuarto de Pollo Superior;8;1;179.05425356072237
Muslo Entero;8;1;1464.1974256632345
Pechuga Completa;8;1;1884.7378612691016
Ala Completa;8;1;1594.5204747868565
Media Pechuga;8;1;2825.2514692143436
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;0.0
Jamoncito;8;1;467.4115461459221
Medio Muslo;8;1;746.9328401045123
Entero;9;1;617.5848983612093
Medio Pollo;9;1;822.2059036095721
Medio Pollo Superior;9;1;74.0
Medio Pollo Inferior;9;1;311.6181952996128
Cuarto de Pollo Superior;9;1;476.5399120960776
Muslo Entero;9;1;1624.605903278684
Pechuga Completa;9;1;2645.406847197816
Ala Completa;9;1;1424.6808919029957
Media Pechuga;9;1;3619.0195052188146
Blanqueta;9;1;0.0
Alón;9;1;0.0
Punta;9;1;0.0
Jamoncito;9;1;416.0577172416795
Medio Muslo;9;1;205.11840048568547
Entero;10;1;871.6807806036952
Medio Pollo;10;1;580.6569653432406
Medio Pollo Superior;10;1;593.0906476830711
Medio Pollo Inferior;10;1;651.0017032195242
Cuarto de Pollo Superior;10;1;234.14146697418096
Muslo Entero;10;1;2013.8942652238939
Pechuga Completa;10;1;2430.8756517210327
Ala Completa;10;1;1468.9763841950062
Media Pechuga;10;1;2966.2794353158915
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;636.8327208120479
Medio Muslo;10;1;72.0
Entero;11;1;609.8572190180355
Medio Pollo;11;1;216.94697875197323
Medio Pollo Superior;11;1;241.41132666553494
Medio Pollo Inferior;11;1;909.2837524469248
Cuarto de Pollo Superior;11;1;852.6356554864426
Muslo Entero;11;1;2283.1681074080384
Pechuga Completa;11;1;2640.4380937564174
Ala Completa;11;1;1750.605536814993
Media Pechuga;11;1;3148.623501763179
Blanqueta;11;1;0.0
Alón;11;1;0.0
Punta;11;1;0.0
Jamoncito;11;1;842.0726330432811
Medio Muslo;11;1;268.9914250874144
Entero;12;1;467.8197508484775
Medio Pollo;12;1;60.0
Medio Pollo Superior;12;1;365.48223311631114
Medio Pollo Inferior;12;1;1304.5588001552987
Cuarto de Pollo Superior;12;1;1221.209384726012
Muslo Entero;12;1;2359.505022552131
Pechuga Completa;12;1;3281.817339875477
Ala Completa;12;1;1842.0388890344452
Media Pechuga;12;1;3834.600341497875
Blanqueta;12;1;0.0
Alón;12;1;0.0
Punta;12;1;0.0
Jamoncito;12;1;1105.9661932478427
Medio Muslo;12;1;542.7295838813177
Entero;13;1;779.3485071301614
Medio Pollo;13;1;368.97846497683213
Medio Pollo Superior;13;1;635.0765263658136
Medio Pollo Inferior;13;1;1045.064972091144
Cuarto de Pollo Superior;13;1;701.6160968985082
Muslo Entero;13;1;2838.970627952829
Pechuga Completa;13;1;3083.871523610295
Ala Completa;13;1;2052.1142543936576
Media Pechuga;13;1;4338.547872719859
Blanqueta;13;1;0.0
Alón;13;1;0.0
Punta;13;1;0.0
Jamoncito;13;1;1057.1484127720057
Medio Muslo;13;1;1272.7312696675751
Entero;14;1;1073.9423637846485
Medio Pollo;14;1;276.60171501651894
Medio Pollo Superior;14;1;1114.1561317720225
Medio Pollo Inferior;14;1;1321.0465053628577
Cuarto de Pollo Superior;14;1;1002.9935613735256
Muslo Entero;14;1;2950.9812928015917
Pechuga Completa;14;1;2532.7528104802873
Ala Completa;14;1;2400.2631045411276
Media Pechuga;14;1;3669.9827199351585
Blanqueta;14;1;0.0
Alón;14;1;0.0
Punta;14;1;0.0
Jamoncito;14;1;928.8107345335338
Medio Muslo;14;1;604.2021103595182
Entero;15;1;959.3418781696373
Medio Pollo;15;1;671.1770860839716
Medio Pollo Superior;15;1;710.4872010223539
Medio Pollo Inferior;15;1;1769.4435354822213
Cuarto de Pollo Superior;15;1;951.1100648320364
Muslo Entero;15;1;3346.0953471091475
Pechuga Completa;15;1;2994.4388006805093
Ala Completa;15;1;2632.5421683724317
Media Pechuga;15;1;3723.3540744699253
Blanqueta;15;1;0.0
Alón;15;1;0.0
Punta;15;1;0.0
Jamoncito;15;1;906.6371961681175
Medio Muslo;15;1;638.4248887926874
Entero;16;1;318.640609091977
Medio Pollo;16;1;1257.872877142553
Medio Pollo Superior;16;1;1575.8393714553727
Medio Pollo Inferior;16;1;420.25661058955427
Cuarto de Pollo Superior;16;1;104.0
Muslo Entero;16;1;2496.885803927284
Pechuga Completa;16;1;928.1844332444055
Ala Completa;16;1;1449.288889650781
Media Pechuga;16;1;5448.114158255548
Blanqueta;16;1;304.69807311739373
Alón;16;1;56.71954904523068
Punta;16;1;8.102191112832735
Jamoncito;16;1;1292.2402671000887
Medio Muslo;16;1;2457.7321494017297
Entero;17;1;791.5418755006805
Medio Pollo;17;1;601.5352639383134
Medio Pollo Superior;17;1;1802.6637413843303
Medio Pollo Inferior;17;1;282.836891602337
Cuarto de Pollo Superior;17;1;203.09594369995466
Muslo Entero;17;1;2093.3523069080657
Pechuga Completa;17;1;182.0
Ala Completa;17;1;902.9290544024843
Media Pechuga;17;1;4460.534900996663
Blanqueta;17;1;401.9342084720795
Alón;17;1;60.09264453682965
Punta;17;1;16.191055845199465
Jamoncito;17;1;890.6271043256729
Medio Muslo;17;1;2238.741723918567
Entero;18;1;1137.2214292028673
Medio Pollo;18;1;212.1079663985654
Medio Pollo Superior;18;1;677.2806541038376
Medio Pollo Inferior;18;1;374.0844277057963
Cuarto de Pollo Superior;18;1;104.0
Muslo Entero;18;1;2445.998096973463
Pechuga Completa;18;1;231.27150430984693
Ala Completa;18;1;816.0415584846971
Media Pechuga;18;1;3934.146866264807
Blanqueta;18;1;409.22213010170213
Alón;18;1;64.44051356902857
