f;t;r;value
Entero;1;1;104177.66502951087
Medio Pollo;1;1;112893.9936284716
Medio Pollo Superior;1;1;101092.68765317228
Medio Pollo Inferior;1;1;126224.51318376011
Cuarto de Pollo Superior;1;1;116139.1718726591
Muslo Entero;1;1;107185.91801328662
Pechuga Completa;1;1;127948.54277509112
Ala Completa;1;1;58032.11338783373
Media Pechuga;1;1;191082.5195755559
Blanqueta;1;1;19013.81030541391
Alón;1;1;9774.481254469152
Punta;1;1;2146.081561683911
Jamoncito;1;1;151327.78103298155
Medio Muslo;1;1;121487.3882617855
Entero;2;1;106395.36194862753
Medio Pollo;2;1;116095.46508957751
Medio Pollo Superior;2;1;157725.4909826717
Medio Pollo Inferior;2;1;86779.98795040933
Cuarto de Pollo Superior;2;1;176950.8608021073
Muslo Entero;2;1;106867.04735602695
Pechuga Completa;2;1;180101.02219864566
Ala Completa;2;1;66427.37167100425
Media Pechuga;2;1;145196.73245263094
Blanqueta;2;1;19661.138319472237
Alón;2;1;8114.820296094562
Punta;2;1;2902.574539115777
Jamoncito;2;1;155617.08607738512
Medio Muslo;2;1;275032.95036391297
Entero;3;1;80744.06436681858
Medio Pollo;3;1;116095.46508957751
Medio Pollo Superior;3;1;131454.10771227436
Medio Pollo Inferior;3;1;167811.4643583338
Cuarto de Pollo Superior;3;1;102867.815959904
Muslo Entero;3;1;176679.80459007173
Pechuga Completa;3;1;115936.08874042549
Ala Completa;3;1;96082.01753995683
Media Pechuga;3;1;201550.2697237624
Blanqueta;3;1;11595.906023160802
Alón;3;1;7083.077069151265
Punta;3;1;2542.877283933951
Jamoncito;3;1;155617.0860773851
Medio Muslo;3;1;201555.31594193238
Entero;4;1;88794.49843920079
Medio Pollo;4;1;89929.89023837818
Medio Pollo Superior;4;1;131454.10771227436
Medio Pollo Inferior;4;1;135301.68651549623
Cuarto de Pollo Superior;4;1;194708.26391404972
Muslo Entero;4;1;155879.34091677103
Pechuga Completa;4;1;179466.93146830713
Ala Completa;4;1;71411.34689999958
Media Pechuga;4;1;202611.15032124612
Blanqueta;4;1;19264.217665301523
Alón;4;1;6521.41196885532
Punta;4;1;2018.1775058466883
Jamoncito;4;1;155617.0860773851
Medio Muslo;4;1;129716.16620121742
Entero;5;1;104327.98429604313
Medio Pollo;5;1;74070.81082145308
Medio Pollo Superior;5;1;131454.10771229147
Medio Pollo Inferior;5;1;129964.37960797308
Cuarto de Pollo Superior;5;1;166221.58116896683
Muslo Entero;5;1;145417.5742602955
