f;n;t;r;value
Entero;1;1;1;72.44962822639025
Medio Pollo;1;1;1;74.51723934968503
Medio Pollo Superior;1;1;1;75.20414089148036
Medio Pollo Inferior;1;1;1;79.53845895857472
Cuarto de Pollo Superior;1;1;1;79.34905173585001
Muslo Entero;1;1;1;83.98461096213055
Pechuga Completa;1;1;1;81.41431849923137
Ala Completa;1;1;1;98.42445150933763
Media Pechuga;1;1;1;87.79669036041695
Blanqueta;1;1;1;110.2953172301295
Alón;1;1;1;114.17418395521868
Punta;1;1;1;118.09748455903106
Jamoncito;1;1;1;102.91456678143673
Medio Muslo;1;1;1;86.81828480244064
Entero;1;2;1;72.44962822639025
Medio Pollo;1;2;1;74.51723934968503
Medio Pollo Superior;1;2;1;75.20414089148036
Medio Pollo Inferior;1;2;1;79.53845895857472
Cuarto de Pollo Superior;1;2;1;79.34905173585001
Muslo Entero;1;2;1;83.98461096213055
Pechuga Completa;1;2;1;81.41431849923137
Ala Completa;1;2;1;98.42445150933763
Media Pechuga;1;2;1;87.79669036041695
Blanqueta;1;2;1;110.2953172301295
Alón;1;2;1;114.17418395521868
Punta;1;2;1;118.09748455903106
Jamoncito;1;2;1;102.91456678143673
Medio Muslo;1;2;1;86.81828480244064
Entero;1;3;1;72.44962822639025
Medio Pollo;1;3;1;74.51723934968503
Medio Pollo Superior;1;3;1;75.20414089148036
Medio Pollo Inferior;1;3;1;79.53845895857472
Cuarto de Pollo Superior;1;3;1;79.34905173585001
Muslo Entero;1;3;1;83.98461096213055
Pechuga Completa;1;3;1;81.41431849923137
Ala Completa;1;3;1;98.42445150933763
Media Pechuga;1;3;1;87.79669036041695
Blanqueta;1;3;1;110.2953172301295
Alón;1;3;1;114.17418395521868
Punta;1;3;1;118.09748455903106
Jamoncito;1;3;1;102.91456678143673
Medio Muslo;1;3;1;86.81828480244064
Entero;1;4;1;72.44962822639025
Medio Pollo;1;4;1;74.51723934968503
Medio Pollo Superior;1;4;1;75.20414089148036
Medio Pollo Inferior;1;4;1;79.53845895857472
Cuarto de Pollo Superior;1;4;1;79.34905173585001
Muslo Entero;1;4;1;83.98461096213055
Pechuga Completa;1;4;1;81.41431849923137
Ala Completa;1;4;1;98.42445150933763
Media Pechuga;1;4;1;87.79669036041695
Blanqueta;1;4;1;110.2953172301295
Alón;1;4;1;114.17418395521868
Punta;1;4;1;118.09748455903106
Jamoncito;1;4;1;102.91456678143673
Medio Muslo;1;4;1;86.81828480244064
Entero;1;5;1;72.44962822639025
Medio Pollo;1;5;1;74.51723934968503
Medio Pollo Superior;1;5;1;75.20414089148036
Medio Pollo Inferior;1;5;1;79.53845895857472
