t;r;value
1;1;1378122.7421935475
2;1;1569140.516947591
3;1;1650428.5234667244
4;1;1586262.2600750427
5;1;1553775.9711348813
6;1;1610943.2011294912
7;1;961764.9299564676
8;1;1257284.7897047617
9;1;1364131.6893654452
10;1;1235050.0100457515
11;1;1068964.295855067
12;1;1124225.4135387386
13;1;1264072.9864567956
14;1;1109930.1948833782
15;1;1107043.478504924
16;1;1311284.686853782
17;1;1069905.7744924459
18;1;1118990.7767981794
19;1;1060765.0722067973
20;1;1081171.474387017
21;1;1081343.294503821
22;1;1067069.3925260957
23;1;1071726.099839089
24;1;1080414.5130617789
25;1;923835.3511986211
26;1;1097790.2285750639
27;1;926621.4043731564
28;1;1121957.1009685055
29;1;1051494.5757825074
30;1;1037988.5607471591
31;1;1146729.323968443
32;1;825693.851281354
33;1;888932.647294858
34;1;1140380.46775265
35;1;1017277.0223172589
36;1;1135117.812124978
37;1;953447.2624173595
38;1;1036215.4544252004
39;1;999027.1725930792
40;1;1071510.8172000619
41;1;894532.5691833672
42;1;1072158.9617402921
43;1;998050.9314819612
44;1;987059.7463489561
45;1;1110457.3878613398
46;1;1083817.913068843
47;1;946759.9586722503
48;1;1003624.4671769333
49;1;903876.8583766501
50;1;1146508.969688084
51;1;968549.5067956386
52;1;924393.009662923
53;1;1083685.0139140117
54;1;951780.8429905523
55;1;1003962.0667454328
56;1;1004396.7506022337
57;1;978096.5146268529
58;1;1077657.8400231907
59;1;979770.8374370931
60;1;1049625.6584802452
61;1;1031167.4547996873
62;1;840094.1748301294
63;1;1026950.6192175474
64;1;1062974.9274297052
65;1;1076979.4694565241
66;1;977690.244479127
67;1;962763.9357974594
68;1;1075643.1576149636
69;1;922606.7699691694
70;1;1077546.7510733905
71;1;904724.1835335586
72;1;979588.1929912132
73;1;954956.6626509461
74;1;1060754.7781369095
75;1;966650.5341134178
76;1;903558.6870968495
77;1;1078824.0372713546
78;1;1121818.022100916
79;1;965152.1799191163
80;1;1115010.540584888
81;1;1001771.3154283724
82;1;872523.1632216931
83;1;983459.9369002876
84;1;1053002.501300124
85;1;942399.0786163545
86;1;1003941.903333907
87;1;1046574.0461379748
88;1;967640.8915501283
89;1;918295.4225067021
90;1;975482.2628890588
91;1;969570.4514937467
92;1;1235451.56192624
93;1;1102719.8421404166
94;1;1035571.949825225
95;1;1052831.3851682302
96;1;970402.5310198945
97;1;1004496.7660167954
98;1;968060.6479774138
99;1;1004000.5639814652
100;1;946051.189734712
101;1;1047650.7502390291
102;1;1082781.7374191543
103;1;1008403.1726566757
104;1;1080489.1362647996
105;1;1014638.0187889192
106;1;980033.3128175634
107;1;1000976.7344522977
108;1;950697.1837651614
109;1;995085.0273667923
110;1;974189.933042325
111;1;986588.2054678792
112;1;784718.0579667746
113;1;1102417.828152638
114;1;1047104.6128850251
115;1;975022.8298478739
116;1;992253.5440268869
117;1;884684.2216507519
118;1;1111327.588329233
119;1;888691.1051626654
120;1;988933.7624011297
121;1;1164399.056494732
122;1;1083738.673352729
123;1;886483.3722275146
124;1;1006640.4928486523
125;1;1134918.9801937868
126;1;865486.6873617579
127;1;1082818.7544830241
128;1;964107.7776779449
129;1;814431.9005467517
130;1;1142480.3537716493
131;1;1030304.6191549159
132;1;781684.3433791383
133;1;1031500.008684935
134;1;1224323.7809053701
135;1;948265.9898319656
136;1;914632.6059080092
137;1;1091573.7517085657
138;1;1025661.9793393024
139;1;1054229.0773438243
140;1;936797.5156388028
141;1;1000610.2122503837
142;1;1078815.5642045133
143;1;973598.3534113374
144;1;987307.9368262265
145;1;947787.1796881265
146;1;962472.5526867041
147;1;1055249.3627490294
148;1;1075671.5059860374
149;1;1053588.407787839
150;1;956959.2334474325
151;1;1025438.5611956218
152;1;1117064.0727342383
153;1;832029.0247007783
154;1;985491.3112335729
155;1;1017159.3532479521
156;1;1056574.3013994896
157;1;1128714.221321363
158;1;1054713.516594492
159;1;968077.3400572565
160;1;981737.2568456237
161;1;1068461.8128118697
162;1;1077710.2068374408
163;1;935709.3802027421
164;1;900135.6660044238
165;1;1028078.5895804242
166;1;1005781.1173765643
167;1;1063301.4511778904
168;1;979571.7469968844
169;1;960297.4266034181
170;1;959559.4993180435
171;1;1087859.2275213418
172;1;862658.3109936006
173;1;871360.1718869921
174;1;919214.726833645
175;1;947570.1568929426
176;1;1033234.9443872846
177;1;1096211.363541327
178;1;1301096.0986369578
179;1;1054509.6948551876
180;1;1039578.827323936
181;1;922467.251273168
182;1;919937.0975521922
183;1;957031.5445478191
184;1;1012755.6423648895
185;1;997943.8518031321
186;1;1045793.7454526983
187;1;1016288.1574240748
188;1;861092.5405622355
189;1;890981.7413283107
190;1;1236006.528379027
191;1;1135242.0084467025
192;1;1015476.8497615063
193;1;907674.6017260078
194;1;883652.8050781628
195;1;915883.2100739317
196;1;1142031.8485879041
197;1;983468.9974172972
198;1;960884.145329158
199;1;951977.737203921
200;1;920703.0381801054
201;1;1050184.7407264537
202;1;949987.2981799738
203;1;1064678.803520129
204;1;1175371.983582298
205;1;1057853.9609878592
206;1;963004.2273821984
207;1;1105793.230929544
208;1;896598.1898114944
209;1;1092050.1045302553
210;1;924316.1176505962
1;2;1570875.254891148
2;2;1635185.6840566995
3;2;1633231.0380192318
4;2;1356107.1459313666
5;2;1408194.5161586057
6;2;1497751.2434943928
7;2;1258035.1906620185
8;2;1319993.0290317077
9;2;1270111.312851213
10;2;1182178.6778285133
11;2;1356015.4530572349
12;2;1123308.5018467493
13;2;1098157.7418002246
14;2;1352115.2579311796
15;2;1100406.066911778
16;2;1237819.489405355
17;2;1292853.2508912098
18;2;1076474.7853033291
19;2;1112152.479221058
20;2;1238503.8016039855
21;2;1189582.3834178397
22;2;1149759.3180970154
23;2;1007250.0465200334
24;2;1078761.8027240345
25;2;917949.5867037256
26;2;1053822.402079719
27;2;1205266.8422540524
28;2;964107.2042929108
29;2;951627.9802666107
30;2;1027278.3091323882
31;2;1105344.782818741
32;2;928352.6440701691
33;2;992248.0759074123
34;2;961381.3911395341
35;2;1092060.2761024605
36;2;1055705.2460764768
37;2;918511.9173882117
38;2;1018252.5746425217
39;2;1028038.7014317004
40;2;1024559.5381565962
41;2;944116.0008178006
42;2;953741.8498289932
43;2;1173054.857897657
44;2;914185.2176131175
45;2;940610.5967175704
46;2;1049844.7786424237
47;2;915136.3672166308
48;2;1110006.3561966948
49;2;988190.2150422703
50;2;930021.2294543791
51;2;955642.8068861954
52;2;1017725.4870916929
53;2;1087695.9612701703
54;2;1025987.4101269869
55;2;921880.1819136059
56;2;1045963.9697174233
57;2;1030382.7028501952
58;2;1077430.014397589
