f;t;r;value
Entero;1;1;77.47662308058514
Medio Pollo;1;1;80.81906816901176
Medio Pollo Superior;1;1;81.83565169896418
Medio Pollo Inferior;1;1;85.38757733662743
Cuarto de Pollo Superior;1;1;85.98013710543438
Muslo Entero;1;1;89.82923910533478
Pechuga Completa;1;1;88.78286956446998
Ala Completa;1;1;101.39127669440296
Media Pechuga;1;1;95.16624645904488
Blanqueta;1;1;110.2953172301295
Alón;1;1;114.17418395521865
Punta;1;1;118.09748455903106
Jamoncito;1;1;106.87092958663408
Medio Muslo;1;1;93.72041003116298
Entero;2;1;77.47662308058514
Medio Pollo;2;1;80.81906816901176
Medio Pollo Superior;2;1;81.83565169896418
Medio Pollo Inferior;2;1;85.38757733662743
Cuarto de Pollo Superior;2;1;85.98013710543438
Muslo Entero;2;1;89.82923910533478
Pechuga Completa;2;1;88.78286956446998
Ala Completa;2;1;101.39127669440295
Media Pechuga;2;1;95.16624645904488
Blanqueta;2;1;110.2953172301295
Alón;2;1;114.17418395521865
Punta;2;1;118.09748455903106
Jamoncito;2;1;106.87092958663409
Medio Muslo;2;1;93.72041003116298
Entero;3;1;77.47662308058514
Medio Pollo;3;1;80.81906816901176
Medio Pollo Superior;3;1;81.83565169896418
Medio Pollo Inferior;3;1;85.38757733662743
Cuarto de Pollo Superior;3;1;85.98013710543438
Muslo Entero;3;1;89.82923910533478
Pechuga Completa;3;1;88.78286956446998
Ala Completa;3;1;101.39127669440295
Media Pechuga;3;1;95.16624645904488
Blanqueta;3;1;110.2953172301295
Alón;3;1;114.17418395521865
Punta;3;1;118.09748455903106
Jamoncito;3;1;106.87092958663409
Medio Muslo;3;1;93.72041003116298
Entero;4;1;77.47662308058514
Medio Pollo;4;1;80.81906816901176
Medio Pollo Superior;4;1;81.82839621668029
Medio Pollo Inferior;4;1;85.38757733662743
Cuarto de Pollo Superior;4;1;85.98386452835152
Muslo Entero;4;1;89.83196641664752
Pechuga Completa;4;1;88.78924374359215
Ala Completa;4;1;101.39192989237412
Media Pechuga;4;1;95.16294172536837
Blanqueta;4;1;110.2953172301295
Alón;4;1;114.17418395521865
Punta;4;1;118.09748455903106
Jamoncito;4;1;106.86988953332042
Medio Muslo;4;1;93.71859559235416
Entero;5;1;77.47662308058514
Medio Pollo;5;1;80.8252283144852
Medio Pollo Superior;5;1;81.82839621668029
Medio Pollo Inferior;5;1;85.38757733662743
Cuarto de Pollo Superior;5;1;85.98386452835152
Muslo Entero;5;1;89.83196641664752
Pechuga Completa;5;1;88.78286956446998
Ala Completa;5;1;101.39127669440295
Media Pechuga;5;1;95.16624645904488
Blanqueta;5;1;110.2953172301295
Alón;5;1;114.17418395521865
Punta;5;1;118.09748455903106
Jamoncito;5;1;106.86884948000674
Medio Muslo;5;1;93.71678115354536
Entero;6;1;77.47662308058514
Medio Pollo;6;1;80.81906816901176
Medio Pollo Superior;6;1;81.82839621668029
Medio Pollo Inferior;6;1;85.38757733662743
Cuarto de Pollo Superior;6;1;85.98386452835152
Muslo Entero;6;1;89.82923910533478
Pechuga Completa;6;1;88.78286956446998
Ala Completa;6;1;101.39192989237412
Media Pechuga;6;1;95.1695511927214
Blanqueta;6;1;110.2953172301295
Alón;6;1;114.17418395521865
Punta;6;1;118.09748455903106
Jamoncito;6;1;106.87092958663409
Medio Muslo;6;1;93.72041003116298
Entero;7;1;77.47662308058514
Medio Pollo;7;1;80.81906816901176
Medio Pollo Superior;7;1;81.82839621668029
Medio Pollo Inferior;7;1;85.38226478587535
Cuarto de Pollo Superior;7;1;85.98013710543438
Muslo Entero;7;1;89.83469372796027
Pechuga Completa;7;1;88.78924374359215
Ala Completa;7;1;101.3925830903453
Media Pechuga;7;1;95.16624645904488
Blanqueta;7;1;110.2953172301295
Alón;7;1;114.17418395521865
Punta;7;1;118.09748455903106
Jamoncito;7;1;106.87092958663409
Medio Muslo;7;1;93.72041003116298
Entero;8;1;77.10070058657232
Medio Pollo;8;1;79.16089596397681
Medio Pollo Superior;8;1;79.85898088476584
Medio Pollo Inferior;8;1;84.16354688520987
Cuarto de Pollo Superior;8;1;84.01241596275375
Muslo Entero;8;1;88.60149556974041
Pechuga Completa;8;1;86.80223099157527
Ala Completa;8;1;99.45730534887065
Media Pechuga;8;1;93.1803549217128
Blanqueta;8;1;110.2953172301295
Alón;8;1;114.17418395521865
Punta;8;1;118.09748455903106
Jamoncito;8;1;105.86506507629956
Medio Muslo;8;1;92.37383522811788
Entero;9;1;77.43970058657231
Medio Pollo;9;1;79.49989596397683
Medio Pollo Superior;9;1;80.19798088476583
Medio Pollo Inferior;9;1;84.50254688520987
Cuarto de Pollo Superior;9;1;84.35141596275373
Muslo Entero;9;1;88.94049556974042
Pechuga Completa;9;1;87.13854400954769
Ala Completa;9;1;99.79630534887065
Media Pechuga;9;1;93.51935492171279
Blanqueta;9;1;110.2953172301295
Alón;9;1;114.17418395521865
Punta;9;1;118.09748455903106
Jamoncito;9;1;106.20406507629956
Medio Muslo;9;1;92.71283522811788
Entero;10;1;77.47662308058514
Medio Pollo;10;1;79.83889596397681
Medio Pollo Superior;10;1;80.53698088476582
Medio Pollo Inferior;10;1;84.84154688520987
Cuarto de Pollo Superior;10;1;84.69041596275375
Muslo Entero;10;1;89.2794955697404
Pechuga Completa;10;1;87.47754400954769
Ala Completa;10;1;100.13530534887065
Media Pechuga;10;1;93.85835492171282
Blanqueta;10;1;110.2953172301295
Alón;10;1;114.17418395521865
Punta;10;1;118.09748455903106
Jamoncito;10;1;106.54227273951464
Medio Muslo;10;1;93.05183522811788
Entero;11;1;77.47662308058514
Medio Pollo;11;1;80.17789596397682
Medio Pollo Superior;11;1;80.87598088476584
Medio Pollo Inferior;11;1;85.1697627557917
Cuarto de Pollo Superior;11;1;85.02601458137731
Muslo Entero;11;1;89.61849556974042
Pechuga Completa;11;1;87.81654400954768
Ala Completa;11;1;100.47430534887066
Media Pechuga;11;1;94.19714390472274
Blanqueta;11;1;110.2953172301295
Alón;11;1;114.17418395521865
Punta;11;1;118.09748455903106
Jamoncito;11;1;106.86676937337941
Medio Muslo;11;1;93.39083522811788
Entero;12;1;77.47662308058514
Medio Pollo;12;1;80.46793987702581
Medio Pollo Superior;12;1;81.21498088476582
Medio Pollo Inferior;12;1;85.40882753963581
Cuarto de Pollo Superior;12;1;85.36501458137732
Muslo Entero;12;1;89.85378490714946
Pechuga Completa;12;1;88.1555440095477
Ala Completa;12;1;100.81330534887064
Media Pechuga;12;1;94.53614390472273
Blanqueta;12;1;110.2953172301295
Alón;12;1;114.17418395521865
Punta;12;1;118.09748455903106
Jamoncito;12;1;106.91253171918085
Medio Muslo;12;1;93.72983522811788
Entero;13;1;77.47662308058514
Medio Pollo;13;1;80.66506453217582
Medio Pollo Superior;13;1;81.55398088476583
Medio Pollo Inferior;13;1;85.40351498888371
Cuarto de Pollo Superior;13;1;85.7005803866492
Muslo Entero;13;1;89.84833028452397
Pechuga Completa;13;1;88.4945440095477
Ala Completa;13;1;101.15230534887066
Media Pechuga;13;1;94.87514390472272
Blanqueta;13;1;110.2953172301295
Alón;13;1;114.17418395521865
Punta;13;1;118.09748455903106
Jamoncito;13;1;106.88341022639811
Medio Muslo;13;1;93.74218329686873
Entero;14;1;77.47662308058514
Medio Pollo;14;1;80.80674787806488
Medio Pollo Superior;14;1;81.82839621668029
Medio Pollo Inferior;14;1;85.37163968437116
Cuarto de Pollo Superior;14;1;85.9503177220973
Muslo Entero;14;1;89.8510575958367
Pechuga Completa;14;1;88.82111463920305
Ala Completa;14;1;101.39911507005702
Media Pechuga;14;1;95.16624645904488
Blanqueta;14;1;110.2953172301295
Alón;14;1;114.17418395521865
Punta;14;1;118.09748455903106
Jamoncito;14;1;106.87092958663408
Medio Muslo;14;1;93.72041003116298
Entero;15;1;77.20062875027436
Medio Pollo;15;1;79.2694585870936
Medio Pollo Superior;15;1;80.29106047605508
Medio Pollo Inferior;15;1;83.8154705128063
Cuarto de Pollo Superior;15;1;84.44709195128713
Muslo Entero;15;1;88.26360041003795
Pechuga Completa;15;1;87.28714408932173
Ala Completa;15;1;99.62963115641759
Media Pechuga;15;1;93.66399619225213
Blanqueta;15;1;110.2953172301295
Alón;15;1;114.17418395521865
Punta;15;1;118.09748455903106
Jamoncito;15;1;105.43884797415832
Medio Muslo;15;1;92.07318862811117
Entero;16;1;77.46448058093733
Medio Pollo;16;1;79.6084585870936
Medio Pollo Superior;16;1;80.63006047605506
Medio Pollo Inferior;16;1;84.1544705128063
Cuarto de Pollo Superior;16;1;84.78609195128713
Muslo Entero;16;1;88.60260041003795
Pechuga Completa;16;1;87.62614408932174
Ala Completa;16;1;99.96863115641757
Media Pechuga;16;1;94.00299619225211
Blanqueta;16;1;110.2953172301295
Alón;16;1;114.17418395521865
Punta;16;1;118.09748455903106
Jamoncito;16;1;105.7778479741583
Medio Muslo;16;1;92.41218862811117
Entero;17;1;77.47662308058514
Medio Pollo;17;1;79.94745858709358
Medio Pollo Superior;17;1;80.96906047605506
Medio Pollo Inferior;17;1;84.4934705128063
Cuarto de Pollo Superior;17;1;85.12282983449317
Muslo Entero;17;1;88.94160041003795
Pechuga Completa;17;1;87.96320329400774
Ala Completa;17;1;100.3076311564176
Media Pechuga;17;1;94.34199619225213
Blanqueta;17;1;110.2953172301295
Alón;17;1;114.17418395521865
Punta;17;1;118.09748455903106
Jamoncito;17;1;106.1168479741583
Medio Muslo;17;1;92.75118862811117
Entero;18;1;77.47662308058514
Medio Pollo;18;1;80.2864585870936
Medio Pollo Superior;18;1;81.30806047605508
Medio Pollo Inferior;18;1;84.83247051280631
Cuarto de Pollo Superior;18;1;85.45653192830649
Muslo Entero;18;1;89.28060041003793
Pechuga Completa;18;1;88.30220329400774
Ala Completa;18;1;100.6466311564176
Media Pechuga;18;1;94.6809961922521
Blanqueta;18;1;110.2953172301295
Alón;18;1;114.17418395521865
Punta;18;1;118.09748455903106
Jamoncito;18;1;106.4558479741583
Medio Muslo;18;1;93.09018862811116
Entero;19;1;77.47662308058514
Medio Pollo;19;1;80.62545858709359
Medio Pollo Superior;19;1;81.64700915958281
Medio Pollo Inferior;19;1;85.17147051280631
Cuarto de Pollo Superior;19;1;85.79553192830649
Muslo Entero;19;1;89.61650882294097
