f;n;t;r;value
Entero;1;1;1;77.47662308058514
Medio Pollo;1;1;1;80.81906816901176
Medio Pollo Superior;1;1;1;81.83565169896418
Medio Pollo Inferior;1;1;1;85.38757733662743
Cuarto de Pollo Superior;1;1;1;85.98013710543438
Muslo Entero;1;1;1;89.82923910533478
Pechuga Completa;1;1;1;88.78286956446998
Ala Completa;1;1;1;101.39127669440296
Media Pechuga;1;1;1;95.16624645904488
Blanqueta;1;1;1;110.2953172301295
Alón;1;1;1;114.17418395521865
Punta;1;1;1;118.09748455903106
Jamoncito;1;1;1;106.87092958663408
Medio Muslo;1;1;1;93.72041003116298
Entero;1;2;1;77.47662308058514
Medio Pollo;1;2;1;80.81906816901176
Medio Pollo Superior;1;2;1;81.83565169896418
Medio Pollo Inferior;1;2;1;85.38757733662743
Cuarto de Pollo Superior;1;2;1;85.98013710543438
Muslo Entero;1;2;1;89.82923910533478
Pechuga Completa;1;2;1;88.78286956446998
Ala Completa;1;2;1;101.39127669440295
Media Pechuga;1;2;1;95.16624645904488
Blanqueta;1;2;1;110.2953172301295
Alón;1;2;1;114.17418395521865
Punta;1;2;1;118.09748455903106
Jamoncito;1;2;1;106.87092958663409
Medio Muslo;1;2;1;93.72041003116298
Entero;1;3;1;77.47662308058514
Medio Pollo;1;3;1;80.81906816901176
Medio Pollo Superior;1;3;1;81.83565169896418
Medio Pollo Inferior;1;3;1;85.38757733662743
Cuarto de Pollo Superior;1;3;1;85.98013710543438
Muslo Entero;1;3;1;89.82923910533478
Pechuga Completa;1;3;1;88.78286956446998
Ala Completa;1;3;1;101.39127669440295
Media Pechuga;1;3;1;95.16624645904488
Blanqueta;1;3;1;110.2953172301295
Alón;1;3;1;114.17418395521865
Punta;1;3;1;118.09748455903106
Jamoncito;1;3;1;106.87092958663409
Medio Muslo;1;3;1;93.72041003116298
Entero;1;4;1;77.47662308058514
Medio Pollo;1;4;1;80.81906816901176
Medio Pollo Superior;1;4;1;81.82839621668029
Medio Pollo Inferior;1;4;1;85.38757733662743
Cuarto de Pollo Superior;1;4;1;85.98386452835152
Muslo Entero;1;4;1;89.83196641664752
Pechuga Completa;1;4;1;88.78924374359215
Ala Completa;1;4;1;101.39192989237412
Media Pechuga;1;4;1;95.16294172536837
Blanqueta;1;4;1;110.2953172301295
Alón;1;4;1;114.17418395521865
Punta;1;4;1;118.09748455903106
Jamoncito;1;4;1;106.86988953332042
Medio Muslo;1;4;1;93.71859559235416
Entero;1;5;1;77.47662308058514
Medio Pollo;1;5;1;80.8252283144852
Medio Pollo Superior;1;5;1;81.82839621668029
Medio Pollo Inferior;1;5;1;85.38757733662743
Cuarto de Pollo Superior;1;5;1;85.98386452835152
Muslo Entero;1;5;1;89.83196641664752
Pechuga Completa;1;5;1;88.78286956446998
Ala Completa;1;5;1;101.39127669440295
Media Pechuga;1;5;1;95.16624645904488
Blanqueta;1;5;1;110.2953172301295
Alón;1;5;1;114.17418395521865
Punta;1;5;1;118.09748455903106
Jamoncito;1;5;1;106.86884948000674
Medio Muslo;1;5;1;93.71678115354536
Entero;1;6;1;77.47662308058514
Medio Pollo;1;6;1;80.81906816901176
Medio Pollo Superior;1;6;1;81.82839621668029
Medio Pollo Inferior;1;6;1;85.38757733662743
Cuarto de Pollo Superior;1;6;1;85.98386452835152
Muslo Entero;1;6;1;89.82923910533478
Pechuga Completa;1;6;1;88.78286956446998
Ala Completa;1;6;1;101.39192989237412
Media Pechuga;1;6;1;95.1695511927214
Blanqueta;1;6;1;110.2953172301295
Alón;1;6;1;114.17418395521865
Punta;1;6;1;118.09748455903106
Jamoncito;1;6;1;106.87092958663409
Medio Muslo;1;6;1;93.72041003116298
Entero;1;7;1;77.47662308058514
Medio Pollo;1;7;1;80.81906816901176
Medio Pollo Superior;1;7;1;81.82839621668029
Medio Pollo Inferior;1;7;1;85.38226478587535
Cuarto de Pollo Superior;1;7;1;85.98013710543438
Muslo Entero;1;7;1;89.83469372796027
Pechuga Completa;1;7;1;88.78924374359215
Ala Completa;1;7;1;101.3925830903453
Media Pechuga;1;7;1;95.16624645904488
Blanqueta;1;7;1;110.2953172301295
Alón;1;7;1;114.17418395521865
Punta;1;7;1;118.09748455903106
Jamoncito;1;7;1;106.87092958663409
Medio Muslo;1;7;1;93.72041003116298
Entero;2;8;1;77.10070058657232
Medio Pollo;2;8;1;79.16089596397681
Medio Pollo Superior;2;8;1;79.85898088476584
Medio Pollo Inferior;2;8;1;84.16354688520987
Cuarto de Pollo Superior;2;8;1;84.01241596275375
Muslo Entero;2;8;1;88.60149556974041
Pechuga Completa;2;8;1;86.80223099157527
Ala Completa;2;8;1;99.45730534887065
Media Pechuga;2;8;1;93.1803549217128
Blanqueta;2;8;1;110.2953172301295
Alón;2;8;1;114.17418395521865
Punta;2;8;1;118.09748455903106
Jamoncito;2;8;1;105.86506507629956
Medio Muslo;2;8;1;92.37383522811788
Entero;2;9;1;77.43970058657231
Medio Pollo;2;9;1;79.49989596397683
Medio Pollo Superior;2;9;1;80.19798088476583
Medio Pollo Inferior;2;9;1;84.50254688520987
Cuarto de Pollo Superior;2;9;1;84.35141596275373
Muslo Entero;2;9;1;88.94049556974042
Pechuga Completa;2;9;1;87.13854400954769
Ala Completa;2;9;1;99.79630534887065
Media Pechuga;2;9;1;93.51935492171279
Blanqueta;2;9;1;110.2953172301295
Alón;2;9;1;114.17418395521865
Punta;2;9;1;118.09748455903106
Jamoncito;2;9;1;106.20406507629956
Medio Muslo;2;9;1;92.71283522811788
Entero;2;10;1;77.47662308058514
Medio Pollo;2;10;1;79.83889596397681
Medio Pollo Superior;2;10;1;80.53698088476582
Medio Pollo Inferior;2;10;1;84.84154688520987
Cuarto de Pollo Superior;2;10;1;84.69041596275375
Muslo Entero;2;10;1;89.2794955697404
Pechuga Completa;2;10;1;87.47754400954769
Ala Completa;2;10;1;100.13530534887065
Media Pechuga;2;10;1;93.85835492171282
Blanqueta;2;10;1;110.2953172301295
Alón;2;10;1;114.17418395521865
Punta;2;10;1;118.09748455903106
Jamoncito;2;10;1;106.54227273951464
Medio Muslo;2;10;1;93.05183522811788
Entero;2;11;1;77.47662308058514
Medio Pollo;2;11;1;80.17789596397682
Medio Pollo Superior;2;11;1;80.87598088476584
Medio Pollo Inferior;2;11;1;85.1697627557917
Cuarto de Pollo Superior;2;11;1;85.02601458137731
Muslo Entero;2;11;1;89.61849556974042
Pechuga Completa;2;11;1;87.81654400954768
Ala Completa;2;11;1;100.47430534887066
Media Pechuga;2;11;1;94.19714390472274
Blanqueta;2;11;1;110.2953172301295
Alón;2;11;1;114.17418395521865
Punta;2;11;1;118.09748455903106
Jamoncito;2;11;1;106.86676937337941
Medio Muslo;2;11;1;93.39083522811788
Entero;2;12;1;77.47662308058514
Medio Pollo;2;12;1;80.46793987702581
Medio Pollo Superior;2;12;1;81.21498088476582
