k;t;r;value
p28;9;1;0.0
p1;10;1;0.0
p2;10;1;0.0
p3;10;1;164.0
p4;10;1;0.0
p5;10;1;0.0
p6;10;1;0.0
p7;10;1;843.0
p8;10;1;0.0
p9;10;1;0.0
p10;10;1;0.0
p11;10;1;0.0
p12;10;1;0.0
p13;10;1;0.0
p14;10;1;0.0
p15;10;1;324.0
p16;10;1;0.0
p17;10;1;537.0
p18;10;1;0.0
p19;10;1;0.0
p20;10;1;0.0
p21;10;1;1653.0
p22;10;1;0.0
p23;10;1;-0.0
p24;10;1;1479.0
p25;10;1;0.0
p26;10;1;0.0
p27;10;1;0.0
p28;10;1;0.0
p1;11;1;0.0
p2;11;1;0.0
p3;11;1;122.0
p4;11;1;0.0
p5;11;1;0.0
p6;11;1;0.0
p7;11;1;819.0
p8;11;1;0.0
p9;11;1;0.0
p10;11;1;0.0
p11;11;1;0.0
p12;11;1;0.0
p13;11;1;0.0
p14;11;1;0.0
p15;11;1;529.0
p16;11;1;1.0
p17;11;1;488.0
p18;11;1;0.0
p19;11;1;0.0
p20;11;1;0.0
p21;11;1;2474.0
p22;11;1;0.0
p23;11;1;-0.0
p24;11;1;551.0
p25;11;1;0.0
p26;11;1;0.0
p27;11;1;16.0
p28;11;1;0.0
p1;12;1;0.0
p2;12;1;0.0
p3;12;1;75.0
p4;12;1;0.0
p5;12;1;0.0
p6;12;1;0.0
p7;12;1;797.0
p8;12;1;0.0
p9;12;1;0.0
p10;12;1;0.0
p11;12;1;0.0
p12;12;1;0.0
p13;12;1;0.0
p14;12;1;0.0
p15;12;1;485.0
p16;12;1;0.0
p17;12;1;621.0
p18;12;1;0.0
p19;12;1;0.0
p20;12;1;0.0
p21;12;1;1332.0
p22;12;1;0.0
p23;12;1;-0.0
p24;12;1;1538.0
p25;12;1;0.0
p26;12;1;0.0
p27;12;1;152.0
p28;12;1;0.0
p1;13;1;0.0
p2;13;1;0.0
p3;13;1;43.0
p4;13;1;0.0
p5;13;1;0.0
p6;13;1;0.0
p7;13;1;768.0
p8;13;1;0.0
p9;13;1;0.0
p10;13;1;0.0
p11;13;1;0.0
p12;13;1;0.0
p13;13;1;0.0
p14;13;1;0.0
p15;13;1;486.0
p16;13;1;0.0
p17;13;1;219.0
p18;13;1;0.0
p19;13;1;0.0
p20;13;1;0.0
p21;13;1;1847.0
p22;13;1;0.0
p23;13;1;-0.0
p24;13;1;1439.0
p25;13;1;0.0
p26;13;1;0.0
p27;13;1;198.0
p28;13;1;0.0
p1;14;1;0.0
p2;14;1;0.0
p3;14;1;20.0
p4;14;1;0.0
p5;14;1;0.0
p6;14;1;0.0
p7;14;1;742.0
p8;14;1;4.0
p9;14;1;0.0
p10;14;1;0.0
p11;14;1;0.0
p12;14;1;0.0
p13;14;1;0.0
p14;14;1;0.0
p15;14;1;491.0
p16;14;1;1.0
p17;14;1;358.0
p18;14;1;0.0
p19;14;1;0.0
p20;14;1;0.0
p21;14;1;1798.0
p22;14;1;0.0
p23;14;1;-0.0
p24;14;1;1353.0
p25;14;1;0.0
p26;14;1;0.0
p27;14;1;233.0
p28;14;1;0.0
p1;15;1;22.0
p2;15;1;0.0
p3;15;1;741.0
p4;15;1;0.0
p5;15;1;0.0
p6;15;1;0.0
p7;15;1;115.0
p8;15;1;0.0
p9;15;1;0.0
p10;15;1;0.0
p11;15;1;0.0
p12;15;1;0.0
p13;15;1;0.0
p14;15;1;0.0
p15;15;1;910.0
p16;15;1;0.0
p17;15;1;571.0
