f;t;r;value
Entero;1;1;6.694134929289774e-10
Medio Pollo;1;1;727.3716135211058
Medio Pollo Superior;1;1;13502.344801768795
Medio Pollo Inferior;1;1;17509.96222997229
Cuarto de Pollo Superior;1;1;29618.215014419256
Muslo Entero;1;1;27379.884242324704
Pechuga Completa;1;1;49093.96765196497
Ala Completa;1;1;24542.88186322531
Media Pechuga;1;1;93953.84569732798
Blanqueta;1;1;-2.1220059099285366e-10
Alón;1;1;-1.0783469290138514e-10
Punta;1;1;-3.3048934307430434e-11
Jamoncito;1;1;56485.3083107737
Medio Muslo;1;1;54583.30921164107
Entero;2;1;7.795143963712434e-10
Medio Pollo;2;1;808.1906816901176
Medio Pollo Superior;2;1;21093.01698903899
Medio Pollo Inferior;2;1;12038.187139746227
Cuarto de Pollo Superior;2;1;45126.623151488035
Muslo Entero;2;1;27298.43098945466
Pechuga Completa;2;1;69104.91957261635
Ala Completa;2;1;28093.39588428308
Media Pechuga;2;1;71392.14736603157
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;58195.243184162784
Medio Muslo;2;1;123570.09882173555
Entero;3;1;6.007579532556901e-10
Medio Pollo;3;1;808.1906816901176
Medio Pollo Superior;3;1;17584.105676350304
Medio Pollo Inferior;3;1;23278.93630608585
Cuarto de Pollo Superior;3;1;26233.707732174717
Muslo Entero;3;1;45131.605786434244
Pechuga Completa;3;1;44484.778543533794
Ala Completa;3;1;40634.90829472149
Media Pechuga;3;1;99100.76015296397
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;58195.243184158564
Medio Muslo;3;1;91147.65533264793
Entero;4;1;6.606553876252646e-10
Medio Pollo;4;1;579.4147878383516
Medio Pollo Superior;4;1;17584.105676350304
Medio Pollo Inferior;4;1;19262.065100143995
Cuarto de Pollo Superior;4;1;49655.17777252407
Muslo Entero;4;1;39818.27453809753
Pechuga Completa;4;1;68861.61840537781
Ala Completa;4;1;30201.213575446436
Media Pechuga;4;1;99622.38720802206
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;58195.243184167695
Medio Muslo;4;1;58280.433144654504
Entero;5;1;7.762287767463315e-10
Medio Pollo;5;1;477.2353554904203
Medio Pollo Superior;5;1;17584.105676350304
Medio Pollo Inferior;5;1;18193.062848681162
Cuarto de Pollo Superior;5;1;42669.039411950645
Muslo Entero;5;1;37145.89027966345
Pechuga Completa;5;1;61995.82856152388
Ala Completa;5;1;26472.61778794507
Media Pechuga;5;1;79813.80313068189
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;52921.264224964754
Medio Muslo;5;1;108297.18940367938
Entero;6;1;6.391942853387175e-10
Medio Pollo;6;1;998.3260813435148
Medio Pollo Superior;6;1;12789.506124886708
Medio Pollo Inferior;6;1;17264.023172399575
Cuarto de Pollo Superior;6;1;38918.49302782764
Muslo Entero;6;1;25896.89705733064
Pechuga Completa;6;1;93755.120425187
Ala Completa;6;1;33459.61461416575
Media Pechuga;6;1;114712.71920773663
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;60719.85709879721
Medio Muslo;6;1;99678.30232974427
Entero;7;1;7.549784287390828e-10
Medio Pollo;7;1;657.8510196022281
Medio Pollo Superior;7;1;22291.16419390442
Medio Pollo Inferior;7;1;17125.638167696856
Cuarto de Pollo Superior;7;1;36949.76514992592
Muslo Entero;7;1;25682.63034366394
Pechuga Completa;7;1;49443.94680455742
Ala Completa;7;1;24400.489468833683
Media Pechuga;7;1;71016.09437258457
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;40221.654066288225
Medio Muslo;7;1;63560.29346353696
Entero;8;1;8.341631698196716e-10
Medio Pollo;8;1;488.31499514105883
Medio Pollo Superior;8;1;17671.646710259778
Medio Pollo Inferior;8;1;16002.647027368637
Cuarto de Pollo Superior;8;1;31225.444977479397
Muslo Entero;8;1;33857.76690529578
Pechuga Completa;8;1;43990.16698995626
Ala Completa;8;1;48082.06743788757
Media Pechuga;8;1;70523.07853225371
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;8.950753041595758e-12
Jamoncito;8;1;60835.44122382599
Medio Muslo;8;1;114586.21696194136
Entero;9;1;5.787357459325088e-10
Medio Pollo;9;1;920.8260595316101
Medio Pollo Superior;9;1;10496.547426937943
Medio Pollo Inferior;9;1;12744.537075224198
Cuarto de Pollo Superior;9;1;45118.90589632689
Muslo Entero;9;1;27311.067631508104
Pechuga Completa;9;1;79524.341840152
Ala Completa;9;1;38019.72874883063
Media Pechuga;9;1;140619.46653986396
Blanqueta;9;1;0.0
Alón;9;1;2.920522932745848e-11
Punta;9;1;0.0
Jamoncito;9;1;46801.738117332134
Medio Muslo;9;1;98135.94864980393
Entero;10;1;1.0117781417535565e-09
Medio Pollo;10;1;1007.5804865213632
Medio Pollo Superior;10;1;22263.655349874345
Medio Pollo Inferior;10;1;14014.260701123158
Cuarto de Pollo Superior;10;1;22964.561881202433
Muslo Entero;10;1;30743.102200700505
Pechuga Completa;10;1;64071.29152745244
Ala Completa;10;1;26867.93612635925
Media Pechuga;10;1;100154.3342435602
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;47603.4942247285
Medio Muslo;10;1;81174.70336020061
Entero;11;1;9.111850301406371e-10
Medio Pollo;11;1;939.5011921692377
Medio Pollo Superior;11;1;15835.170099849776
Medio Pollo Inferior;11;1;11871.613803866063
Cuarto de Pollo Superior;11;1;29396.053585077356
Muslo Entero;11;1;36263.58958957596
Pechuga Completa;11;1;48341.99452984551
Ala Completa;11;1;35804.55142763095
Media Pechuga;11;1;75736.9277423395
Blanqueta;11;1;0.0
Alón;11;1;0.0
Punta;11;1;0.0
Jamoncito;11;1;44574.837200687434
Medio Muslo;11;1;77700.42587886172
Entero;12;1;5.297607844464347e-10
Medio Pollo;12;1;528.8187600887774
Medio Pollo Superior;12;1;13869.553489333703
Medio Pollo Inferior;12;1;22118.826547732257
Cuarto de Pollo Superior;12;1;52252.28079650987
Muslo Entero;12;1;24735.53664524712
Pechuga Completa;12;1;78917.29312702836
Ala Completa;12;1;30231.0303158966
Media Pechuga;12;1;84570.60299710746
Blanqueta;12;1;0.0
Alón;12;1;0.0
Punta;12;1;0.0
Jamoncito;12;1;60704.65702729564
Medio Muslo;12;1;57069.16129033493
Entero;13;1;4.4510165705572e-10
Medio Pollo;13;1;814.4688484292291
Medio Pollo Superior;13;1;11039.988989134961
Medio Pollo Inferior;13;1;13738.571850632796
Cuarto de Pollo Superior;13;1;31125.292642264947
Muslo Entero;13;1;35243.111282218255
Pechuga Completa;13;1;91782.82909398679
Ala Completa;13;1;23744.032116365324
Media Pechuga;13;1;141386.29235361953
Blanqueta;13;1;0.0
Alón;13;1;0.0
Punta;13;1;0.0
Jamoncito;13;1;64804.932053177785
Medio Muslo;13;1;120314.61823610724
Entero;14;1;7.268642635485027e-10
Medio Pollo;14;1;467.89825158041214
Medio Pollo Superior;14;1;22966.2144304341
Medio Pollo Inferior;14;1;11040.24830180387
Cuarto de Pollo Superior;14;1;40215.63287603025
Muslo Entero;14;1;27147.692292911484
Pechuga Completa;14;1;54887.938648339186
Ala Completa;14;1;29188.382219265943
Media Pechuga;14;1;106403.77042787104
Blanqueta;14;1;0.0
Alón;14;1;0.0
Punta;14;1;0.0
Jamoncito;14;1;59330.61158023706
Medio Muslo;14;1;88535.3090690562
Entero;15;1;-1.2683624076549063e-09
Medio Pollo;15;1;3394.4503254518
Medio Pollo Superior;15;1;22255.520848511514
Medio Pollo Inferior;15;1;20243.39062423663
Cuarto de Pollo Superior;15;1;44948.485981632235
Muslo Entero;15;1;38661.68701891328
Pechuga Completa;15;1;72194.35520698247
Ala Completa;15;1;54703.43343973062
Media Pechuga;15;1;88493.95511392823
Blanqueta;15;1;0.0
Alón;15;1;0.0
Punta;15;1;0.0
Jamoncito;15;1;63270.987521808005
Medio Muslo;15;1;56358.78099199129
Entero;16;1;0.0
