t;r;value
1;1;977993.9926760932
2;1;1208002.9631579195
3;1;1176234.2380156247
4;1;1169915.67380519
5;1;1161983.8453987106
6;1;1280367.0464658279
7;1;969510.3608128971
8;1;1182373.2072839509
9;1;1289871.469187736
10;1;1201167.5576154748
11;1;1103447.5131419678
12;1;1153471.5842632866
13;1;1371631.2085647476
14;1;1208728.0119992744
15;1;1166190.9017112297
16;1;1391738.60782245
17;1;1213574.223005799
18;1;1267620.6696690053
19;1;1165380.1527989125
20;1;1237288.0635585343
21;1;1253471.1980492051
22;1;1192534.7618355018
23;1;1268883.3368558395
24;1;1254486.387622281
25;1;1076304.0052773748
26;1;1322172.0953075918
27;1;1128019.5063953975
28;1;1356659.7266650898
29;1;1222843.416749875
30;1;1222094.4803559186
31;1;1376982.9455959515
32;1;1100797.2134849257
33;1;1082313.132486706
34;1;1411518.2859455189
35;1;1263133.6163654102
36;1;1327860.1968732693
37;1;1150222.5051672454
38;1;1317482.7053616943
39;1;1184982.7785873155
40;1;1340972.7388089946
41;1;1152724.2715630594
42;1;1322643.0149445266
43;1;1200629.253751856
44;1;1149511.590172101
45;1;1385352.1856473456
46;1;1368722.1088317337
47;1;1207469.0262498427
48;1;1250700.147798484
49;1;1154213.1871347844
50;1;1310191.0674285917
51;1;1153090.680740647
52;1;1211876.1746664823
53;1;1354512.859337297
54;1;1205170.4770327203
55;1;1299326.1995873926
56;1;1237779.7683099268
57;1;1138665.8731369018
58;1;1293202.169986085
59;1;1235463.6422911575
60;1;1291062.3496453785
61;1;1301314.9934290247
62;1;1041966.0595127809
63;1;1255849.356131063
64;1;1235610.2171549466
65;1;1292235.3084145826
66;1;1198476.2694218487
67;1;1226444.7858484809
68;1;1394299.599890255
69;1;1180242.2464121205
70;1;1344813.2901210133
71;1;1069443.8023927854
72;1;1145092.864090227
73;1;1146014.3060538732
74;1;1299395.8113890507
75;1;1303475.504385662
76;1;1144200.1270159585
77;1;1384600.1362591544
78;1;1266301.3276822362
79;1;1134093.8448528603
80;1;1380229.0463003572
81;1;1277631.58924673
82;1;1108476.5751592729
83;1;1240655.9402462975
84;1;1313600.7079197569
85;1;1121593.754635249
86;1;1229034.4092219672
87;1;1320241.603293441
88;1;1171009.6736864515
89;1;1126708.9530722022
90;1;1210367.7979944656
91;1;1214435.900061489
92;1;1415773.9774797373
93;1;1367643.199362548
94;1;1270834.9878780968
95;1;1295748.3276122431
96;1;1266275.8759544196
97;1;1316923.261519329
98;1;1276460.7038630699
99;1;1206319.599895149
100;1;1113180.6163721932
101;1;1297445.845988959
102;1;1389573.4698894047
103;1;1317236.2722934047
104;1;1324086.4842689075
105;1;1269242.3938920544
106;1;1179780.7332195565
