f;t;r;value
Entero;1;1;104146.94917269649
Medio Pollo;1;1;112909.69173898941
Medio Pollo Superior;1;1;101092.68765316975
Medio Pollo Inferior;1;1;126224.51318366127
Cuarto de Pollo Superior;1;1;116139.1718726591
Muslo Entero;1;1;107191.80574165423
Pechuga Completa;1;1;127948.54277509476
Ala Completa;1;1;58034.622184377906
Media Pechuga;1;1;191087.1048981487
Blanqueta;1;1;19013.81030541368
Alón;1;1;9774.481254469016
Punta;1;1;2146.0815616834557
Jamoncito;1;1;151327.78103300117
Medio Muslo;1;1;121487.3882617845
Entero;2;1;106365.14393429674
Medio Pollo;2;1;116095.46508957751
Medio Pollo Superior;2;1;157725.49098266795
Medio Pollo Inferior;2;1;86779.98795036999
Cuarto de Pollo Superior;2;1;176950.8608021073
Muslo Entero;2;1;106867.04735602638
Pechuga Completa;2;1;180110.73780652272
Ala Completa;2;1;66427.37167098503
Media Pechuga;2;1;145196.7324526009
Blanqueta;2;1;19667.371529927186
Alón;2;1;8117.514566480381
Punta;2;1;2903.545592952617
Jamoncito;2;1;155627.2771614958
Medio Muslo;2;1;275042.90710073506
Entero;3;1;80720.25769847931
Medio Pollo;3;1;116110.81207180333
Medio Pollo Superior;3;1;131454.10771227127
Medio Pollo Inferior;3;1;167811.46435825768
Cuarto de Pollo Superior;3;1;102867.815959904
Muslo Entero;3;1;176689.50962144852
Pechuga Completa;3;1;115936.08874042878
Ala Completa;3;1;96082.01753992903
Media Pechuga;3;1;201555.10623631938
Blanqueta;3;1;11597.808224853134
Alón;3;1;7084.25292753914
Punta;3;1;2543.3026428650037
Jamoncito;3;1;155617.08607739033
Medio Muslo;3;1;201548.2204661277
Entero;4;1;88768.31817206572
Medio Pollo;4;1;89929.89023837818
Medio Pollo Superior;4;1;131454.10771227127
Medio Pollo Inferior;4;1;135301.68651541517
Cuarto de Pollo Superior;4;1;194730.35417246725
Muslo Entero;4;1;155879.34091677022
Pechuga Completa;4;1;179466.93146831222
Ala Completa;4;1;71411.34689997892
Media Pechuga;4;1;202611.15032120427
Blanqueta;4;1;19264.217665298704
Alón;4;1;6521.411968854302
Punta;4;1;2018.1775058464027
Jamoncito;4;1;155627.27716149576
Medio Muslo;4;1;129720.86218301422
Entero;5;1;104297.22411893145
Medio Pollo;5;1;74070.81082145305
Medio Pollo Superior;5;1;131454.10771227127
Medio Pollo Inferior;5;1;129979.43922046012
Cuarto de Pollo Superior;5;1;166210.30770442015
Muslo Entero;5;1;145417.57426029473
Pechuga Completa;5;1;161573.3317546212
Ala Completa;5;1;62600.4229434402
Media Pechuga;5;1;162332.41243324234
Blanqueta;5;1;25045.615832063162
Alón;5;1;10357.857956156626
Punta;5;1;2328.232548568945
Jamoncito;5;1;141779.47725032567
Medio Muslo;5;1;241039.66737763956
Entero;6;1;85884.71805046037
Medio Pollo;6;1;154948.33200974436
Medio Pollo Superior;6;1;95767.68646364861
Medio Pollo Inferior;6;1;124451.60600048004
Cuarto de Pollo Superior;6;1;152388.54452684414
Muslo Entero;6;1;101380.36597301083
Pechuga Completa;6;1;244344.29747350165
Ala Completa;6;1;79115.89845165599
Media Pechuga;6;1;233301.737154932
Blanqueta;6;1;15055.730088599195
Alón;6;1;8511.207894126383
Punta;6;1;3132.986173847709
Jamoncito;6;1;162683.47029801356
Medio Muslo;6;1;221864.43410706808
Entero;7;1;101441.94179094631
Medio Pollo;7;1;102103.83170706798
Medio Pollo Superior;7;1;166894.9898972138
Medio Pollo Inferior;7;1;123454.02647283142
Cuarto de Pollo Superior;7;1;144887.7024936332
Muslo Entero;7;1;100541.56131624924
Pechuga Completa;7;1;128860.65733249442
Ala Completa;7;1;57695.423848953964
Media Pechuga;7;1;144438.84978407703
Blanqueta;7;1;13343.58600931389
Alón;7;1;8366.10897555284
Punta;7;1;2869.992515826211
Jamoncito;7;1;107763.72964750593
