k;t;r;value
p1;1;1;942.0
p2;1;1;0.0
p3;1;1;2002.0
p4;1;1;0.0
p5;1;1;0.0
p6;1;1;0.0
p7;1;1;1498.0
p8;1;1;1.0
p9;1;1;0.0
p10;1;1;0.0
p11;1;1;130.0
p12;1;1;0.0
p13;1;1;0.0
p14;1;1;0.0
p15;1;1;2719.0
p16;1;1;0.0
p17;1;1;2179.0
p18;1;1;0.0
p19;1;1;0.0
p20;1;1;0.0
p21;1;1;1634.0
p22;1;1;0.0
p23;1;1;-0.0
p24;1;1;3474.0
p25;1;1;0.0
p26;1;1;0.0
p27;1;1;421.0
p28;1;1;0.0
p1;2;1;1039.0
p2;2;1;0.0
p3;2;1;2274.0
p4;2;1;0.0
p5;2;1;0.0
p6;2;1;0.0
p7;2;1;965.0
p8;2;1;0.0
p9;2;1;0.0
p10;2;1;0.0
p11;2;1;750.0
p12;2;1;883.0
p13;2;1;0.0
p14;2;1;0.0
p15;2;1;2920.0
p16;2;1;0.0
p17;2;1;1785.0
p18;2;1;0.0
p19;2;1;0.0
p20;2;1;0.0
p21;2;1;1487.0
p22;2;1;0.0
p23;2;1;-0.0
p24;2;1;2897.0
p25;2;1;0.0
p26;2;1;0.0
p27;2;1;0.0
p28;2;1;0.0
p1;3;1;1062.0
p2;3;1;0.0
p3;3;1;3231.0
p4;3;1;0.0
p5;3;1;0.0
p6;3;1;0.0
p7;3;1;1144.0
p8;3;1;0.0
p9;3;1;0.0
p10;3;1;0.0
p11;3;1;368.0
p12;3;1;1334.0
p13;3;1;0.0
p14;3;1;0.0
p15;3;1;1509.0
p16;3;1;0.0
p17;3;1;2527.0
p18;3;1;0.0
p19;3;1;0.0
p20;3;1;0.0
p21;3;1;0.0
p22;3;1;0.0
p23;3;1;-0.0
p24;3;1;3825.0
p25;3;1;0.0
p26;3;1;0.0
p27;3;1;0.0
p28;3;1;0.0
p1;4;1;1073.0
p2;4;1;-0.0
p3;4;1;1679.0
p4;4;1;-0.0
p5;4;1;-0.0
p6;4;1;-0.0
p7;4;1;1011.0
p8;4;1;-0.0
p9;4;1;-0.0
p10;4;1;-0.0
p11;4;1;271.0
p12;4;1;-0.0
p13;4;1;-0.0
p14;4;1;-0.0
p15;4;1;2865.0
p16;4;1;-0.0
p17;4;1;2318.0
p18;4;1;-0.0
p19;4;1;-0.0
p20;4;1;-0.0
p21;4;1;3359.0
p22;4;1;-0.0
p23;4;1;-0.0
p24;4;1;2020.0
p25;4;1;-0.0
p26;4;1;-0.0
p27;4;1;404.0
p28;4;1;-0.0
p1;5;1;609.0
p2;5;1;-0.0
p3;5;1;1582.0
p4;5;1;-0.0
p5;5;1;-0.0
p6;5;1;-0.0
p7;5;1;2044.0
p8;5;1;-0.0
p9;5;1;-0.0
p10;5;1;-0.0
p11;5;1;362.0
p12;5;1;1007.0
p13;5;1;-0.0
p14;5;1;-0.0
p15;5;1;2972.0
p16;5;1;-0.0
p17;5;1;2505.0
p18;5;1;-0.0
p19;5;1;-0.0
p20;5;1;-0.0
p21;5;1;-0.0
p22;5;1;-0.0
p23;5;1;-0.0
p24;5;1;3919.0
p25;5;1;-0.0
p26;5;1;-0.0
p27;5;1;-0.0
p28;5;1;-0.0
p1;6;1;774.0
p2;6;1;0.0
p3;6;1;1265.0
p4;6;1;0.0
p5;6;1;0.0
p6;6;1;0.0
p7;6;1;2242.0
p8;6;1;0.0
p9;6;1;0.0
p10;6;1;2.0
p11;6;1;569.0
p12;6;1;1237.0
p13;6;1;0.0
p14;6;1;0.0
p15;6;1;2966.0
p16;6;1;0.0
p17;6;1;2408.0
p18;6;1;0.0
p19;6;1;0.0
p20;6;1;0.0
p21;6;1;0.0
p22;6;1;0.0
p23;6;1;-0.0
p24;6;1;3537.0
p25;6;1;0.0
p26;6;1;0.0
p27;6;1;0.0
p28;6;1;0.0
p1;7;1;778.0
p2;7;1;0.0
p3;7;1;2417.0
p4;7;1;0.0
p5;7;1;0.0
p6;7;1;0.0
p7;7;1;1750.0
p8;7;1;0.0
p9;7;1;0.0
p10;7;1;0.0
p11;7;1;0.0
p12;7;1;1722.0
p13;7;1;0.0
p14;7;1;0.0
p15;7;1;2448.0
p16;7;1;0.0
p17;7;1;1544.0
p18;7;1;0.0
p19;7;1;0.0
p20;7;1;0.0
p21;7;1;0.0
p22;7;1;0.0
p23;7;1;-0.0
p24;7;1;4341.0
p25;7;1;0.0
p26;7;1;0.0
p27;7;1;0.0
p28;7;1;0.0
p1;8;1;985.0
p2;8;1;0.0
p3;8;1;1947.0
p4;8;1;0.0
p5;8;1;0.0
p6;8;1;0.0
p7;8;1;1509.0
p8;8;1;0.0
p9;8;1;0.0
p10;8;1;0.0
p11;8;1;347.0
p12;8;1;1454.0
p13;8;1;0.0
p14;8;1;0.0
p15;8;1;2557.0
p16;8;1;0.0
p17;8;1;2580.0
p18;8;1;0.0
p19;8;1;0.0
p20;8;1;0.0
p21;8;1;0.0
p22;8;1;0.0
p23;8;1;-0.0
p24;8;1;3621.0
p25;8;1;0.0
p26;8;1;0.0
p27;8;1;0.0
p28;8;1;0.0
p1;9;1;1112.0
p2;9;1;0.0
p3;9;1;2521.0
p4;9;1;0.0
p5;9;1;0.0
p6;9;1;0.0
p7;9;1;719.0
p8;9;1;0.0
p9;9;1;200.0
p10;9;1;0.0
p11;9;1;0.0
p12;9;1;0.0
p13;9;1;0.0
p14;9;1;0.0
p15;9;1;4861.0
p16;9;1;0.0
p17;9;1;2603.0
p18;9;1;0.0
p19;9;1;0.0
p20;9;1;0.0
p21;9;1;0.0
p22;9;1;0.0
p23;9;1;-0.0
p24;9;1;2984.0
p25;9;1;0.0
p26;9;1;0.0
p27;9;1;0.0
p28;9;1;0.0
p1;10;1;727.0
p2;10;1;0.0
p3;10;1;1720.0
p4;10;1;0.0
p5;10;1;0.0
p6;10;1;0.0
p7;10;1;2066.0
p8;10;1;0.0
p9;10;1;0.0
p10;10;1;0.0
p11;10;1;0.0
p12;10;1;770.0
p13;10;1;0.0
p14;10;1;0.0
p15;10;1;0.0
p16;10;1;0.0
p17;10;1;1229.0
p18;10;1;0.0
p19;10;1;0.0
p20;10;1;0.0
p21;10;1;0.0
p22;10;1;0.0
p23;10;1;-0.0
p24;10;1;8488.0
p25;10;1;0.0
p26;10;1;0.0
p27;10;1;0.0
p28;10;1;0.0
p1;11;1;1176.0
p2;11;1;0.0
p3;11;1;2543.0
p4;11;1;0.0
p5;11;1;0.0
p6;11;1;0.0
p7;11;1;240.0
p8;11;1;0.0
p9;11;1;0.0
p10;11;1;0.0
p11;11;1;1416.0
p12;11;1;491.0
p13;11;1;0.0
p14;11;1;0.0
p15;11;1;1995.0
