f;n;t;r;value
Cuarto de Pollo Superior;1;10;1;1460.032258064516
Muslo Entero;1;10;1;1305.2419354838712
Pechuga Completa;1;10;1;1876.9354838709678
Ala Completa;1;10;1;810.3870967741932
Media Pechuga;1;10;1;2175.0
Blanqueta;1;10;1;0.0
Alón;1;10;1;0.0
Punta;1;10;1;9.094947017729282e-12
Jamoncito;1;10;1;1095.4623655913983
Medio Muslo;1;10;1;1956.1827956989246
Entero;1;11;1;921.9999999999991
Medio Pollo;1;11;1;1021.5
Medio Pollo Superior;1;11;1;1258.8387096774195
Medio Pollo Inferior;1;11;1;1118.4193548387093
Cuarto de Pollo Superior;1;11;1;1458.8709677419356
Muslo Entero;1;11;1;1304.82258064516
Pechuga Completa;1;11;1;1877.9032258064517
Ala Completa;1;11;1;810.5806451612916
Media Pechuga;1;11;1;2175.0
Blanqueta;1;11;1;0.0
Alón;1;11;1;0.0
Punta;1;11;1;-1.8189894035458565e-12
Jamoncito;1;11;1;1095.6129032258068
Medio Muslo;1;11;1;1956.4516129032245
Entero;1;12;1;921.9999999999991
Medio Pollo;1;12;1;1021.5
Medio Pollo Superior;1;12;1;1258.8387096774195
Medio Pollo Inferior;1;12;1;1118.4193548387093
Cuarto de Pollo Superior;1;12;1;1458.8709677419356
Muslo Entero;1;12;1;1304.82258064516
Pechuga Completa;1;12;1;1876.9354838709678
Ala Completa;1;12;1;810.5806451612916
Media Pechuga;1;12;1;2175.967741935485
Blanqueta;1;12;1;0.0
Alón;1;12;1;0.0
Punta;1;12;1;-1.8189894035458565e-12
Jamoncito;1;12;1;1095.6129032258068
Medio Muslo;1;12;1;1956.4516129032245
Entero;1;13;1;921.9999999999991
Medio Pollo;1;13;1;1021.5
Medio Pollo Superior;1;13;1;1258.8387096774195
Medio Pollo Inferior;1;13;1;1118.4193548387093
Cuarto de Pollo Superior;1;13;1;1460.032258064516
Muslo Entero;1;13;1;1304.82258064516
Pechuga Completa;1;13;1;1876.9354838709678
Ala Completa;1;13;1;810.3870967741932
Media Pechuga;1;13;1;2175.0
Blanqueta;1;13;1;0.0
Alón;1;13;1;0.0
Punta;1;13;1;-1.8189894035458565e-12
Jamoncito;1;13;1;1095.6129032258068
Medio Muslo;1;13;1;1956.4516129032245
Entero;1;14;1;921.9999999999991
Medio Pollo;1;14;1;1021.5
Medio Pollo Superior;1;14;1;1258.8387096774195
Medio Pollo Inferior;1;14;1;1118.4193548387093
Cuarto de Pollo Superior;1;14;1;1458.8709677419356
Muslo Entero;1;14;1;1304.82258064516
Pechuga Completa;1;14;1;1876.9354838709678
Ala Completa;1;14;1;810.5806451612916
Media Pechuga;1;14;1;2175.967741935485
Blanqueta;1;14;1;0.0
Alón;1;14;1;0.0
Punta;1;14;1;-1.8189894035458565e-12
Jamoncito;1;14;1;1095.6129032258068
Medio Muslo;1;14;1;1956.4516129032245
Entero;1;15;1;921.9999999999991
Medio Pollo;1;15;1;1021.5
Medio Pollo Superior;1;15;1;1258.8387096774195
Medio Pollo Inferior;1;15;1;1119.2580645161288
Cuarto de Pollo Superior;1;15;1;1460.032258064516
Muslo Entero;1;15;1;1304.82258064516
Pechuga Completa;1;15;1;1876.9354838709678
Ala Completa;1;15;1;810.3870967741932
Media Pechuga;1;15;1;2175.0
Blanqueta;1;15;1;0.0
Alón;1;15;1;0.0
Punta;1;15;1;-1.8189894035458565e-12
Jamoncito;1;15;1;1095.311827956989
Medio Muslo;1;15;1;1955.9139784946228
Entero;1;16;1;923.0
Medio Pollo;1;16;1;1022.0
Medio Pollo Superior;1;16;1;1258.8387096774195
Medio Pollo Inferior;1;16;1;1118.4193548387093
Cuarto de Pollo Superior;1;16;1;1458.8709677419356
Muslo Entero;1;16;1;1304.82258064516
Pechuga Completa;1;16;1;1876.9354838709678
Ala Completa;1;16;1;810.4354838709678
Media Pechuga;1;16;1;2175.241935483871
Blanqueta;1;16;1;0.0
Alón;1;16;1;0.0
Punta;1;16;1;7.275957614183426e-12
Jamoncito;1;16;1;1095.3870967741932
Medio Muslo;1;16;1;1956.0483870967737
Entero;1;17;1;923.0
Medio Pollo;1;17;1;1022.0
Medio Pollo Superior;1;17;1;1258.8387096774195
Medio Pollo Inferior;1;17;1;1118.4193548387093
Cuarto de Pollo Superior;1;17;1;1458.8709677419356
Muslo Entero;1;17;1;1304.82258064516
Pechuga Completa;1;17;1;1876.9354838709678
Ala Completa;1;17;1;810.4354838709678
Media Pechuga;1;17;1;2175.241935483871
Blanqueta;1;17;1;0.0
Alón;1;17;1;0.0
Punta;1;17;1;-1.8189894035458565e-12
Jamoncito;1;17;1;1095.3870967741932
Medio Muslo;1;17;1;1956.0483870967737
Entero;1;18;1;921.0
Medio Pollo;1;18;1;1022.0
Medio Pollo Superior;1;18;1;1259.4193548387102
Medio Pollo Inferior;1;18;1;1118.8387096774195
Cuarto de Pollo Superior;1;18;1;1458.8709677419356
Muslo Entero;1;18;1;1305.4516129032263
Pechuga Completa;1;18;1;1877.4193548387102
Ala Completa;1;18;1;810.5322580645161
Media Pechuga;1;18;1;2175.241935483871
Blanqueta;1;18;1;0.0
