f;t;r;value
Entero;1;1;51.53004848623685
Medio Pollo;1;1;61.76981834388814
Medio Pollo Superior;1;1;61.44585642622838
Medio Pollo Inferior;1;1;68.18590005813361
Cuarto de Pollo Superior;1;1;65.59846602358509
Muslo Entero;1;1;72.62481838462745
Pechuga Completa;1;1;66.36638964058535
Ala Completa;1;1;91.14131280038924
Media Pechuga;1;1;72.74651984543475
Blanqueta;1;1;105.67151946080327
Alón;1;1;110.34851856772683
Punta;1;1;115.54601048454107
Jamoncito;1;1;94.34989122926503
Medio Muslo;1;1;73.89959494614124
Entero;2;1;51.86904848623685
Medio Pollo;2;1;62.108818343888146
Medio Pollo Superior;2;1;61.78485642622838
Medio Pollo Inferior;2;1;68.5249000581336
Cuarto de Pollo Superior;2;1;65.93746602358509
Muslo Entero;2;1;72.96381838462744
Pechuga Completa;2;1;66.70538964058535
Ala Completa;2;1;91.48031280038924
Media Pechuga;2;1;73.08551984543473
Blanqueta;2;1;106.01051946080327
Alón;2;1;110.68751856772684
Punta;2;1;115.88501048454108
Jamoncito;2;1;94.68889122926504
Medio Muslo;2;1;74.23859494614122
Entero;3;1;52.208048486236855
Medio Pollo;3;1;62.447818343888144
Medio Pollo Superior;3;1;62.12385642622838
Medio Pollo Inferior;3;1;68.8639000581336
Cuarto de Pollo Superior;3;1;66.27646602358509
Muslo Entero;3;1;73.30281838462744
Pechuga Completa;3;1;67.04438964058535
Ala Completa;3;1;91.81931280038924
Media Pechuga;3;1;73.42451984543474
Blanqueta;3;1;106.34951946080326
Alón;3;1;111.02651856772684
Punta;3;1;116.22401048454108
Jamoncito;3;1;95.02789122926504
Medio Muslo;3;1;74.57759494614123
Entero;4;1;52.547048486236854
Medio Pollo;4;1;62.78681834388814
Medio Pollo Superior;4;1;62.46285642622838
Medio Pollo Inferior;4;1;69.2029000581336
Cuarto de Pollo Superior;4;1;66.61546602358509
Muslo Entero;4;1;73.64181838462744
Pechuga Completa;4;1;67.38338964058535
Ala Completa;4;1;92.15831280038925
Media Pechuga;4;1;73.76351984543474
Blanqueta;4;1;106.68851946080325
Alón;4;1;111.36551856772684
Punta;4;1;116.5630104845411
Jamoncito;4;1;95.36689122926502
Medio Muslo;4;1;74.91659494614123
Entero;5;1;52.88604848623686
Medio Pollo;5;1;63.12581834388814
Medio Pollo Superior;5;1;62.80185642622838
Medio Pollo Inferior;5;1;69.54190005813359
Cuarto de Pollo Superior;5;1;66.95446602358508
Muslo Entero;5;1;73.98081838462744
Pechuga Completa;5;1;67.72238964058535
Ala Completa;5;1;92.49731280038924
Media Pechuga;5;1;74.10251984543474
Blanqueta;5;1;107.02751946080326
Alón;5;1;111.70451856772684
Punta;5;1;116.9020104845411
Jamoncito;5;1;95.70589122926503
Medio Muslo;5;1;75.25559494614123
Entero;6;1;53.22504848623686
Medio Pollo;6;1;63.46481834388814
Medio Pollo Superior;6;1;63.14085642622838
Medio Pollo Inferior;6;1;69.88090005813359
Cuarto de Pollo Superior;6;1;67.29346602358508
Muslo Entero;6;1;74.31981838462744
Pechuga Completa;6;1;68.06138964058535
Ala Completa;6;1;92.83631280038925
Media Pechuga;6;1;74.44151984543475
Blanqueta;6;1;107.36651946080326
Alón;6;1;112.04351856772685
Punta;6;1;117.2410104845411
Jamoncito;6;1;96.04489122926502
Medio Muslo;6;1;75.59459494614123
Entero;7;1;53.56404848623685
Medio Pollo;7;1;63.803818343888146
Medio Pollo Superior;7;1;63.47985642622838
Medio Pollo Inferior;7;1;70.2199000581336
Cuarto de Pollo Superior;7;1;67.63246602358508
Muslo Entero;7;1;74.65881838462744
Pechuga Completa;7;1;68.40038964058535
Ala Completa;7;1;93.17531280038925
Media Pechuga;7;1;74.78051984543474
Blanqueta;7;1;107.70551946080326
Alón;7;1;112.38251856772683
Punta;7;1;117.58001048454108
Jamoncito;7;1;96.38389122926503
Medio Muslo;7;1;75.93359494614123
Entero;8;1;53.903048486236855
Medio Pollo;8;1;64.14281834388814
Medio Pollo Superior;8;1;63.81885642622838
Medio Pollo Inferior;8;1;70.5589000581336
Cuarto de Pollo Superior;8;1;67.9714660235851
Muslo Entero;8;1;74.99781838462745
Pechuga Completa;8;1;68.73938964058534
Ala Completa;8;1;93.51431280038925
Media Pechuga;8;1;75.11951984543474
Blanqueta;8;1;108.04451946080327
Alón;8;1;112.72151856772685
Punta;8;1;117.91901048454109
Jamoncito;8;1;96.72289122926504
Medio Muslo;8;1;76.27259494614123
Entero;9;1;62.4214085025042
Medio Pollo;9;1;64.48181834388815
Medio Pollo Superior;9;1;64.15785642622838
Medio Pollo Inferior;9;1;70.8979000581336
Cuarto de Pollo Superior;9;1;68.31046602358508
Muslo Entero;9;1;75.33681838462745
Pechuga Completa;9;1;69.07838964058534
Ala Completa;9;1;93.85331280038925
Media Pechuga;9;1;75.45851984543474
Blanqueta;9;1;108.38351946080326
Alón;9;1;113.06051856772683
Punta;9;1;118.09748455903106
Jamoncito;9;1;97.06189122926503
Medio Muslo;9;1;76.61159494614122
Entero;10;1;62.760408502504205
Medio Pollo;10;1;64.82081834388815
Medio Pollo Superior;10;1;64.49685642622838
Medio Pollo Inferior;10;1;71.2369000581336
Cuarto de Pollo Superior;10;1;68.64946602358508
Muslo Entero;10;1;75.67581838462745
Pechuga Completa;10;1;69.41738964058534
Ala Completa;10;1;94.19231280038925
Media Pechuga;10;1;75.79751984543473
Blanqueta;10;1;108.72251946080328
Alón;10;1;113.39951856772683
Punta;10;1;118.09748455903106
Jamoncito;10;1;97.4006942474413
Medio Muslo;10;1;76.95059494614122
Entero;11;1;63.0994085025042
Medio Pollo;11;1;65.15981834388815
Medio Pollo Superior;11;1;64.83585642622837
Medio Pollo Inferior;11;1;71.5759000581336
Cuarto de Pollo Superior;11;1;68.98846602358509
Muslo Entero;11;1;76.01481838462745
Pechuga Completa;11;1;69.75638964058534
Ala Completa;11;1;94.53131280038923
Media Pechuga;11;1;76.13651984543475
