f;u;r;value
Pechuga Completa;3;2;0.0
Pechuga Completa;4;2;0.0
Pechuga Completa;5;2;0.0
Pechuga Completa;6;2;0.0
Pechuga Completa;7;2;0.0
Pechuga Completa;8;2;0.0
Ala Completa;1;2;0.0
Ala Completa;2;2;0.0
Ala Completa;3;2;0.0
Ala Completa;4;2;0.0
Ala Completa;5;2;0.0
Ala Completa;6;2;0.0
Ala Completa;7;2;0.0
Ala Completa;8;2;0.0
Media Pechuga;1;2;0.0
Media Pechuga;2;2;0.0
Media Pechuga;3;2;0.0
Media Pechuga;4;2;0.0
Media Pechuga;5;2;0.0
Media Pechuga;6;2;0.0
Media Pechuga;7;2;0.0
Media Pechuga;8;2;0.0
Blanqueta;1;2;0.0
Blanqueta;2;2;0.0
Blanqueta;3;2;0.0
Blanqueta;4;2;0.0
Blanqueta;5;2;0.0
Blanqueta;6;2;0.0
Blanqueta;7;2;0.0
Blanqueta;8;2;0.0
Alón;1;2;0.0
Alón;2;2;0.0
Alón;3;2;0.0
Alón;4;2;0.0
Alón;5;2;0.0
Alón;6;2;0.0
Alón;7;2;0.0
Alón;8;2;0.0
Punta;1;2;0.0
Punta;2;2;0.0
Punta;3;2;0.0
Punta;4;2;0.0
Punta;5;2;0.0
Punta;6;2;0.0
Punta;7;2;0.0
Punta;8;2;0.0
Jamoncito;1;2;0.0
Jamoncito;2;2;0.0
Jamoncito;3;2;0.0
Jamoncito;4;2;0.0
Jamoncito;5;2;0.0
Jamoncito;6;2;0.0
Jamoncito;7;2;0.0
Jamoncito;8;2;842.3657821632153
Medio Muslo;1;2;0.0
Medio Muslo;2;2;0.0
Medio Muslo;3;2;0.0
Medio Muslo;4;2;0.0
Medio Muslo;5;2;0.0
Medio Muslo;6;2;0.0
Medio Muslo;7;2;0.0
Medio Muslo;8;2;795.4683081006747
Entero;1;3;0.0
Entero;2;3;0.0
Entero;3;3;0.0
Entero;4;3;0.0
Entero;5;3;0.0
Entero;6;3;0.0
Entero;7;3;121.73161454939918
Entero;8;3;957.0000000000246
Medio Pollo;1;3;0.0
Medio Pollo;2;3;0.0
Medio Pollo;3;3;0.0
Medio Pollo;4;3;0.0
Medio Pollo;5;3;0.0
Medio Pollo;6;3;0.0
Medio Pollo;7;3;0.0
Medio Pollo;8;3;553.5038619657132
Medio Pollo Superior;1;3;0.0
Medio Pollo Superior;2;3;0.0
Medio Pollo Superior;3;3;0.0
Medio Pollo Superior;4;3;0.0
Medio Pollo Superior;5;3;0.0
Medio Pollo Superior;6;3;0.0
Medio Pollo Superior;7;3;0.0
Medio Pollo Superior;8;3;289.5031245790833
Medio Pollo Inferior;1;3;0.0
Medio Pollo Inferior;2;3;0.0
Medio Pollo Inferior;3;3;0.0
Medio Pollo Inferior;4;3;0.0
Medio Pollo Inferior;5;3;0.0
Medio Pollo Inferior;6;3;0.0
Medio Pollo Inferior;7;3;49.38013649982122
Medio Pollo Inferior;8;3;1110.4516129032259
Cuarto de Pollo Superior;1;3;0.0
Cuarto de Pollo Superior;2;3;0.0
Cuarto de Pollo Superior;3;3;0.0
Cuarto de Pollo Superior;4;3;0.0
Cuarto de Pollo Superior;5;3;0.0
Cuarto de Pollo Superior;6;3;0.0
Cuarto de Pollo Superior;7;3;0.0
Cuarto de Pollo Superior;8;3;1000.4773876725724
Muslo Entero;1;3;0.0
Muslo Entero;2;3;0.0
Muslo Entero;3;3;0.0
Muslo Entero;4;3;0.0
Muslo Entero;5;3;0.0
Muslo Entero;6;3;0.0
Muslo Entero;7;3;0.0
Muslo Entero;8;3;169.35007442736196
Pechuga Completa;1;3;0.0
Pechuga Completa;2;3;0.0
