f;t;r;value
Muslo Entero;12;1;99595.57245983662
Pechuga Completa;12;1;210311.69540704746
Ala Completa;12;1;73992.90044594267
Media Pechuga;12;1;175368.18284831304
Blanqueta;12;1;18998.209123544068
Alón;12;1;8442.36250998566
Punta;12;1;1093.4938345610856
Jamoncito;12;1;167484.2732938471
Medio Muslo;12;1;129131.52014500283
Entero;13;1;76203.03349743916
Medio Pollo;13;1;131422.6848968596
Medio Pollo Superior;13;1;85794.14436484987
Medio Pollo Inferior;13;1;101541.12955023834
Cuarto de Pollo Superior;13;1;126130.7038163777
Muslo Entero;13;1;141025.4895243563
Pechuga Completa;13;1;244118.53220979954
Ala Completa;13;1;56995.13538346219
Media Pechuga;13;1;292674.7486968059
Blanqueta;13;1;18499.291737276886
Alón;13;1;6182.430105396171
Punta;13;1;2268.0071025430852
Jamoncito;13;1;176916.76686922318
Medio Muslo;13;1;271442.9638999611
Entero;14;1;123584.22946100154
Medio Pollo;14;1;75013.70848643003
Medio Pollo Superior;14;1;177658.41750842822
Medio Pollo Inferior;14;1;81011.79108659708
Cuarto de Pollo Superior;14;1;162295.12365840803
Muslo Entero;14;1;107942.49249884568
Pechuga Completa;14;1;145687.02746499545
Ala Completa;14;1;68825.4325189719
Media Pechuga;14;1;219864.2643930811
Blanqueta;14;1;15593.645598695186
Alón;14;1;6907.2960562891485
Punta;14;1;2588.28368384767
Jamoncito;14;1;160232.10902562484
Medio Muslo;14;1;197215.0768101849
Entero;15;1;88591.44794188355
Medio Pollo;15;1;85941.5821529925
Medio Pollo Superior;15;1;136327.34126107045
Medio Pollo Inferior;15;1;136786.8830799681
Cuarto de Pollo Superior;15;1;161775.5890514343
Muslo Entero;15;1;151562.87343490898
Pechuga Completa;15;1;181146.53996529695
Ala Completa;15;1;124129.3273838583
Media Pechuga;15;1;176634.33961972938
Blanqueta;15;1;25088.18472185435
Alón;15;1;26466.86947857762
Punta;15;1;8721.561644266827
Jamoncito;15;1;180407.30055253895
Medio Muslo;15;1;126431.82018941597
Entero;16;1;69202.31992193835
Medio Pollo;16;1;111319.68288060663
Medio Pollo Superior;16;1;111051.95426805785
Medio Pollo Inferior;16;1;122117.23474451502
Cuarto de Pollo Superior;16;1;149263.6634636254
Muslo Entero;16;1;171044.36687263014
Pechuga Completa;16;1;201326.3535560019
Ala Completa;16;1;86101.21202000011
Media Pechuga;16;1;299020.1825034794
Blanqueta;16;1;34478.76732550179
Alón;16;1;23489.918973337877
Punta;16;1;5723.176006626368
Jamoncito;16;1;208423.68991474438
Medio Muslo;16;1;220332.03575925753
Entero;17;1;79946.87011231187
Medio Pollo;17;1;160014.0475143049
Medio Pollo Superior;17;1;109773.9380723785
Medio Pollo Inferior;17;1;129336.7342223545
Cuarto de Pollo Superior;17;1;164074.63830055957
Muslo Entero;17;1;103143.57834084725
Pechuga Completa;17;1;185808.04495985794
Ala Completa;17;1;87013.0748414528
Media Pechuga;17;1;269328.66488672624
Blanqueta;17;1;21418.300789859735
Alón;17;1;9877.004132375412
Punta;17;1;2742.207862769078
Jamoncito;17;1;205862.96793675903
Medio Muslo;17;1;133571.31456365887
Entero;18;1;95810.77760363171
Medio Pollo;18;1;71748.99208777439
Medio Pollo Superior;18;1;166150.63416180457
Medio Pollo Inferior;18;1;121414.60836215643
Cuarto de Pollo Superior;18;1;157194.31706173808
Muslo Entero;18;1;137943.89761269855
Pechuga Completa;18;1;191094.82517766088
Ala Completa;18;1;62733.64773909282
Media Pechuga;18;1;153491.21915762007
Blanqueta;18;1;28780.58351968148
Alón;18;1;14956.570993151721
Punta;18;1;904.9501398008094
Jamoncito;18;1;115371.38241021147
Medio Muslo;18;1;250001.38362254694
Entero;19;1;73268.21772635425
Medio Pollo;19;1;108346.96293275978
Medio Pollo Superior;19;1;105489.62639156177
Medio Pollo Inferior;19;1;114864.70709532905
Cuarto de Pollo Superior;19;1;96558.74629191647
Muslo Entero;19;1;144135.01909462104
Pechuga Completa;19;1;199942.6923673988
Ala Completa;19;1;106648.55490253202
Media Pechuga;19;1;213412.59341144114
Blanqueta;19;1;31063.145424062757
Alón;19;1;5672.006813464634
Punta;19;1;1159.2857404349556
Jamoncito;19;1;160656.48403750575
Medio Muslo;19;1;173712.8860629132
Entero;20;1;67386.26467956163
Medio Pollo;20;1;79642.02654331707
Medio Pollo Superior;20;1;103462.14933051013
Medio Pollo Inferior;20;1;172015.977081564
Cuarto de Pollo Superior;20;1;152282.16706525077
Muslo Entero;20;1;97097.18037843879
Pechuga Completa;20;1;197569.8063953563
Ala Completa;20;1;97949.51928093327
Media Pechuga;20;1;195570.7933388458
Blanqueta;20;1;25351.109618720442
Alón;20;1;6935.04439571206
Punta;20;1;1703.9565450662672
Jamoncito;20;1;151309.582087398
Medio Muslo;20;1;275765.9104664225
Entero;21;1;141375.76655203797
Medio Pollo;21;1;96687.47382406893
Medio Pollo Superior;21;1;109410.6688850984
Medio Pollo Inferior;21;1;135787.66836063162
Cuarto de Pollo Superior;21;1;91791.75223056204
Muslo Entero;21;1;93276.43191942954
Pechuga Completa;21;1;171382.13507904246
Ala Completa;21;1;92282.12075881593
Media Pechuga;21;1;269348.188170865
Blanqueta;21;1;20920.88395313988
Alón;21;1;5798.560327837218
Punta;21;1;2856.045046460735
Jamoncito;21;1;133981.82789613455
Medio Muslo;21;1;232846.32429739233
Entero;22;1;68950.29258033079
Medio Pollo;22;1;134019.23445668965
Medio Pollo Superior;22;1;137835.70529260265
Medio Pollo Inferior;22;1;110517.24157265792
Cuarto de Pollo Superior;22;1;158846.8097666096
Muslo Entero;22;1;147076.36957763453
Pechuga Completa;22;1;215374.64575522087
Ala Completa;22;1;109366.01829814503
Media Pechuga;22;1;195414.487098501
Blanqueta;22;1;37594.5859589434
Alón;22;1;13230.318154422173
Punta;22;1;11118.011703410562
Jamoncito;22;1;178984.62750835353
Medio Muslo;22;1;123996.57759586137
Entero;23;1;88609.25601174234
Medio Pollo;23;1;113403.73590763853
Medio Pollo Superior;23;1;152982.46716133898
Medio Pollo Inferior;23;1;168586.63114277346
Cuarto de Pollo Superior;23;1;151918.7542898231
Muslo Entero;23;1;184159.41295475358
Pechuga Completa;23;1;162429.37323824217
Ala Completa;23;1;65425.86736715612
Media Pechuga;23;1;142451.29558163678
Blanqueta;23;1;33882.84128760581
Alón;23;1;22597.00447443808
Punta;23;1;5188.013649900763
Jamoncito;23;1;176448.98747692074
Medio Muslo;23;1;229671.73552762583
Entero;24;1;79174.86010106548
Medio Pollo;24;1;118357.03812626298
Medio Pollo Superior;24;1;109540.24771252225
Medio Pollo Inferior;24;1;145234.71511102578
Cuarto de Pollo Superior;24;1;164104.8609584344
Muslo Entero;24;1;93976.37770025193
Pechuga Completa;24;1;194232.18348965875
Ala Completa;24;1;122665.05756260216
Media Pechuga;24;1;193974.96775159895
Blanqueta;24;1;31104.156459548412
Alón;24;1;12375.837261541092
Punta;24;1;6986.120468147522
Jamoncito;24;1;207986.45275390684
Medio Muslo;24;1;229951.66919785162
Entero;25;1;146344.0802805042
Medio Pollo;25;1;115567.18938275668
Medio Pollo Superior;25;1;147571.4242158218
Medio Pollo Inferior;25;1;97841.38837596455
Cuarto de Pollo Superior;25;1;122284.61667328092
Muslo Entero;25;1;108311.35803960198
Pechuga Completa;25;1;117101.77262793225
Ala Completa;25;1;77974.79366152293
Media Pechuga;25;1;199648.9219419161
Blanqueta;25;1;29775.418071875723
Alón;25;1;16498.11385534037
Punta;25;1;3251.2604238154904
Jamoncito;25;1;149599.6791102113
Medio Muslo;25;1;134907.3353944738
Entero;26;1;80414.55012811162
Medio Pollo;26;1;132238.8826840168
Medio Pollo Superior;26;1;93176.07900722907
Medio Pollo Inferior;26;1;177289.42246043257
Cuarto de Pollo Superior;26;1;161436.53432358598
Muslo Entero;26;1;175177.81577017246
Pechuga Completa;26;1;191261.28087695033
Ala Completa;26;1;60178.19837868636
Media Pechuga;26;1;284375.1396116757
Blanqueta;26;1;18590.992739046895
Alón;26;1;9692.618279886541
Punta;26;1;2546.8731290746596
Jamoncito;26;1;148073.55626850625
Medio Muslo;26;1;137358.16491039866
Entero;27;1;140253.27049891138
Medio Pollo;27;1;94443.57918966391
Medio Pollo Superior;27;1;124484.84513795613
Medio Pollo Inferior;27;1;83514.41515516072
Cuarto de Pollo Superior;27;1;139969.75786716942
Muslo Entero;27;1;150068.59460500127
Pechuga Completa;27;1;135396.3169596423
Ala Completa;27;1;97937.15111928253
Media Pechuga;27;1;152424.57122269724
Blanqueta;27;1;14643.89522366316
Alón;27;1;8080.264050657833
Punta;27;1;1712.8352916479337
Jamoncito;27;1;149077.93527513652
Medio Muslo;27;1;167919.5862059054
Entero;28;1;86854.979443418
Medio Pollo;28;1;108378.28981516119
Medio Pollo Superior;28;1;152107.2138679454
Medio Pollo Inferior;28;1;176259.23173073074
Cuarto de Pollo Superior;28;1;140429.1902344794
Muslo Entero;28;1;179557.26911585423
Pechuga Completa;28;1;148897.12758423833
Ala Completa;28;1;87120.62736315111
Media Pechuga;28;1;254744.09723773037
Blanqueta;28;1;15241.39938386976
Alón;28;1;8525.181957513003
Punta;28;1;2569.9222648257155
Jamoncito;28;1;102337.03561589714
Medio Muslo;28;1;257110.58069235738
Entero;29;1;114373.28672087683
Medio Pollo;29;1;160572.60100374796
Medio Pollo Superior;29;1;130686.93673220389
Medio Pollo Inferior;29;1;136367.02544451974
Cuarto de Pollo Superior;29;1;103682.36412504906
Muslo Entero;29;1;216148.8774392869
Pechuga Completa;29;1;153379.31973196528
Ala Completa;29;1;110126.81556310282
Media Pechuga;29;1;167509.2049551596
Blanqueta;29;1;27228.690275781977
Alón;29;1;18540.000330863048
Punta;29;1;6683.068371812567
Jamoncito;29;1;193500.40078468423
Medio Muslo;29;1;139086.77862234693
Entero;30;1;113739.9230021618
Medio Pollo;30;1;77184.80531992916
Medio Pollo Superior;30;1;184500.33508277964
Medio Pollo Inferior;30;1;138794.21748842887
Cuarto de Pollo Superior;30;1;204776.83839289795
Muslo Entero;30;1;132910.50290407773
Pechuga Completa;30;1;115179.08714833851
Ala Completa;30;1;91873.56495116855
Media Pechuga;30;1;269579.0406441279
Blanqueta;30;1;27765.977278299226
Alón;30;1;16328.223183595343
Punta;30;1;6920.662576552586
Jamoncito;30;1;126230.28799193077
Medio Muslo;30;1;154934.27325448507
Entero;31;1;103047.11699077272
Medio Pollo;31;1;127838.00055296911
Medio Pollo Superior;31;1;99509.80279968525
Medio Pollo Inferior;31;1;150412.7638530912
Cuarto de Pollo Superior;31;1;161781.05940719988
Muslo Entero;31;1;131571.71732707258
Pechuga Completa;31;1;224662.33778220793
Ala Completa;31;1;98076.85924202549
Media Pechuga;31;1;303927.7039423596
Blanqueta;31;1;28074.431457230152
Alón;31;1;13656.036167317909
Punta;31;1;3328.4474703715814
Jamoncito;31;1;93829.62884247782
Medio Muslo;31;1;177234.98336645987
Entero;32;1;109057.98540381673
Medio Pollo;32;1;102281.3036405482
Medio Pollo Superior;32;1;137224.8776734826
Medio Pollo Inferior;32;1;82478.20125337548
Cuarto de Pollo Superior;32;1;156287.04400686137
Muslo Entero;32;1;104847.69851281223
Pechuga Completa;32;1;197023.45712104643
Ala Completa;32;1;71058.70730901386
Media Pechuga;32;1;191733.3561269905
Blanqueta;32;1;15515.544197803754
Alón;32;1;9533.487420814468
Punta;32;1;1168.0949661656077
Jamoncito;32;1;134106.4920965139
Medio Muslo;32;1;122577.77177276756
Entero;33;1;81040.21638968225
Medio Pollo;33;1;95618.79010628923
Medio Pollo Superior;33;1;82653.00854291054
Medio Pollo Inferior;33;1;107448.03187390711
Cuarto de Pollo Superior;33;1;128072.20989790396
Muslo Entero;33;1;119016.61277602334
Pechuga Completa;33;1;158502.33745648328
Ala Completa;33;1;96099.25454626126
Media Pechuga;33;1;150565.298104419
Blanqueta;33;1;18122.103213034905
Alón;33;1;6740.382370390078
Punta;33;1;1616.161083909922
Jamoncito;33;1;178919.90717879683
Medio Muslo;33;1;202225.06638987447
Entero;34;1;139074.0161171892
Medio Pollo;34;1;141254.70800895296
Medio Pollo Superior;34;1;102823.66584309033
Medio Pollo Inferior;34;1;87915.73013437667
Cuarto de Pollo Superior;34;1;197093.3399625618
Muslo Entero;34;1;111706.02043602061
Pechuga Completa;34;1;209699.3479249895
Ala Completa;34;1;116731.92501963249
Media Pechuga;34;1;244737.32397295072
Blanqueta;34;1;11946.981551169894
Alón;34;1;7476.580024055599
Punta;34;1;1515.9418422209556
Jamoncito;34;1;183587.76792105168
Medio Muslo;34;1;244928.32549907878
Entero;35;1;71960.03274968441
Medio Pollo;35;1;110162.4944797928
Medio Pollo Superior;35;1;128225.15906897512
Medio Pollo Inferior;35;1;124358.65716668211
Cuarto de Pollo Superior;35;1;156588.2654346744
Muslo Entero;35;1;118524.1292210624
Pechuga Completa;35;1;249054.4869921798
Ala Completa;35;1;86772.55997952
Media Pechuga;35;1;154791.3156002122
Blanqueta;35;1;15770.899859717294
Alón;35;1;8025.926573562325
Punta;35;1;3237.4082182676857
Jamoncito;35;1;132201.90992082638
Medio Muslo;35;1;244923.00571722936
Entero;36;1;109515.04236486756
Medio Pollo;36;1;151588.4073150523
Medio Pollo Superior;36;1;136211.90753046385
Medio Pollo Inferior;36;1;88159.15316775777
Cuarto de Pollo Superior;36;1;157205.66242653748
Muslo Entero;36;1;107481.77966273765
Pechuga Completa;36;1;224132.71801858087
Ala Completa;36;1;93347.75031551842
Media Pechuga;36;1;247792.68122807663
Blanqueta;36;1;24744.782249297292
Alón;36;1;12871.144008686917
Punta;36;1;6577.921873671287
Jamoncito;36;1;184580.83326758747
Medio Muslo;36;1;235404.14583250668
Entero;37;1;85664.23401818975
Medio Pollo;37;1;94582.80976676216
Medio Pollo Superior;37;1;135610.38828301238
Medio Pollo Inferior;37;1;83431.80251762521
Cuarto de Pollo Superior;37;1;144276.91306111633
Muslo Entero;37;1;201962.50155089115
Pechuga Completa;37;1;165503.31462119592
Ala Completa;37;1;69705.66197459228
Media Pechuga;37;1;230379.07788987178
Blanqueta;37;1;17125.7589411102
Alón;37;1;7101.524701208942
Punta;37;1;3667.7285993856212
Jamoncito;37;1;203779.3021010138
Medio Muslo;37;1;155107.87573551838
Entero;38;1;105008.65973260684
Medio Pollo;38;1;122113.18262130857
Medio Pollo Superior;38;1;94800.67877866852
Medio Pollo Inferior;38;1;175840.58569341796
Cuarto de Pollo Superior;38;1;168362.90761059156
Muslo Entero;38;1;125297.52866683614
Pechuga Completa;38;1;243638.56906141978
Ala Completa;38;1;98004.46815088109
Media Pechuga;38;1;196220.62833969097
Blanqueta;38;1;28488.103162746498
Alón;38;1;8080.182898074456
Punta;38;1;1316.7748981182629
Jamoncito;38;1;113550.35034387138
Medio Muslo;38;1;177436.76404481925
Entero;39;1;68657.25423611848
Medio Pollo;39;1;81641.53703284451
Medio Pollo Superior;39;1;174838.17986600543
Medio Pollo Inferior;39;1;134218.9455747978
Cuarto de Pollo Superior;39;1;155356.62427435798
Muslo Entero;39;1;119219.64737606174
Pechuga Completa;39;1;195628.36396244325
Ala Completa;39;1;120117.6745900739
Media Pechuga;39;1;133316.96344633488
Blanqueta;39;1;20239.814609309688
Alón;39;1;5585.466558877054
Punta;39;1;2949.983488746657
Jamoncito;39;1;150778.77269699288
Medio Muslo;39;1;251272.96103982496
Entero;40;1;142474.48859235743
Medio Pollo;40;1;117413.28989310529
Medio Pollo Superior;40;1;111892.74657888502
Medio Pollo Inferior;40;1;110616.25231890913
Cuarto de Pollo Superior;40;1;149758.59006174363
Muslo Entero;40;1;162295.22028019722
Pechuga Completa;40;1;160166.2706656889
Ala Completa;40;1;100200.73298213621
Media Pechuga;40;1;301242.97631837253
Blanqueta;40;1;10530.882577051181
Alón;40;1;7392.596711519614
Punta;40;1;1585.599202957018
Jamoncito;40;1;147983.75202714477
Medio Muslo;40;1;173316.68192218864
Entero;41;1;126004.95190370595
Medio Pollo;41;1;112495.73366091627
Medio Pollo Superior;41;1;155271.28002691315
Medio Pollo Inferior;41;1;149407.6324979991
Cuarto de Pollo Superior;41;1;92738.37652847043
Muslo Entero;41;1;122156.4380594976
Pechuga Completa;41;1;163813.15037689108
Ala Completa;41;1;58563.034753423395
Media Pechuga;41;1;238101.99046997222
Blanqueta;41;1;13495.225769831413
Alón;41;1;8794.060582845448
Punta;41;1;3577.161546765254
Jamoncito;41;1;131753.3449479515
Medio Muslo;41;1;123583.32826872345
Entero;42;1;113952.21051710886
Medio Pollo;42;1;121140.22191209957
Medio Pollo Superior;42;1;132697.54549418925
Medio Pollo Inferior;42;1;161821.62641903607
Cuarto de Pollo Superior;42;1;124723.00881745362
Muslo Entero;42;1;131202.0955696656
Pechuga Completa;42;1;153852.24914247714
Ala Completa;42;1;122081.48402516876
Media Pechuga;42;1;221857.55846647374
Blanqueta;42;1;11311.085323167243
Alón;42;1;11829.102104340904
Punta;42;1;3215.405616993339
Jamoncito;42;1;192332.25138313393
Medio Muslo;42;1;222230.11382526756
Entero;43;1;112199.50160393439
Medio Pollo;43;1;89074.97167732473
Medio Pollo Superior;43;1;122567.95811947198
Medio Pollo Inferior;43;1;175702.3853635808
Cuarto de Pollo Superior;43;1;97226.60419508736
Muslo Entero;43;1;151360.12795042543
Pechuga Completa;43;1;189295.19405271485
Ala Completa;43;1;101035.90794023777
Media Pechuga;43;1;156103.0834918178
Blanqueta;43;1;26749.059011455414
Alón;43;1;16890.410927126584
Punta;43;1;6279.60641662053
Jamoncito;43;1;196948.80509700073
Medio Muslo;43;1;188681.94570405653
Entero;44;1;101287.30204194962
Medio Pollo;44;1;100991.3376107764
Medio Pollo Superior;44;1;80659.84990372765
Medio Pollo Inferior;44;1;85273.64570517704
Cuarto de Pollo Superior;44;1;165644.39475631205
Muslo Entero;44;1;109606.39651662756
Pechuga Completa;44;1;163915.89116424238
Ala Completa;44;1;99079.76356921584
Media Pechuga;44;1;263702.0717195072
Blanqueta;44;1;19371.08051907814
Alón;44;1;15552.010097907041
Punta;44;1;2364.720004423353
Jamoncito;44;1;117876.46770773156
Medio Muslo;44;1;219241.61521538754
Entero;45;1;121083.63938312016
Medio Pollo;45;1;155850.14851468662
Medio Pollo Superior;45;1;121845.85801951375
Medio Pollo Inferior;45;1;149765.3649000755
Cuarto de Pollo Superior;45;1;118251.05760071438
Muslo Entero;45;1;125356.52828704349
Pechuga Completa;45;1;242688.4749915162
Ala Completa;45;1;95543.3880097831
Media Pechuga;45;1;248306.83120422697
Blanqueta;45;1;30811.364339534146
Alón;45;1;6819.076827502714
Punta;45;1;1546.7742329660011
Jamoncito;45;1;160466.97582686588
Medio Muslo;45;1;236881.76069095064
Entero;46;1;110033.58827043687
Medio Pollo;46;1;79929.13963751426
Medio Pollo Superior;46;1;178272.81177867303
Medio Pollo Inferior;46;1;162873.77066660777
Cuarto de Pollo Superior;46;1;151341.1768199274
Muslo Entero;46;1;143300.54450802298
Pechuga Completa;46;1;159740.17709684352
Ala Completa;46;1;93663.94102891849
Media Pechuga;46;1;247432.5339102525
Blanqueta;46;1;23936.25145117252
Alón;46;1;6956.058992932989
Punta;46;1;3041.5104859700377
Jamoncito;46;1;166427.6026747477
Medio Muslo;46;1;225477.73542493038
Entero;47;1;109294.5241474345
Medio Pollo;47;1;157343.14971374362
Medio Pollo Superior;47;1;113200.87007411513
Medio Pollo Inferior;47;1;115917.40034205696
Cuarto de Pollo Superior;47;1;125885.98487171312
Muslo Entero;47;1;125735.92352971208
Pechuga Completa;47;1;194033.66200584648
Ala Completa;47;1;98143.82633494804
Media Pechuga;47;1;139617.30430980035
Blanqueta;47;1;20588.47592258844
Alón;47;1;10553.580628788803
Punta;47;1;2560.020385191914
Jamoncito;47;1;132845.19141802672
Medio Muslo;47;1;207703.58765224615
Entero;48;1;108620.87313910734
Medio Pollo;48;1;136060.06835973752
Medio Pollo Superior;48;1;100634.40791265143
Medio Pollo Inferior;48;1;87918.62149141125
Cuarto de Pollo Superior;48;1;136238.67376905508
Muslo Entero;48;1;179238.18782114665
Pechuga Completa;48;1;181268.12610875425
Ala Completa;48;1;94562.92246176687
Media Pechuga;48;1;235886.6347421737
Blanqueta;48;1;12345.19483244028
Alón;48;1;8462.801591420663
Punta;48;1;2756.2331199417667
Jamoncito;48;1;148313.23646148795
Medio Muslo;48;1;193390.76981702863
Entero;49;1;107904.27877669802
Medio Pollo;49;1;120329.19370149268
Medio Pollo Superior;49;1;137759.09085613632
Medio Pollo Inferior;49;1;180979.75581971725
Cuarto de Pollo Superior;49;1;120898.94673014407
Muslo Entero;49;1;111710.33855134973
Pechuga Completa;49;1;142589.5264405376
Ala Completa;49;1;94856.48955121751
Media Pechuga;49;1;201377.69639344205
Blanqueta;49;1;23339.53779208417
Alón;49;1;9384.276440546277
Punta;49;1;2644.4925174081054
Jamoncito;49;1;97033.18607799806
Medio Muslo;49;1;162067.00313413455
Entero;50;1;79974.6301723535
Medio Pollo;50;1;112601.70704681652
Medio Pollo Superior;50;1;122792.35633762354
Medio Pollo Inferior;50;1;142849.3623485756
Cuarto de Pollo Superior;50;1;166788.1670551775
Muslo Entero;50;1;118604.76066791551
