k;t;r;value
p1;1;1;922.00000000002
p2;1;1;-0.0
p3;1;1;2042.9999999999975
p4;1;1;-0.0
p5;1;1;-0.0
p6;1;1;-0.0
p7;1;1;1491.0
p8;1;1;-0.0
p9;1;1;-0.0
p10;1;1;-0.0
p11;1;1;1.9999999999813554
p12;1;1;-0.0
p13;1;1;-0.0
p14;1;1;-0.0
p15;1;1;2667.0
p16;1;1;-0.0
p17;1;1;2168.0
p18;1;1;-0.0
p19;1;1;-0.0
p20;1;1;-0.0
p21;1;1;1827.0
p22;1;1;-0.0
p23;1;1;-0.0
p24;1;1;3282.0
p25;1;1;-0.0
p26;1;1;-0.0
p27;1;1;598.0
p28;1;1;-0.0
p1;2;1;922.0000000000273
p2;2;1;-0.0
p3;2;1;2043.0
p4;2;1;-0.0
p5;2;1;-0.0
p6;2;1;-0.0
p7;2;1;1491.0000000017556
p8;2;1;-0.0
p9;2;1;-0.0
p10;2;1;-0.0
p11;2;1;2.0
p12;2;1;-0.0
p13;2;1;-0.0
p14;2;1;-0.0
p15;2;1;2666.999999999999
p16;2;1;-0.0
p17;2;1;2167.999999998219
p18;2;1;-0.0
p19;2;1;-0.0
p20;2;1;-0.0
p21;2;1;1827.0
p22;2;1;-0.0
p23;2;1;-0.0
p24;2;1;3282.0
p25;2;1;-0.0
p26;2;1;-0.0
p27;2;1;598.0
p28;2;1;-0.0
p1;3;1;922.0000000000236
p2;3;1;-0.0
p3;3;1;2043.0
p4;3;1;-0.0
p5;3;1;-0.0
p6;3;1;-0.0
p7;3;1;1491.0000000009106
p8;3;1;-0.0
p9;3;1;-0.0
p10;3;1;-0.0
p11;3;1;2.0
p12;3;1;-0.0
p13;3;1;-0.0
p14;3;1;-0.0
p15;3;1;2666.999999999999
p16;3;1;-0.0
p17;3;1;2167.9999999991073
p18;3;1;-0.0
p19;3;1;-0.0
p20;3;1;-0.0
p21;3;1;1826.99999999996
p22;3;1;-0.0
p23;3;1;-0.0
p24;3;1;3282.0
p25;3;1;-0.0
p26;3;1;-0.0
p27;3;1;598.0
p28;3;1;-0.0
p1;4;1;922.0000000000236
p2;4;1;-0.0
p3;4;1;2043.0
p4;4;1;-0.0
p5;4;1;-0.0
p6;4;1;-0.0
p7;4;1;1491.0000000017212
p8;4;1;-0.0
p9;4;1;-0.0
p10;4;1;-0.0
p11;4;1;2.0
p12;4;1;-0.0
p13;4;1;-0.0
p14;4;1;-0.0
p15;4;1;2666.999999999999
p16;4;1;-0.0
p17;4;1;2167.9999999991073
p18;4;1;-0.0
p19;4;1;-0.0
p20;4;1;-0.0
p21;4;1;1826.9999999991492
p22;4;1;-0.0
p23;4;1;-0.0
p24;4;1;3282.0
p25;4;1;-0.0
