f;n;t;r;value
Medio Pollo;1;10;1;62.25238971207064
Medio Pollo Superior;1;10;1;62.361937248978876
Medio Pollo Inferior;1;10;1;68.07397443556131
Cuarto de Pollo Superior;1;10;1;66.5155346321519
Muslo Entero;1;10;1;72.51081226942868
Pechuga Completa;1;10;1;66.80469995119776
Ala Completa;1;10;1;94.43602469735859
Media Pechuga;1;10;1;73.18381898960395
Blanqueta;1;10;1;109.12405352049916
Alón;1;10;1;113.5925371111301
Punta;1;10;1;117.923192937964
Jamoncito;1;10;1;95.14952874158307
Medio Muslo;1;10;1;73.27168465584738
Entero;1;11;1;60.18570358209831
Medio Pollo;1;11;1;62.25238971207064
Medio Pollo Superior;1;11;1;62.361937248978876
Medio Pollo Inferior;1;11;1;68.07397443556131
Cuarto de Pollo Superior;1;11;1;66.5155346321519
Muslo Entero;1;11;1;72.51081226942868
Pechuga Completa;1;11;1;66.80469995119776
Ala Completa;1;11;1;94.43602469735859
Media Pechuga;1;11;1;73.18381898960395
Blanqueta;1;11;1;109.12405352049916
Alón;1;11;1;113.5925371111301
Punta;1;11;1;117.923192937964
Jamoncito;1;11;1;95.14952874158305
Medio Muslo;1;11;1;73.27168465584738
Entero;1;12;1;60.18570358209831
Medio Pollo;1;12;1;62.252389712070645
Medio Pollo Superior;1;12;1;62.361937248978876
Medio Pollo Inferior;1;12;1;68.07397443556131
Cuarto de Pollo Superior;1;12;1;66.5155346321519
Muslo Entero;1;12;1;72.51081226942868
Pechuga Completa;1;12;1;66.80469995119776
Ala Completa;1;12;1;94.4360246973586
Media Pechuga;1;12;1;73.18381898960395
Blanqueta;1;12;1;109.12405352049916
Alón;1;12;1;113.5925371111301
Punta;1;12;1;117.923192937964
Jamoncito;1;12;1;95.14952874158304
Medio Muslo;1;12;1;73.27168465584738
Entero;1;13;1;60.18570358209831
Medio Pollo;1;13;1;62.252389712070645
Medio Pollo Superior;1;13;1;62.361937248978876
Medio Pollo Inferior;1;13;1;68.07397443556131
Cuarto de Pollo Superior;1;13;1;66.5155346321519
Muslo Entero;1;13;1;72.51081226942868
Pechuga Completa;1;13;1;66.80469995119776
Ala Completa;1;13;1;94.4360246973586
Media Pechuga;1;13;1;73.18381898960395
Blanqueta;1;13;1;109.12405352049916
Alón;1;13;1;113.5925371111301
Punta;1;13;1;117.923192937964
Jamoncito;1;13;1;95.14952874158304
Medio Muslo;1;13;1;73.27168465584738
Entero;1;14;1;60.18570358209831
Medio Pollo;1;14;1;62.252389712070645
Medio Pollo Superior;1;14;1;62.361937248978876
Medio Pollo Inferior;1;14;1;68.07397443556131
Cuarto de Pollo Superior;1;14;1;66.51553463215188
Muslo Entero;1;14;1;72.51081226942868
Pechuga Completa;1;14;1;66.80469995119776
Ala Completa;1;14;1;94.43602469735862
Media Pechuga;1;14;1;73.18381898960395
Blanqueta;1;14;1;109.12405352049916
Alón;1;14;1;113.5925371111301
Punta;1;14;1;117.923192937964
Jamoncito;1;14;1;95.14952874158304
Medio Muslo;1;14;1;73.27168465584738
Entero;1;15;1;60.18570358209831
Medio Pollo;1;15;1;62.252389712070645
Medio Pollo Superior;1;15;1;62.361937248978876
Medio Pollo Inferior;1;15;1;68.07397443556131
Cuarto de Pollo Superior;1;15;1;66.5155346321519
Muslo Entero;1;15;1;72.51081226942868
Pechuga Completa;1;15;1;66.80469995119776
Ala Completa;1;15;1;94.4360246973586
Media Pechuga;1;15;1;73.18381898960394
Blanqueta;1;15;1;109.12405352049916
Alón;1;15;1;113.5925371111301
Punta;1;15;1;117.923192937964
Jamoncito;1;15;1;95.14952874158304
Medio Muslo;1;15;1;73.27168465584738
Entero;1;16;1;60.18570358209831
Medio Pollo;1;16;1;62.252389712070645
Medio Pollo Superior;1;16;1;62.361937248978876
Medio Pollo Inferior;1;16;1;68.07397443556131
Cuarto de Pollo Superior;1;16;1;66.5155346321519
Muslo Entero;1;16;1;72.51081226942868
Pechuga Completa;1;16;1;66.80469995119776
Ala Completa;1;16;1;94.4360246973586
Media Pechuga;1;16;1;73.18381898960394
Blanqueta;1;16;1;109.12405352049916
Alón;1;16;1;113.5925371111301
Punta;1;16;1;117.923192937964
Jamoncito;1;16;1;95.14952874158304
Medio Muslo;1;16;1;73.27168465584738
Entero;1;17;1;60.18570358209831
Medio Pollo;1;17;1;62.252389712070645
Medio Pollo Superior;1;17;1;62.361937248978876
Medio Pollo Inferior;1;17;1;68.07397443556131
Cuarto de Pollo Superior;1;17;1;66.5155346321519
Muslo Entero;1;17;1;72.51081226942868
Pechuga Completa;1;17;1;66.80469995119776
Ala Completa;1;17;1;94.4360246973586
Media Pechuga;1;17;1;73.18381898960394
Blanqueta;1;17;1;109.12405352049916
Alón;1;17;1;113.5925371111301
Punta;1;17;1;117.923192937964
Jamoncito;1;17;1;95.14952874158304
Medio Muslo;1;17;1;73.27168465584738
Entero;1;18;1;60.18570358209831
Medio Pollo;1;18;1;62.25238971207065
Medio Pollo Superior;1;18;1;62.361937248978876
Medio Pollo Inferior;1;18;1;68.07397443556131
Cuarto de Pollo Superior;1;18;1;66.5155346321519
Muslo Entero;1;18;1;72.51081226942868
Pechuga Completa;1;18;1;66.80469995119776
Ala Completa;1;18;1;94.43602469735859
Media Pechuga;1;18;1;73.18381898960394
Blanqueta;1;18;1;109.12405352049916
Alón;1;18;1;113.5925371111301
Punta;1;18;1;117.923192937964
Jamoncito;1;18;1;95.14952874158305
Medio Muslo;1;18;1;73.27168465584738
Entero;1;19;1;60.18570358209831
Medio Pollo;1;19;1;62.25238971207065
Medio Pollo Superior;1;19;1;62.361937248978876
Medio Pollo Inferior;1;19;1;68.07397443556131
Cuarto de Pollo Superior;1;19;1;66.5155346321519
Muslo Entero;1;19;1;72.51081226942868
Pechuga Completa;1;19;1;66.80469995119776
Ala Completa;1;19;1;94.43602469735859
Media Pechuga;1;19;1;73.18381898960394
Blanqueta;1;19;1;109.12405352049916
Alón;1;19;1;113.5925371111301
Punta;1;19;1;117.923192937964
Jamoncito;1;19;1;95.14952874158304
Medio Muslo;1;19;1;73.27168465584738
Entero;1;20;1;60.18570358209831
Medio Pollo;1;20;1;62.25238971207065
Medio Pollo Superior;1;20;1;62.361937248978876
Medio Pollo Inferior;1;20;1;68.07397443556131
Cuarto de Pollo Superior;1;20;1;66.5155346321519
Muslo Entero;1;20;1;72.51081226942868
Pechuga Completa;1;20;1;66.80469995119776
Ala Completa;1;20;1;94.43602469735859
Media Pechuga;1;20;1;73.18381898960394
Blanqueta;1;20;1;109.12405352049916
Alón;1;20;1;113.5925371111301
Punta;1;20;1;117.923192937964
