t;r;value
1;1;313888.5553524815
2;1;403022.64419148746
3;1;392617.71279158327
4;1;387786.2908276414
5;1;391030.21398780943
6;1;443754.66124713613
7;1;295968.9705785715
8;1;381520.9381420463
9;1;444063.84549326915
10;1;354709.26720430405
11;1;319525.4942154997
12;1;367642.1644540205
13;1;476990.4323473753
14;1;382857.73556995485
15;1;367926.48999174306
16;1;480271.8326106833
17;1;417890.0389345217
18;1;407921.97032181063
19;1;388074.9569291327
20;1;431167.73356549715
21;1;405447.1409134881
22;1;413521.2211788301
23;1;409744.84600228636
24;1;456267.7178946312
25;1;340937.1012144976
26;1;433550.3105517247
27;1;376753.60737794405
28;1;459667.3908158705
29;1;396660.37283677957
30;1;433689.0488156161
31;1;488800.4097827806
32;1;367078.60102102597
33;1;381866.0226016697
34;1;508661.9873692331
35;1;445703.41539050953
36;1;500302.1285188976
37;1;431906.79585155967
38;1;447803.16775740084
39;1;436108.64796204364
40;1;471170.5034922408
41;1;405578.44705758337
42;1;478222.4857813064
43;1;397363.8158463164
44;1;421100.37260375527
45;1;474755.1595424816
46;1;500738.6459519929
47;1;376922.03853446036
48;1;451341.3517417263
49;1;370057.3053766052
50;1;487943.5707097779
51;1;410663.57819829683
52;1;441293.15180684766
53;1;457173.0379849579
54;1;410739.70268900157
55;1;459870.95435462426
56;1;474022.3033378612
57;1;382915.5391075232
58;1;439247.80560533586
59;1;445069.7186948753
60;1;408935.33467014984
61;1;423702.9251650321
62;1;353939.67389975727
63;1;447835.84528512566
64;1;430906.07094177493
65;1;488208.5275695013
66;1;393023.12130412867
67;1;392238.69254447706
68;1;470838.1647660101
69;1;382920.13713724737
70;1;452613.3098791564
71;1;345707.6520420387
72;1;399734.9270577654
73;1;410292.30593579775
74;1;431232.64554714906
75;1;454974.39488780766
76;1;425266.7029513258
77;1;471836.10144104814
78;1;441655.42806397734
79;1;374523.73725808354
80;1;494779.14829820587
81;1;457247.22569735727
82;1;369728.23684787215
83;1;420534.6419628028
84;1;437704.3668912866
85;1;362301.76326149737
86;1;364343.2138094749
87;1;449944.61002692237
88;1;386456.76679104846
89;1;396405.37921057
90;1;413201.4632352733
91;1;426323.88788101304
92;1;494202.3898587233
93;1;471662.6867243607
94;1;433816.77266701794
95;1;508812.8965607952
96;1;375794.52502713376
97;1;463567.5092880719
98;1;409401.327135937
99;1;442315.3185617645
100;1;396787.9984697631
101;1;422274.60224523535
102;1;467655.8845738307
103;1;450197.0511409794
104;1;495573.5702721887
105;1;446608.8498642872
106;1;388251.47611624125
107;1;440242.1599355995
108;1;412111.6401173355
109;1;439382.48484057625
110;1;378538.7704756626
111;1;428331.91508424643
112;1;312934.3081094593
113;1;458947.8133698591
114;1;413930.59471805487
115;1;411010.2574137929
116;1;396401.17989394185
117;1;340220.1961372553
118;1;490186.440812651
119;1;354569.59260483587
120;1;396955.7750683248
121;1;448834.9616719221
122;1;484345.75738218933
123;1;358092.50234612735
124;1;402660.5697457505
125;1;479111.21179554483
126;1;350410.29616357706
127;1;469719.76766288467
128;1;476011.6638748832
129;1;345149.45743466204
130;1;501355.4009214884
131;1;474588.25747891783
132;1;322467.68136698735
133;1;466518.11809454265
134;1;476128.9763145941
135;1;443510.22416760994
136;1;354615.93672962964
137;1;521925.5483181878
138;1;448599.174713738
139;1;481220.48213312
140;1;355024.02464065386
141;1;409489.9642292027
142;1;462641.8887715701
143;1;433739.18157034944
144;1;384730.7059671362
145;1;423178.65172205964
146;1;417975.48468612327
147;1;482982.6509840812
148;1;422543.45120178687
149;1;427356.0727234921
150;1;407097.8642818007
151;1;410162.6925810976
152;1;492303.22913643473
153;1;378372.71843407035
154;1;431698.0468575564
155;1;422459.39531271125
156;1;449573.2681866589
157;1;475934.3992946693
158;1;469021.87005528854
159;1;451373.8334328833
160;1;418187.8092063882
161;1;468347.9067484102
162;1;450919.7372202279
163;1;444794.7295004565
164;1;373067.31875364366
165;1;450642.91369185474
166;1;431134.4293807991
167;1;469396.50914318726
168;1;431992.2263340066
1;2;369583.1960272601
2;2;425655.95473196555
3;2;374061.9771004443
4;2;359917.2967055475
5;2;337403.48609755334
6;2;412159.53420990106
7;2;401347.30461378495
8;2;434167.0218811134
9;2;363574.10841326567
10;2;365686.1431223258
11;2;483997.38494264527
12;2;359286.076887993
13;2;383362.4736052956
14;2;460464.711916459
15;2;391103.84429522324
16;2;435189.7081123132
17;2;471536.2134814335
18;2;420688.23503016296
19;2;423270.54620435665
20;2;480959.4531470176
21;2;449883.7435942374
22;2;450030.4310212582
23;2;394736.35153582966
24;2;440442.2815163189
25;2;357905.47390423995
26;2;446452.30173017265
27;2;516321.03114864294
28;2;389975.84506246314
29;2;370783.82942702796
30;2;421546.0215366287
31;2;517993.27013780293
32;2;409613.79818527383
33;2;427117.6223121289
34;2;447810.8102592128
35;2;451566.72917635064
36;2;427348.61144252477
37;2;380124.9086632837
38;2;430391.3427762757
39;2;427282.3504985502
40;2;438119.86610753986
41;2;387995.9404247228
42;2;397727.0836007014
43;2;476121.48940341955
44;2;369135.6111780553
45;2;387213.52478518966
46;2;467280.73938662314
47;2;387888.20659323223
48;2;456332.573148155
49;2;426580.7780340259
50;2;376457.38673990674
51;2;377267.91459753964
52;2;433185.5953805344
53;2;472853.95759783353
54;2;482582.6449739577
55;2;375426.77006016445
56;2;450679.804263936
57;2;427895.597833344
58;2;432398.4048615373
59;2;433848.7150061545
60;2;406977.13234525686
61;2;328137.94397690264
62;2;449045.4574860642
63;2;402145.1352536022
64;2;366136.61931563617
65;2;427601.92092499154
66;2;481923.8045508122
67;2;400637.5937692011
68;2;426071.5223200968
69;2;362815.9755501484
70;2;501201.7639921605
71;2;404524.17732651957
72;2;368066.9105785353
73;2;466022.2129827221
74;2;323599.77731924714
75;2;454003.7051532049
76;2;459834.72430550755
77;2;380706.34199192777
78;2;400716.58495220094
79;2;385359.9454342574
80;2;389369.3094152977
81;2;426250.8569325029
82;2;429780.32824681734
83;2;492337.5523482724
84;2;412619.46477938356
85;2;472760.6903332975
86;2;484905.63892142655
87;2;384123.43946597195
88;2;407389.33199414826
89;2;434178.63961534767
90;2;463466.88547111105
91;2;401435.46867823927
92;2;400349.93423511926
93;2;430007.5431770164
94;2;438711.41622249957
95;2;545546.1079962167
96;2;408419.7780066001
97;2;452400.0762767955
98;2;399224.87756639445
99;2;456652.52372103505
100;2;426726.1388093782
101;2;446637.40577280225
102;2;392215.286915209
103;2;479765.69966115465
104;2;369899.549330439
105;2;379976.0817573855
106;2;369599.56295372173
107;2;432320.84688321507
108;2;400167.38527944515
109;2;462313.76138669555
110;2;463866.8445849201
111;2;494819.84736577736
112;2;420027.16260338796
113;2;372440.83124954294
114;2;420768.15028258966
115;2;391589.91226571926
116;2;324903.8004463268
117;2;453193.8236048723
118;2;410471.9137382215
119;2;337657.36757278437
120;2;462248.433243156
121;2;438211.9861690819
122;2;449590.0302641743
123;2;442572.2166381419
124;2;382153.61674494087
125;2;464269.5584997231
126;2;414410.68749320554
127;2;413262.74757497007
128;2;443268.66091969586
129;2;456636.848513462
130;2;457325.5837640713
131;2;415049.35630664625
132;2;488677.73397484916
133;2;344488.73571439274
134;2;453422.6020281349
135;2;481881.6332914382
136;2;422473.79334311
137;2;434876.052968295
138;2;354406.7471065107
139;2;489909.5204019983
140;2;487260.1192580302
141;2;463135.66931797104
142;2;436248.2051805136
143;2;457134.730556583
144;2;452391.28265193186
145;2;405681.56521815597
146;2;458220.3680648298
147;2;444577.60766328144
148;2;438022.7919937714
149;2;444380.98175167816
150;2;394118.0318324799
151;2;352922.00205097534
152;2;425520.08494705695
153;2;476631.08322602994
154;2;393006.499678534
155;2;431755.0297979965
156;2;468507.08788008953
157;2;423986.9685932546
158;2;443981.6846249247
159;2;393596.70311067824
160;2;442684.8334055146
161;2;433038.3707281979
162;2;489125.9571130216
163;2;386018.53912162
164;2;469619.11745221424
165;2;412149.9429713326
166;2;349309.06672554626
167;2;408927.19625611906
168;2;494655.6990296139
1;3;361996.7579049991
2;3;399657.70880688383
3;3;480513.4999385652
4;3;376193.01198977476
5;3;438683.87814111315
6;3;431353.77517311584
7;3;377899.2187359664
8;3;395932.2237322622
9;3;389411.36510657374
