t;r;value
94;1;1351529.0317019788
95;1;1403556.3478036714
96;1;1218262.7107225843
97;1;1202342.9346168274
98;1;1198047.6714491025
99;1;1234262.472550902
100;1;1145188.834729168
101;1;1308682.2410099946
102;1;1380217.9344691383
103;1;1296916.7743487067
104;1;1331144.2662944426
105;1;1256285.5833742055
106;1;1201663.5226840393
107;1;1239433.719811673
108;1;1175639.6042766278
109;1;1237257.1601376792
110;1;1222299.5966427766
111;1;1205059.3312106254
112;1;946550.5947775238
113;1;1381867.3314733934
114;1;1296134.9783451026
115;1;1164253.7531139131
116;1;1189552.2191524024
117;1;1072122.7161662397
118;1;1395682.4817190217
119;1;1086110.8737247016
120;1;1170332.8577152647
121;1;1398851.4570717888
122;1;1481339.277292036
123;1;1076359.1732307398
124;1;1255961.368827587
125;1;1397087.646274454
126;1;1052058.4602437844
127;1;1334547.8466896655
128;1;1277823.2996506041
129;1;1013533.6100681524
130;1;1399988.1259118214
131;1;1292590.5038244857
132;1;964938.2110732644
133;1;1231826.5731838825
134;1;1468008.5662825601
135;1;1215719.6632019095
136;1;1104436.5257975743
137;1;1417643.3910968872
138;1;1272223.6294549326
139;1;1273249.855279711
140;1;1122145.1461079286
141;1;1286387.8006175302
142;1;1244518.2987302516
143;1;1203303.7963112423
144;1;1209047.666654143
145;1;1165894.8715463416
146;1;1231557.9525807805
147;1;1340286.573417083
148;1;1281234.1308055383
149;1;1339102.4193188436
150;1;1250323.3399630536
151;1;1289320.3878475763
152;1;1375485.6212527098
153;1;1042977.836988114
154;1;1206138.9476398074
155;1;1199449.1747871651
156;1;1333172.3757382547
157;1;1431649.22462088
158;1;1331325.361397609
159;1;1222167.4092265626
160;1;1202674.2549335018
161;1;1349273.0308723766
162;1;1322530.4052689523
163;1;1186387.23841639
164;1;1106566.8157983168
165;1;1282751.8252457487
166;1;1213619.593014078
167;1;1311585.2687714046
168;1;1215872.3230919812
1;2;1073280.2709139218
2;2;1278453.5217062796
3;2;1158266.7593296233
4;2;1074830.786211367
5;2;1037664.3769966634
6;2;1222826.781955642
7;2;1241823.2781517303
8;2;1256661.6813042555
9;2;1238886.051447615
10;2;1173776.038518023
11;2;1402179.9076430001
12;2;1139694.286679616
13;2;1119931.022723347
14;2;1392784.4217209294
15;2;1204469.2577437314
16;2;1361813.7512428386
17;2;1377690.7238743042
18;2;1235827.0808312602
19;2;1176151.1283374247
20;2;1294813.7355245247
21;2;1214653.0349920024
22;2;1318814.43348234
23;2;1255305.971333544
24;2;1259370.4326309862
25;2;1150602.2064374175
26;2;1227850.9660466763
27;2;1438697.7889817487
28;2;1125701.8256408977
29;2;1155449.7120973393
30;2;1237361.822526622
31;2;1409253.470193232
32;2;1161368.0372017822
33;2;1243509.8298551235
34;2;1202394.1451541025
35;2;1336321.3063381293
36;2;1280943.65526242
37;2;1136362.5399401318
38;2;1255482.5946772099
39;2;1253754.0643996652
40;2;1308500.4046785857
41;2;1180987.5925597392
42;2;1182078.5642776513
43;2;1436752.997601278
44;2;1148214.538221431
45;2;1140147.7148925425
46;2;1275741.9167464918
47;2;1098006.5290811355
48;2;1398975.281616705
49;2;1252560.830134239
50;2;1156048.2888337267
51;2;1129748.0856308776
52;2;1244594.3881670118
53;2;1332286.0898519563
54;2;1306748.4681822208
