t;r;value
1;1;313888.555352479
2;1;403022.64419149095
3;1;392617.71279158106
4;1;387786.29082765774
5;1;391030.21398781403
6;1;443754.66124712635
7;1;295968.97057858005
8;1;381520.93814204214
9;1;444063.8454932644
10;1;354709.2672042954
11;1;319525.49421550333
12;1;367642.16445403645
13;1;476990.4323473565
14;1;382857.73556994996
15;1;512840.79714390065
16;1;605278.8654095207
17;1;488069.03212562087
18;1;444406.04965153936
19;1;433207.49072899425
20;1;457909.9339437605
21;1;424540.95762669103
22;1;388822.3019408069
23;1;384142.6676675958
24;1;426346.9462183641
25;1;317705.40919699654
26;1;419187.95110287756
27;1;345041.9070394307
28;1;434567.0937403801
29;1;480639.0442862799
30;1;490090.014864564
31;1;496081.05734766676
32;1;383152.512199956
33;1;387902.7611679726
34;1;481699.36359379743
35;1;419994.6493547307
36;1;465873.6618256429
37;1;407851.1132919578
38;1;410142.2442447116
39;1;405830.765659743
40;1;440558.1495937772
41;1;379259.16083318595
42;1;449877.5650047624
43;1;466475.362425492
44;1;457345.3805368182
45;1;496831.7989353309
46;1;487365.66269150074
47;1;402240.17712187493
48;1;425994.079753121
49;1;360360.0813680561
50;1;451687.55601802067
51;1;363428.0472277379
52;1;397957.99991336954
53;1;436969.0177349467
54;1;398481.2745418556
55;1;438577.5793910175
56;1;451811.64010806585
57;1;468331.54426209
58;1;496231.1298963067
59;1;453695.1659118414
60;1;417153.0044095751
61;1;430349.7870276508
62;1;346880.2385242977
63;1;431855.3975817097
64;1;399523.27404262783
65;1;461158.696175763
66;1;371436.87493008765
67;1;382973.71545616403
68;1;451324.6053205444
69;1;367040.12056351535
70;1;443074.7866064122
71;1;417978.21221781464
72;1;456682.51440071396
73;1;447196.4867625753
74;1;452781.4482402061
75;1;446997.83130292693
76;1;391543.2867604499
77;1;453088.56519497314
78;1;411034.04250670184
79;1;359857.42867294897
80;1;474717.1725582241
81;1;446882.95435550425
82;1;354199.3777870361
83;1;403221.0058673328
84;1;423816.38874168706
85;1;447091.7487639352
86;1;452725.2131142772
87;1;461230.4199899298
88;1;395295.9923501262
89;1;397054.3605007984
90;1;407724.89903999824
91;1;414013.97590434446
92;1;475919.38595119625
93;1;452239.0870666285
94;1;403600.4950727641
95;1;451441.6904304272
96;1;402633.7293984798
97;1;439466.3408666176
98;1;412065.51813559415
99;1;502013.1041219228
100;1;427738.68772419455
101;1;472881.1831603839
102;1;490997.879780912
103;1;454583.8243154484
104;1;449317.0555744665
105;1;427186.5810829991
106;1;384916.8400981423
107;1;423629.94794003107
108;1;394166.6548637141
109;1;443172.0055875409
110;1;383018.08464283956
111;1;417367.01966360747
112;1;298347.7934274267
113;1;521012.9879097699
114;1;463226.14528133196
115;1;441131.41191541596
116;1;421015.07547010604
117;1;335208.7645303675
118;1;477291.69913308084
119;1;342743.5929938033
120;1;387425.9778631353
121;1;439532.33444402897
122;1;473597.8728743747
123;1;348523.5750383146
124;1;390912.041542677
125;1;465714.4101625948
126;1;339971.3832738206
127;1;572571.317978842
128;1;474224.8640749534
129;1;382409.78295219556
130;1;521890.18038255954
131;1;460908.1666773382
132;1;316423.4782037102
133;1;433975.40687095677
134;1;454720.90461133927
135;1;401074.78004217363
136;1;344161.86962109886
137;1;479647.6287792426
138;1;416481.8288536631
139;1;457566.30518848187
140;1;364897.4780080851
141;1;482316.2074590885
142;1;501474.14983279654
143;1;452150.55325241724
144;1;405776.32523134124
145;1;409970.4438842297
146;1;407864.1817009077
147;1;458558.7305757613
148;1;408292.4463100363
149;1;418015.7460205877
150;1;397235.53032656695
151;1;398492.89569192246
152;1;474086.90770811756
153;1;363345.09343813465
154;1;411354.2768344896
155;1;503537.5253673448
156;1;487925.56746484555
157;1;521249.74915460567
158;1;451767.95268036507
159;1;418757.9170966942
160;1;416041.57918901154
161;1;441587.82019847934
162;1;425867.8431050314
163;1;405083.78810524713
164;1;366643.4595869009
165;1;439597.6045044107
166;1;413241.19564617163
167;1;444050.2686366002
168;1;405732.6900800551
1;2;369583.196027253
2;2;425655.9547319739
3;2;374061.97710044816
4;2;359917.2967055431
5;2;337403.4860975644
6;2;412159.53420989757
7;2;401347.30461378896
8;2;434167.02188111236
9;2;363574.10841327376
10;2;365686.14312231954
11;2;483997.38494264666
12;2;359286.0768880092
13;2;383362.4736052835
14;2;460464.7119164603
15;2;497368.0818843239
16;2;505432.78338883497
17;2;538937.133518865
18;2;434653.99742821045
19;2;432831.1977514371
20;2;462240.5196886086
21;2;422602.8308185526
22;2;412434.95885400067
23;2;384122.0728485229
24;2;425231.1439104795
25;2;355323.8375187292
26;2;430661.63213807327
27;2;497218.63148140657
28;2;375011.79305577464
29;2;433518.18996795744
30;2;440831.58431219705
31;2;510813.509323331
32;2;398832.647535697
33;2;400788.06481212424
34;2;418122.53438316303
35;2;456313.2433181196
36;2;411844.6075703448
37;2;365784.2935692583
38;2;417505.60540713376
39;2;429882.8774711081
40;2;421254.5836902646
41;2;372590.2191451801
42;2;382395.30349969486
43;2;572054.5401347562
44;2;392341.5687898868
45;2;419772.76529799367
46;2;489568.53722576186
47;2;400266.0914582781
48;2;468904.6529917554
49;2;422827.5304829914
50;2;362204.3033297773
51;2;364027.37637541414
52;2;413435.95395930106
53;2;459654.5655611513
54;2;466147.5352627242
55;2;359268.50997190096
56;2;433813.294226007
57;2;499273.2889229848
58;2;479159.0044851393
59;2;465462.7173271838
60;2;410851.39357307466
61;2;327680.5789225549
62;2;436050.11483171413
63;2;388347.58846100146
64;2;344717.66226556344
65;2;405263.9089689703
66;2;450680.3095650903
67;2;398843.0748622269
68;2;402660.81757652585
69;2;367075.00696278183
70;2;471917.33722487796
71;2;487830.59465389594
72;2;438651.4624216396
73;2;484759.39996519894
74;2;353489.0650207642
75;2;451985.56566897046
76;2;487897.9377501163
77;2;368639.67153013084
78;2;380780.7203370872
79;2;364543.87486870645
80;2;368660.0875304376
81;2;404574.1964153265
82;2;408313.72996766114
83;2;468032.5844777316
84;2;405142.4479201005
85;2;565034.6665950008
86;2;502698.7951158361
87;2;429108.4510647908
88;2;437716.4148114943
89;2;449485.39757642255
90;2;461961.840540763
