t;r;value
1;1;998425.3202475636
2;1;1219266.3887501056
3;1;1247663.4745049481
4;1;1248156.33110789
5;1;1221595.9572356688
6;1;1330462.5313132664
7;1;1005754.5144161596
8;1;1189931.8764947488
9;1;1281463.782095953
10;1;1206366.8886076612
11;1;1080731.93612668
12;1;1103170.188753641
13;1;1359395.4921297878
14;1;1202873.7791894244
15;1;979545.6464465719
16;1;1172850.3454429482
17;1;1103531.7221205432
18;1;1091960.4028228451
19;1;1025402.0632152148
20;1;1052544.7944042797
21;1;1007474.8295733
22;1;1006632.4855839194
23;1;1080524.3730850362
24;1;1129634.0589408078
25;1;896843.2540470727
26;1;1116451.9229836636
27;1;949305.183202152
28;1;1165367.7343889165
29;1;1029859.400024881
30;1;1036858.0706059849
31;1;1163294.659765818
32;1;890976.7699286354
33;1;892023.0499858684
34;1;1200534.4400356123
35;1;1023056.801504836
36;1;1184960.1236218994
37;1;998813.6300917002
38;1;1070529.1622648546
39;1;962469.0937004719
40;1;1084793.8428658457
41;1;936263.2933364013
42;1;1133648.170450629
43;1;982382.5619784233
44;1;969842.7528774483
45;1;1135510.1760644997
46;1;1154136.532157565
47;1;991039.2757378604
48;1;1042206.3678091911
49;1;932138.5199163021
50;1;1128196.2100258265
51;1;896326.166179579
52;1;1037352.5366221449
53;1;1127122.5148751272
54;1;943757.0362955772
55;1;1054160.653447629
56;1;1017049.6136534445
57;1;922851.0172965862
58;1;1060067.4460567888
59;1;1051130.9831711794
60;1;1007984.0002413171
61;1;1036109.4360936659
62;1;886904.8118895395
63;1;1052420.4439263078
64;1;981467.8162063995
65;1;1096443.1997141242
66;1;927558.1641702114
67;1;972982.9709411528
68;1;1073269.1370026565
69;1;957108.7861203976
70;1;1094980.5119546528
71;1;859518.3910713131
72;1;942286.9337952223
73;1;914531.8533477979
74;1;1056895.7987864881
75;1;1057965.0121460042
76;1;967674.3985935422
77;1;1113810.645769516
78;1;1028814.5486901712
79;1;921961.5479903747
80;1;1069361.488312889
81;1;1077943.4365299826
82;1;896901.8649235319
83;1;978303.9347957172
84;1;1072451.9651997779
85;1;961021.3278828575
86;1;906918.0744689854
87;1;1072678.8407504503
88;1;914528.4785494764
89;1;935872.7245242228
90;1;945624.2371602627
91;1;985242.5848921272
92;1;1142229.977289098
93;1;1105092.229070894
94;1;1045381.7800170047
95;1;1064277.0815500382
96;1;973921.6581863946
97;1;1075214.1367662654
98;1;997524.0370932102
99;1;1007897.199232802
100;1;923569.3248440202
101;1;1084209.7187254736
102;1;1172100.6895288487
103;1;1026477.8360698752
104;1;1157104.7897914033
105;1;1056790.6091224598
106;1;902215.0842578367
107;1;1037211.4767766928
108;1;993319.0428160897
109;1;986607.4002690434
110;1;980452.3187547596
111;1;1012294.9122206816
112;1;799115.8771947649
113;1;1030107.3999158859
114;1;987698.5368923815
115;1;946365.5759058003
116;1;973512.6681069685
117;1;874790.9092145138
118;1;1158159.9466951971
119;1;863905.8030897471
120;1;912477.3775454798
121;1;1086530.87272375
122;1;1170674.960187256
123;1;894716.5333309243
124;1;1040172.6652840822
125;1;1190645.462554933
126;1;858404.0661254532
127;1;1069472.1047482307
128;1;1038943.9663481631
129;1;814680.5310139594
130;1;1129909.7384295594
131;1;1017759.680392859
132;1;786167.1418774099
133;1;961870.3632960563
134;1;1166871.0394901005
135;1;1054119.5309365296
136;1;876797.4890341999
137;1;1058627.5304304454
138;1;990725.9491691187
139;1;1091536.5460526592
140;1;957395.9955681954
141;1;997068.1007980352
142;1;1087026.2616407003
143;1;952371.067651678
144;1;951047.4625991866
145;1;962798.0387421194
146;1;1022730.3058241813
147;1;1103173.7455878577
148;1;938582.1615420617
149;1;1064844.7777118683
150;1;954673.345859886
151;1;1020391.7736755238
152;1;1168049.2137232833
153;1;849921.5740726388
154;1;1019491.4425471937
155;1;936774.5044804612
156;1;1051631.8784637812
157;1;1171765.6706727245
158;1;1112504.5255498362
159;1;918157.5974895827
160;1;1062268.9664622587
161;1;1199559.2312048376
162;1;1093537.1610793392
163;1;940590.4324124001
164;1;914736.902310369
165;1;982985.6051008293
166;1;1012628.8530720929
167;1;1094075.007850225
168;1;1049967.545128752
169;1;941757.633456436
170;1;947468.311412655
171;1;1036780.8879880734
172;1;946490.8571200792
173;1;891672.6074806838
174;1;942199.2077253271
175;1;970403.8225491876
176;1;913993.1532521383
177;1;1012536.487105873
178;1;1171345.4585517177
179;1;997214.3235276333
180;1;1089005.2528704493
181;1;980130.0364958697
182;1;938910.4892034503
183;1;939938.1181378174
184;1;1025936.3673683417
185;1;1014321.6532895736
186;1;1075798.1276135694
187;1;1083859.0991505105
188;1;928696.9178545345
189;1;826513.6860851774
190;1;1150038.8827707614
191;1;1169272.037029698
192;1;958718.9819445222
193;1;1086534.9530723481
194;1;911868.699605064
195;1;906059.8987091184
196;1;1128047.4777059448
197;1;965797.214256526
198;1;937295.2704210053
199;1;950650.777485167
200;1;929231.0748871469
201;1;1062923.026811433
202;1;916022.273338144
203;1;1093589.9448769279
204;1;1083154.9642796617
205;1;1092226.6987371922
206;1;999771.2863646888
207;1;1115363.502351109
208;1;871050.1869375557
209;1;1099684.4761438912
210;1;969065.2695957179
1;2;1157510.7502091518
2;2;1276534.9325171802
3;2;1218854.3785392314
4;2;1042697.5396793464
5;2;1072413.9665046504
6;2;1234658.6688791122
7;2;1285002.176799406
8;2;1267291.3254547322
9;2;1188296.7542671154
10;2;1158500.5222205073
11;2;1386599.0256892857
12;2;1124644.5790767262
13;2;1156820.9845038126
14;2;1445505.2502997632
15;2;1030093.900508059
16;2;1160253.1918279796
17;2;1239281.7494254275
18;2;1060341.2744810928
19;2;1073536.3297207966
20;2;1241432.9127542088
21;2;1196788.7956320683
22;2;1026219.6477010215
23;2;1070232.6531546423
24;2;1119216.752670593
25;2;1020745.7820457384
