f;n;t;r;value
Entero;1;1;1;-1.9895196601282805e-13
Medio Pollo;1;1;1;8.99999999999909
Medio Pollo Superior;1;1;1;207.8709677419356
Medio Pollo Inferior;1;1;1;205.06451612903555
Cuarto de Pollo Superior;1;1;1;436.64516128999156
Muslo Entero;1;1;1;415.58064516105287
Pechuga Completa;1;1;1;770.3225806451619
Ala Completa;1;1;1;375.5806451613455
Media Pechuga;1;1;1;1107.5806451615663
Blanqueta;1;1;1;1.0757464214518507e-13
Alón;1;1;1;5.280936978036358e-14
Punta;1;1;1;1.564722067566328e-14
Jamoncito;1;1;1;528.5376344086865
Medio Muslo;1;1;1;943.8172043012257
Entero;1;2;1;-1.7337242752546445e-12
Medio Pollo;1;2;1;8.99999999999909
Medio Pollo Superior;1;2;1;207.8709677419356
Medio Pollo Inferior;1;2;1;205.06451612903075
Cuarto de Pollo Superior;1;2;1;436.6451612899915
Muslo Entero;1;2;1;415.58064516105185
Pechuga Completa;1;2;1;770.322580645161
Ala Completa;1;2;1;375.58064516134533
Media Pechuga;1;2;1;1107.5806451615676
Blanqueta;1;2;1;2.5474272896880626e-13
Alón;1;2;1;1.2505552149377762e-13
Punta;1;2;1;3.7053487850008184e-14
Jamoncito;1;2;1;528.5376344086887
Medio Muslo;1;2;1;943.8172043012298
Entero;1;3;1;-3.0127011996228248e-12
Medio Pollo;1;3;1;8.99999999999909
Medio Pollo Superior;1;3;1;207.8709677419356
Medio Pollo Inferior;1;3;1;205.0645161290338
Cuarto de Pollo Superior;1;3;1;436.6451612899915
Muslo Entero;1;3;1;415.58064516105287
Pechuga Completa;1;3;1;770.3225806451557
Ala Completa;1;3;1;375.580645161345
Media Pechuga;1;3;1;1107.580645161574
Blanqueta;1;3;1;5.340912897130087e-13
Alón;1;3;1;2.6219026949547696e-13
Punta;1;3;1;7.768600577643762e-14
Jamoncito;1;3;1;528.5376344086875
Medio Muslo;1;3;1;943.8172043012275
Entero;1;4;1;9.521272659185342e-12
Medio Pollo;1;4;1;8.99999999999909
Medio Pollo Superior;1;4;1;207.8709677419356
Medio Pollo Inferior;1;4;1;205.06451612902953
Cuarto de Pollo Superior;1;4;1;436.6451612899915
Muslo Entero;1;4;1;415.58064516105185
Pechuga Completa;1;4;1;770.3225806451672
Ala Completa;1;4;1;375.5806451613452
Media Pechuga;1;4;1;1107.580645161556
Blanqueta;1;4;1;-3.7053487850008185e-13
Alón;1;4;1;-1.8189894035458563e-13
Punta;1;4;1;-5.389598232728463e-14
Jamoncito;1;4;1;528.5376344086875
Medio Muslo;1;4;1;943.8172043012275
Entero;1;5;1;0.0
Medio Pollo;1;5;1;8.99999999999909
Medio Pollo Superior;1;5;1;207.8709677419356
Medio Pollo Inferior;1;5;1;205.06451612903447
Cuarto de Pollo Superior;1;5;1;436.6451612899913
Muslo Entero;1;5;1;415.58064516105185
Pechuga Completa;1;5;1;770.322580645161
Ala Completa;1;5;1;375.58064516134556
Media Pechuga;1;5;1;1107.580645161567
Blanqueta;1;5;1;0.0
Alón;1;5;1;0.0
Punta;1;5;1;0.0
Jamoncito;1;5;1;528.5376344086872
Medio Muslo;1;5;1;943.8172043012269
Entero;1;6;1;7.673861546209082e-13
Medio Pollo;1;6;1;8.99999999999909
Medio Pollo Superior;1;6;1;207.8709677419356
Medio Pollo Inferior;1;6;1;205.06451612903538
Cuarto de Pollo Superior;1;6;1;436.6451612899915
Muslo Entero;1;6;1;415.58064516105185
Pechuga Completa;1;6;1;770.3225806451584
