k;t;r;value
p1;1;1;923.0
p2;1;1;0.0
p3;1;1;2043.0
p4;1;1;0.0
p5;1;1;0.0
p6;1;1;0.0
p7;1;1;1491.0
p8;1;1;0.0
p9;1;1;0.0
p10;1;1;0.0
p11;1;1;0.0
p12;1;1;0.0
p13;1;1;1.0
p14;1;1;0.0
p15;1;1;2667.0
p16;1;1;0.0
p17;1;1;2168.0
p18;1;1;0.0
p19;1;1;0.0
p20;1;1;0.0
p21;1;1;1828.0
p22;1;1;0.0
p23;1;1;-0.0
p24;1;1;3280.0
p25;1;1;0.0
p26;1;1;0.0
p27;1;1;599.0
p28;1;1;0.0
p1;2;1;922.0
p2;2;1;0.0
p3;2;1;2043.0
p4;2;1;0.0
p5;2;1;0.0
p6;2;1;0.0
p7;2;1;1491.0
p8;2;1;0.0
p9;2;1;0.0
p10;2;1;0.0
p11;2;1;0.0
p12;2;1;0.0
p13;2;1;0.0
p14;2;1;0.0
p15;2;1;2667.0
p16;2;1;0.0
p17;2;1;2168.0
p18;2;1;2.0
p19;2;1;0.0
p20;2;1;0.0
p21;2;1;1828.0
p22;2;1;0.0
p23;2;1;-0.0
p24;2;1;3280.0
p25;2;1;0.0
p26;2;1;0.0
p27;2;1;599.0
p28;2;1;0.0
p1;3;1;924.0
p2;3;1;0.0
p3;3;1;2043.0
p4;3;1;0.0
p5;3;1;0.0
p6;3;1;0.0
p7;3;1;1491.0
p8;3;1;0.0
p9;3;1;0.0
p10;3;1;0.0
p11;3;1;0.0
p12;3;1;0.0
p13;3;1;0.0
p14;3;1;0.0
p15;3;1;2667.0
p16;3;1;0.0
p17;3;1;2168.0
p18;3;1;0.0
p19;3;1;0.0
p20;3;1;0.0
p21;3;1;1828.0
p22;3;1;0.0
p23;3;1;-0.0
p24;3;1;3280.0
p25;3;1;0.0
p26;3;1;0.0
p27;3;1;599.0
p28;3;1;0.0
p1;4;1;922.0
p2;4;1;0.0
p3;4;1;2043.0
p4;4;1;0.0
p5;4;1;0.0
p6;4;1;0.0
p7;4;1;1491.0
p8;4;1;0.0
p9;4;1;0.0
p10;4;1;0.0
p11;4;1;0.0
p12;4;1;0.0
p13;4;1;0.0
p14;4;1;0.0
p15;4;1;2669.0
p16;4;1;0.0
p17;4;1;2168.0
p18;4;1;0.0
p19;4;1;0.0
p20;4;1;0.0
p21;4;1;1828.0
p22;4;1;0.0
p23;4;1;-0.0
p24;4;1;3280.0
p25;4;1;0.0
p26;4;1;0.0
p27;4;1;599.0
p28;4;1;0.0
p1;5;1;922.0
p2;5;1;0.0
p3;5;1;2043.0
p4;5;1;0.0
p5;5;1;0.0
p6;5;1;0.0
p7;5;1;1491.0
p8;5;1;0.0
p9;5;1;0.0
p10;5;1;0.0
p11;5;1;0.0
p12;5;1;0.0
p13;5;1;0.0
p14;5;1;0.0
p15;5;1;2667.0
p16;5;1;0.0
p17;5;1;2168.0
p18;5;1;2.0
p19;5;1;0.0
p20;5;1;0.0
p21;5;1;1828.0
p22;5;1;0.0
p23;5;1;-0.0
p24;5;1;3280.0
p25;5;1;0.0
p26;5;1;0.0
p27;5;1;599.0
p28;5;1;0.0
p1;6;1;922.0
p2;6;1;0.0
p3;6;1;2043.0
p4;6;1;0.0
p5;6;1;0.0
p6;6;1;0.0
p7;6;1;1491.0
p8;6;1;0.0
p9;6;1;0.0
p10;6;1;0.0
p11;6;1;0.0
p12;6;1;0.0
p13;6;1;0.0
p14;6;1;0.0
p15;6;1;2667.0
p16;6;1;0.0
p17;6;1;2168.0
p18;6;1;0.0
p19;6;1;0.0
p20;6;1;0.0
p21;6;1;1828.0
p22;6;1;0.0
p23;6;1;-0.0
p24;6;1;3282.0
p25;6;1;0.0
p26;6;1;0.0
p27;6;1;599.0
p28;6;1;0.0
p1;7;1;922.0
p2;7;1;0.0
p3;7;1;2043.0
p4;7;1;0.0
p5;7;1;0.0
p6;7;1;0.0
p7;7;1;1491.0
p8;7;1;0.0
p9;7;1;0.0
p10;7;1;0.0
p11;7;1;0.0
p12;7;1;0.0
p13;7;1;0.0
p14;7;1;0.0
p15;7;1;2667.0
p16;7;1;0.0
p17;7;1;2170.0
p18;7;1;0.0
p19;7;1;0.0
p20;7;1;0.0
p21;7;1;1828.0
p22;7;1;0.0
p23;7;1;-0.0
p24;7;1;3280.0
p25;7;1;0.0
p26;7;1;0.0
p27;7;1;599.0
p28;7;1;0.0
p1;8;1;924.0
p2;8;1;0.0
p3;8;1;2043.0
p4;8;1;0.0
p5;8;1;0.0
p6;8;1;0.0
p7;8;1;1491.0
p8;8;1;0.0
p9;8;1;0.0
p10;8;1;0.0
p11;8;1;0.0
p12;8;1;0.0
p13;8;1;0.0
p14;8;1;0.0
p15;8;1;2667.0
p16;8;1;0.0
p17;8;1;2168.0
p18;8;1;0.0
p19;8;1;0.0
p20;8;1;0.0
p21;8;1;1828.0
p22;8;1;0.0
p23;8;1;-0.0
p24;8;1;3280.0
p25;8;1;0.0
p26;8;1;0.0
p27;8;1;599.0
p28;8;1;0.0
p1;9;1;922.0
p2;9;1;0.0
p3;9;1;2043.0
p4;9;1;0.0
p5;9;1;0.0
p6;9;1;0.0
p7;9;1;1491.0
p8;9;1;0.0
p9;9;1;0.0
p10;9;1;0.0
p11;9;1;0.0
p12;9;1;0.0
p13;9;1;0.0
p14;9;1;0.0
p15;9;1;2667.0
p16;9;1;0.0
p17;9;1;2168.0
p18;9;1;2.0
p19;9;1;0.0
p20;9;1;0.0
p21;9;1;1828.0
p22;9;1;0.0
p23;9;1;-0.0
p24;9;1;3280.0
p25;9;1;0.0
p26;9;1;0.0
p27;9;1;599.0
p28;9;1;0.0
p1;10;1;922.0
p2;10;1;0.0
p3;10;1;2043.0
p4;10;1;2.0
p5;10;1;0.0
p6;10;1;0.0
p7;10;1;1491.0
p8;10;1;0.0
p9;10;1;0.0
p10;10;1;0.0
p11;10;1;0.0
p12;10;1;0.0
p13;10;1;0.0
p14;10;1;0.0
p15;10;1;2667.0
p16;10;1;0.0
p17;10;1;2168.0
p18;10;1;0.0
p19;10;1;0.0
p20;10;1;0.0
p21;10;1;1828.0
p22;10;1;0.0
p23;10;1;-0.0
p24;10;1;3280.0
p25;10;1;0.0
p26;10;1;0.0
p27;10;1;599.0
p28;10;1;0.0
p1;11;1;922.0
p2;11;1;0.0
p3;11;1;2043.0
p4;11;1;0.0
p5;11;1;0.0
p6;11;1;0.0
p7;11;1;1491.0
p8;11;1;0.0
p9;11;1;0.0
p10;11;1;0.0
p11;11;1;0.0
p12;11;1;0.0
p13;11;1;0.0
p14;11;1;0.0
p15;11;1;2667.0
p16;11;1;0.0
p17;11;1;2168.0
p18;11;1;2.0
p19;11;1;0.0
p20;11;1;0.0
p21;11;1;1828.0
p22;11;1;0.0
p23;11;1;-0.0
p24;11;1;3280.0
p25;11;1;0.0
p26;11;1;0.0
p27;11;1;599.0
p28;11;1;0.0
p1;12;1;922.0
p2;12;1;0.0
p3;12;1;2043.0
p4;12;1;0.0
p5;12;1;0.0
p6;12;1;0.0
p7;12;1;1491.0
p8;12;1;0.0
p9;12;1;0.0
p10;12;1;0.0
p11;12;1;0.0
p12;12;1;0.0
p13;12;1;0.0
p14;12;1;0.0
p15;12;1;2669.0
p16;12;1;0.0
p17;12;1;2168.0
p18;12;1;0.0
p19;12;1;0.0
p20;12;1;0.0
p21;12;1;1828.0
p22;12;1;0.0
p23;12;1;-0.0
p24;12;1;3280.0
p25;12;1;0.0
p26;12;1;0.0
p27;12;1;599.0
p28;12;1;0.0
p1;13;1;922.0
p2;13;1;0.0
p3;13;1;2043.0
p4;13;1;0.0
p5;13;1;0.0
p6;13;1;0.0
p7;13;1;1491.0
p8;13;1;2.0
p9;13;1;0.0
p10;13;1;0.0
p11;13;1;0.0
p12;13;1;0.0
p13;13;1;0.0
p14;13;1;0.0
p15;13;1;2667.0
p16;13;1;0.0
p17;13;1;2168.0
p18;13;1;0.0
p19;13;1;0.0
p20;13;1;0.0
p21;13;1;1828.0
p22;13;1;0.0
p23;13;1;-0.0
p24;13;1;3280.0
p25;13;1;0.0
p26;13;1;0.0
p27;13;1;599.0
p28;13;1;0.0
p1;14;1;922.0
p2;14;1;0.0
p3;14;1;2043.0
p4;14;1;0.0
p5;14;1;0.0
p6;14;1;0.0
p7;14;1;1491.0
p8;14;1;0.0
p9;14;1;0.0
p10;14;1;0.0
p11;14;1;0.0
p12;14;1;0.0
p13;14;1;0.0
p14;14;1;0.0
p15;14;1;2667.0
p16;14;1;0.0
p17;14;1;2168.0
p18;14;1;0.0
p19;14;1;0.0
p20;14;1;0.0
p21;14;1;1828.0
p22;14;1;0.0
p23;14;1;-0.0
p24;14;1;3282.0
p25;14;1;0.0
p26;14;1;0.0
p27;14;1;599.0
p28;14;1;0.0
p1;15;1;1216.0
p2;15;1;-0.0
p3;15;1;3542.0
p4;15;1;-0.0
p5;15;1;-0.0
p6;15;1;-0.0
p7;15;1;-0.0
p8;15;1;-0.0
p9;15;1;-0.0
p10;15;1;-0.0
p11;15;1;-0.0
p12;15;1;7517.0
p13;15;1;-0.0
p14;15;1;-0.0
p15;15;1;1142.0
p16;15;1;1583.0
p17;15;1;-0.0
p18;15;1;-0.0
p19;15;1;-0.0
p20;15;1;-0.0
p21;15;1;-0.0
p22;15;1;-0.0
p23;15;1;-0.0
p24;15;1;-0.0
p25;15;1;-0.0
p26;15;1;-0.0
p27;15;1;-0.0
p28;15;1;-0.0
p1;16;1;268.00000000001546
p2;16;1;-0.0
p3;16;1;426.0
p4;16;1;-0.0
p5;16;1;-0.0
p6;16;1;-0.0
p7;16;1;2529.0
p8;16;1;-0.0
p9;16;1;-0.0
p10;16;1;-0.0
p11;16;1;-0.0
p12;16;1;4697.0
p13;16;1;-0.0
p14;16;1;-0.0
p15;16;1;-0.0
p16;16;1;820.0
p17;16;1;1811.9999999999845
p18;16;1;-0.0
p19;16;1;-0.0
p20;16;1;-0.0
p21;16;1;-0.0
p22;16;1;-0.0
p23;16;1;-0.0
p24;16;1;4448.0
p25;16;1;-0.0
p26;16;1;-0.0
p27;16;1;-0.0
p28;16;1;-0.0
p1;17;1;1161.0
p2;17;1;-0.0
p3;17;1;2512.0
p4;17;1;-0.0
p5;17;1;-0.0
p6;17;1;-0.0
p7;17;1;1662.0
p8;17;1;-0.0
p9;17;1;-0.0
p10;17;1;-0.0
p11;17;1;-0.0
p12;17;1;1877.0
p13;17;1;-0.0
p14;17;1;-0.0
p15;17;1;2119.0
p16;17;1;-0.0
p17;17;1;2585.0
p18;17;1;-0.0
p19;17;1;-0.0
p20;17;1;-0.0
p21;17;1;-0.0
p22;17;1;-0.0
p23;17;1;-0.0
p24;17;1;3084.0
p25;17;1;-0.0
p26;17;1;-0.0
p27;17;1;-0.0
p28;17;1;-0.0
p1;18;1;1132.0
p2;18;1;-0.0
p3;18;1;2457.0
p4;18;1;-0.0
p5;18;1;-0.0
p6;18;1;-0.0
p7;18;1;1644.0
p8;18;1;-0.0
p9;18;1;-0.0
p10;18;1;-0.0
p11;18;1;-0.0
p12;18;1;-0.0
p13;18;1;-0.0
p14;18;1;-0.0
p15;18;1;2886.0
p16;18;1;225.0
p17;18;1;2314.0
p18;18;1;-0.0
p19;18;1;-0.0
p20;18;1;-0.0
p21;18;1;-0.0
p22;18;1;-0.0
p23;18;1;-0.0
p24;18;1;4342.0
p25;18;1;-0.0
p26;18;1;-0.0
p27;18;1;-0.0
p28;18;1;-0.0
p1;19;1;1104.0
p2;19;1;-0.0
p3;19;1;2403.0
p4;19;1;-0.0
p5;19;1;-0.0
p6;19;1;-0.0
p7;19;1;1627.0
p8;19;1;-0.0
p9;19;1;-0.0
p10;19;1;-0.0
p11;19;1;-0.0
p12;19;1;-0.0
p13;19;1;-0.0
p14;19;1;-0.0
p15;19;1;3048.0
p16;19;1;-0.0
p17;19;1;2492.0
p18;19;1;-0.0
p19;19;1;-0.0
p20;19;1;-0.0
p21;19;1;-0.0
p22;19;1;-0.0
p23;19;1;-0.0
p24;19;1;4326.0
p25;19;1;-0.0
p26;19;1;-0.0
p27;19;1;-0.0
p28;19;1;-0.0
p1;20;1;1077.000000000211
p2;20;1;-0.0
p3;20;1;3022.0
p4;20;1;-0.0
p5;20;1;-0.0
p6;20;1;-0.0
p7;20;1;1271.0
p8;20;1;-0.0
p9;20;1;-0.0
p10;20;1;-0.0
p11;20;1;-0.0
p12;20;1;-2.1145751816220582e-10
p13;20;1;-0.0
p14;20;1;-0.0
p15;20;1;2985.0
p16;20;1;-0.0
p17;20;1;2445.0
p18;20;1;-0.0
p19;20;1;-0.0
p20;20;1;-0.0
p21;20;1;-0.0
p22;20;1;-0.0
p23;20;1;-0.0
p24;20;1;4200.0
p25;20;1;-0.0
p26;20;1;-0.0
p27;20;1;-0.0
p28;20;1;-0.0
p1;21;1;1048.0000000000182
p2;21;1;-0.0
p3;21;1;1618.0
p4;21;1;-0.0
p5;21;1;-0.0
p6;21;1;-0.0
p7;21;1;1801.0
p8;21;1;127.0
p9;21;1;-0.0
p10;21;1;-0.0
p11;21;1;-0.0
p12;21;1;-0.0
p13;21;1;-0.0
p14;21;1;-0.0
p15;21;1;2920.9999999999827
p16;21;1;-0.0
p17;21;1;2399.0
p18;21;1;-0.0
p19;21;1;-0.0
p20;21;1;-0.0
p21;21;1;-0.0
p22;21;1;-0.0
p23;21;1;-0.0
p24;21;1;5086.0
p25;21;1;-0.0
p26;21;1;-0.0
p27;21;1;-0.0
p28;21;1;-0.0
p1;22;1;1021.0
p2;22;1;-0.0
p3;22;1;2237.0
p4;22;1;-0.0
p5;22;1;-0.0
p6;22;1;-0.0
p7;22;1;1573.0
p8;22;1;-0.0
p9;22;1;-0.0
p10;22;1;-0.0
p11;22;1;-0.0
p12;22;1;-0.0
p13;22;1;-0.0
p14;22;1;-0.0
p15;22;1;2857.0
p16;22;1;-0.0
p17;22;1;2352.0
p18;22;1;-0.0
p19;22;1;-0.0
p20;22;1;-0.0
p21;22;1;350.0
p22;22;1;-0.0
p23;22;1;-0.0
p24;22;1;4610.0
p25;22;1;-0.0
p26;22;1;-0.0
p27;22;1;-0.0
p28;22;1;-0.0
p1;23;1;994.0
p2;23;1;-0.0
p3;23;1;2183.0
p4;23;1;-0.0
p5;23;1;-0.0
p6;23;1;-0.0
p7;23;1;1555.0
p8;23;1;-0.0
p9;23;1;-0.0
p10;23;1;-0.0
p11;23;1;-0.0
p12;23;1;-0.0
p13;23;1;-0.0
p14;23;1;-0.0
p15;23;1;2794.0
