t;r;value
1;1;584649.1780969546
2;1;732324.4713522554
3;1;715249.0830841826
4;1;709152.2007526747
5;1;704856.1608335985
6;1;788405.0412808667
7;1;573321.0715365553
8;1;682728.9066632021
9;1;769177.8468255864
10;1;675768.9599501969
11;1;604675.024586328
12;1;666255.9125879919
13;1;810336.3431450726
14;1;686327.8825461356
15;1;837567.9005753404
16;1;978519.8889156762
17;1;838741.1875413631
18;1;792405.1566587766
19;1;749441.0941482721
20;1;797095.3086184617
21;1;770471.1444275905
22;1;728107.8294176683
23;1;734215.6524571516
24;1;750459.3430158647
25;1;600580.888839585
26;1;758437.3539455443
27;1;634304.600308824
28;1;778989.1325776139
29;1;849633.0201252648
30;1;865164.5408714315
31;1;884843.8669825858
32;1;703649.9035177153
33;1;696037.0384585884
34;1;905681.531201311
35;1;781369.1600184245
36;1;840764.9667665141
37;1;739260.438023787
38;1;747878.0836736265
39;1;724325.9751088937
40;1;781784.6262278699
41;1;692777.0319675676
42;1;797517.9126289457
43;1;797008.7147866319
44;1;763303.000458815
45;1;872847.4526348971
46;1;870744.3458485389
47;1;755130.9599036574
48;1;796378.025570224
49;1;674472.0289535807
50;1;793824.914287252
51;1;648750.4489864017
52;1;703487.350529655
53;1;823702.9706200275
54;1;709538.0019947258
55;1;784278.082493368
56;1;781992.4270608361
57;1;789632.7258198936
58;1;878016.2369676324
59;1;761424.1366121342
60;1;796979.8011588549
61;1;793990.1099605304
62;1;630615.7957561427
63;1;791164.7104131766
64;1;723675.3829518901
65;1;796260.5699249681
66;1;690229.9714208208
67;1;698174.4868600428
68;1;816683.6384801043
69;1;676148.6548630358
70;1;805354.7731125279
71;1;717505.7554163975
72;1;785555.3533889643
73;1;767426.4664010125
74;1;827812.5155658566
75;1;824222.8231937491
76;1;714996.930860031
77;1;829800.2754390083
78;1;730062.9201083495
79;1;668506.7880249947
80;1;823662.5729664977
81;1;768302.9714643306
82;1;638023.6635289782
83;1;743144.7551119172
84;1;782680.2094410649
85;1;804096.4609044205
86;1;828815.5365999305
87;1;808676.6086360664
88;1;734852.0867571315
89;1;704352.558565454
90;1;743451.6995028614
91;1;737718.5137079901
92;1;834161.5287088363
93;1;816020.8171011014
94;1;738734.2412829712
95;1;795484.3477398389
96;1;738053.3328989646
97;1;776928.1323765713
98;1;735412.2161730794
99;1;851382.3542139276
100;1;744504.8033105598
101;1;854172.5603216357
102;1;880370.9784938525
103;1;829396.5469868402
104;1;842484.6373970419
105;1;771990.0877823558
106;1;701611.0973117694
107;1;744659.2105715853
108;1;726194.8562666324
109;1;762038.3110529841
110;1;722464.914733208
111;1;738677.1076636753
112;1;565049.7662067442
113;1;869321.8595088447
114;1;813909.275600083
115;1;770644.3167410009
116;1;777643.3254401692
117;1;630716.8546327802
118;1;875244.7522040092
119;1;652172.0842595987
120;1;677059.381135645
121;1;792186.5421136215
122;1;853031.3312265319
123;1;634807.5545102053
124;1;732210.5088840214
125;1;853823.8713358912
126;1;622705.8643545149
127;1;912299.3170206606
128;1;896441.557276299
129;1;636484.2005484953
130;1;909453.328266841
131;1;858370.8800488353
132;1;583854.1149668894
133;1;768624.1564792555
134;1;824173.5351097774
135;1;735383.4175394387
136;1;622379.1950617799
137;1;836857.2935285732
138;1;739804.5784269993
139;1;779881.4440246843
140;1;676522.4385660874
141;1;840001.8848248585
142;1;869768.2246782595
143;1;783804.1351105141
144;1;769657.9992067233
145;1;747680.92712928
146;1;759322.8924010168
147;1;814295.1622597513
148;1;737018.2249825636
149;1;749681.7960160692
150;1;704088.1930382773
151;1;740696.4473323574
152;1;843074.2821454658
